,Bogey_Average_RANK THIS WEEK,Bogey_Average_RANK LAST WEEK,Bogey_Average_PLAYER NAME,Bogey_Average_EVENTS,Bogey_Average_AVERAGE BOGEYS PER ROUND,Bogey_Average_TOTAL BOGEYS,Bogey_Average_ROUNDS PLAYED
0,1,1,Jim Furyk,21,2.09,167,80
1,2,2,Bubba Watson,21,2.16,158,73
2,3,3,Sergio Garcia,16,2.17,126,58
3,T4,T4,Dustin Johnson,17,2.19,125,57
4,T4,T4,Adam Scott,17,2.19,149,68
5,6,6,Rory McIlroy,17,2.2,141,64
6,7,7,Kevin Na,27,2.21,208,94
7,8,8,"Ted Potter, Jr.",24,2.26,154,68
8,9,9,Keegan Bradley,26,2.27,200,88
9,10,10,John Senden,27,2.28,226,99
10,11,11,Jason Day,15,2.29,110,48
11,T12,T12,Chad Campbell,18,2.3,122,53
12,T12,T12,Zach Johnson,26,2.3,221,96
13,14,14,Rickie Fowler,26,2.31,196,85
14,T15,T15,Graham DeLaet,24,2.33,184,79
15,T15,T15,Russell Knox,26,2.33,214,92
16,T17,T17,Charley Hoffman,25,2.34,218,93
17,T17,T17,Jerry Kelly,23,2.34,187,80
18,T17,T17,David Toms,20,2.34,145,62
19,20,20,David Hearn,28,2.35,228,97
20,T21,T21,Phil Mickelson,21,2.37,168,71
21,T21,T21,Justin Rose,19,2.37,161,68
22,23,23,Matt Kuchar,24,2.39,210,88
23,T24,T24,Jason Kokrak,19,2.4,156,65
24,T24,T24,Chris Stroud,25,2.4,211,88
25,T24,T24,Cameron Tringale,31,2.4,266,111
26,T27,T27,Justin Hicks,30,2.41,239,99
27,T27,T27,Seung-Yul Noh,27,2.41,222,92
28,29,29,Jimmy Walker,27,2.42,232,96
29,30,30,Andrew Svoboda,24,2.44,188,77
30,31,31,Pat Perez,25,2.46,207,84
31,T32,T32,Brendon Todd,29,2.47,267,108
32,T32,T32,Gary Woodland,25,2.47,227,92
33,T34,T34,Billy Horschel,27,2.48,223,90
34,T34,T34,Graeme McDowell,17,2.48,154,62
35,T36,T36,Charles Howell III,29,2.49,264,106
36,T36,T36,Ben Martin,26,2.49,199,80
37,38,38,Billy Hurley III,26,2.5,215,86
38,39,39,Bo Van Pelt,25,2.51,208,83
39,40,40,Scott Langley,29,2.52,234,93
40,T41,T41,Chris Kirk,28,2.53,263,104
41,T41,T41,Jhonattan Vegas,23,2.53,190,75
42,T43,T43,Bud Cauley,19,2.54,142,56
43,T43,T43,Retief Goosen,26,2.54,229,90
44,T43,T43,Bill Haas,28,2.54,267,105
45,T46,T46,Freddie Jacobson,27,2.55,232,91
46,T46,T46,Johnson Wagner,24,2.55,166,65
47,T48,T48,Luke Guthrie,26,2.56,218,85
48,T48,T48,Josh Teater,28,2.56,225,88
49,T50,T50,Kevin Chappell,28,2.57,247,96
50,T50,T50,Brice Garnett,28,2.57,226,88
51,T50,T50,Tim Wilkinson,25,2.57,211,82
52,T53,T53,Brian Harman,32,2.58,286,111
53,T53,T53,Charl Schwartzel,18,2.58,160,62
54,T53,T53,Brendan Steele,26,2.58,219,85
55,T56,T56,Ricky Barnes,27,2.59,228,88
56,T56,T56,Harris English,28,2.59,238,92
57,T56,T56,Spencer Levin,20,2.59,153,59
58,T56,T56,Bryce Molder,25,2.59,189,73
59,T60,T60,J.J. Henry,28,2.61,227,87
60,T60,T60,Jeff Overton,24,2.61,198,76
61,T60,T60,Camilo Villegas,29,2.61,248,95
62,T63,T63,Brian Gay,26,2.62,207,79
63,T63,T63,Kevin Kisner,26,2.62,223,85
64,65,65,Willy Wilcox,16,2.63,129,49
65,T66,T66,Paul Casey,16,2.64,148,56
66,T66,T66,Sean O'Hair,25,2.64,203,77
67,T66,T66,Heath Slocum,23,2.64,182,69
68,T66,T66,Kevin Stadler,26,2.64,235,89
69,T70,T70,Jonas Blixt,21,2.65,164,62
70,T70,T70,Tim Clark,26,2.65,199,75
71,T70,T70,Daniel Summerhays,27,2.65,260,98
72,73,73,George McNeill,24,2.66,210,79
73,T74,T74,Martin Flores,26,2.67,227,85
74,T74,T74,Brad Fritsch,18,2.67,128,48
75,T74,T74,Justin Leonard,22,2.67,200,75
76,T74,T74,Patrick Reed,28,2.67,240,90
77,T74,T74,Shawn Stefani,17,2.67,160,60
78,T79,T79,Jonathan Byrd,24,2.68,193,72
79,T79,T79,Ryan Palmer,23,2.68,228,85
80,T79,T79,Jordan Spieth,27,2.68,263,98
81,T79,T79,Brian Stuard,29,2.68,233,87
82,T79,T79,Michael Thompson,22,2.68,198,74
83,84,84,Troy Merritt,20,2.69,167,62
84,T85,T85,Stuart Appleby,29,2.7,243,90
85,T85,T85,Brendon de Jonge,31,2.7,294,109
86,T85,T85,Luke Donald,17,2.7,151,56
87,T85,T85,William McGirt,29,2.7,259,96
88,T89,T89,Brian Davis,28,2.71,252,93
89,T89,T89,Matt Every,26,2.71,230,85
90,T89,T89,Ryan Moore,24,2.71,228,84
91,92,92,Vijay Singh,25,2.72,226,83
92,T93,T93,Ryo Ishikawa,24,2.73,205,75
93,T93,T93,Brooks Koepka,16,2.73,153,56
94,T93,T93,Hudson Swafford,26,2.73,194,71
95,T96,T96,Jason Bohn,25,2.74,222,81
96,T96,T96,Scott Brown,30,2.74,274,100
97,T96,T96,Ben Crane,25,2.74,222,81
98,T96,T96,Webb Simpson,25,2.74,230,84
99,T96,T96,Tyrone Van Aswegen,25,2.74,214,78
100,T101,T101,Carl Pettersson,28,2.75,250,91
101,T101,T101,Brandt Snedeker,25,2.75,239,87
102,103,103,Robert Garrigus,25,2.76,221,80
103,104,104,Erik Compton,28,2.77,244,88
104,T105,T105,Ken Duke,25,2.78,217,78
105,T105,T105,Matt Jones,25,2.78,231,83
106,T105,T105,Marc Leishman,24,2.78,222,80
107,T108,T108,Robert Allenby,29,2.79,226,81
108,T108,T108,Aaron Baddeley,24,2.79,201,72
109,T108,T108,Stewart Cink,25,2.79,254,91
110,T108,T108,Morgan Hoffmann,32,2.79,276,99
111,T108,T108,Robert Streb,21,2.79,198,71
112,T113,T113,Jamie Lovemark,20,2.8,168,60
113,T113,T113,Jeff Maggert,19,2.8,151,54
114,T113,T113,Hunter Mahan,25,2.8,238,85
115,T113,T113,John Peterson,25,2.8,168,60
116,T113,T113,Charlie Wi,25,2.8,196,70
117,118,118,Andres Romero,26,2.82,217,77
118,T119,T119,John Huh,28,2.83,235,83
119,T119,T119,Bronson La'Cassie,18,2.83,133,47
120,T121,T121,Martin Laird,20,2.84,176,62
121,T121,T121,Will MacKenzie,27,2.84,233,82
122,T121,T121,Hideki Matsuyama,24,2.84,227,80
123,T121,T121,Nick Watney,25,2.84,213,75
124,T121,T121,Lee Westwood,18,2.84,159,56
125,T126,T126,Ernie Els,24,2.85,225,79
126,T126,T126,Henrik Stenson,15,2.85,154,54
127,T128,T128,Richard Lee,27,2.87,224,78
128,T128,T128,Y.E. Yang,28,2.87,224,78
129,130,130,Ben Curtis,24,2.88,210,73
130,T131,T131,Charlie Beljan,26,2.89,208,72
131,T131,T131,Geoff Ogilvy,26,2.89,231,80
132,T133,T133,Greg Chalmers,27,2.9,235,81
133,T133,T133,Davis Love III,22,2.9,209,72
134,T135,T135,Jim Herman,21,2.91,169,58
135,T135,T135,Danny Lee,28,2.91,233,80
136,137,137,Chad Collins,28,2.92,216,74
137,138,138,J.B. Holmes,24,2.93,252,86
138,T139,T139,Martin Kaymer,19,2.94,188,64
139,T139,T139,John Merrick,25,2.94,244,83
140,T139,T139,Michael Putnam,30,2.94,300,102
141,T139,T139,Wes Roach,22,2.94,185,63
142,T143,T143,K.J. Choi,23,2.95,236,80
143,T143,T143,Ian Poulter,17,2.95,165,56
144,145,145,John Rollins,28,2.96,237,80
145,T146,T146,Sangmoon Bae,24,2.99,227,76
146,T146,T146,Gonzalo Fernandez-Castaño,25,2.99,245,82
147,T146,T146,Rory Sabbatini,26,2.99,233,78
148,149,149,Boo Weekley,24,3.0,216,72
149,150,150,Trevor Immelman,28,3.01,241,80
150,T151,T151,Steven Bowditch,30,3.04,283,93
151,T151,T151,Scott Stallings,28,3.04,231,76
