,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
0,1,1,Rory McIlroy,66,68.9,689,10
1,2,2,Adam Scott,68,69.0,552,8
2,3,3,Jimmy Walker,98,69.09,1520,22
3,4,4,Henrik Stenson,56,69.1,691,10
4,5,5,Matt Kuchar,91,69.3,693,10
5,6,6,Brad Fritsch,50,69.31,901,13
6,7,7,Dustin Johnson,58,69.36,763,11
7,8,8,Brooks Koepka,56,69.38,1457,21
8,9,9,Luke Guthrie,85,69.5,1668,24
9,10,10,Kevin Chappell,100,69.52,2155,31
10,11,11,Russell Knox,92,69.58,2296,33
11,12,12,Chris Kirk,105,69.61,2297,33
12,13,13,Justin Rose,70,69.64,975,14
13,14,14,Danny Lee,84,69.65,1602,23
14,15,15,Kevin Kisner,85,69.67,1672,24
15,16,16,Charlie Wi,72,69.71,1185,17
16,17,17,Bud Cauley,56,69.75,1116,16
17,18,18,Kevin Na,94,69.81,1885,27
18,19,19,Michael Thompson,74,69.85,1816,26
19,T20,T20,Sergio Garcia,61,70.0,980,14
20,T20,T20,David Toms,64,70.0,1050,15
21,22,22,Retief Goosen,94,70.06,2172,31
22,23,23,Andres Romero,81,70.08,1822,26
23,24,24,John Senden,99,70.1,2103,30
24,T25,T25,Scott Langley,95,70.11,1893,27
25,T25,T25,Phil Mickelson,71,70.11,1332,19
26,27,27,Keegan Bradley,89,70.16,1333,19
27,T28,T28,George McNeill,79,70.17,2035,29
28,T28,T28,Bryce Molder,77,70.17,1614,23
29,30,30,Harris English,95,70.18,1965,28
30,31,31,Jeff Overton,80,70.2,2106,30
31,32,32,Paul Casey,56,70.21,1685,24
32,33,33,Aaron Baddeley,74,70.22,1615,23
33,34,34,Stuart Appleby,92,70.23,2107,30
34,35,35,Patrick Reed,92,70.25,1686,24
35,36,36,Bill Haas,107,70.27,2600,37
36,37,37,Will MacKenzie,82,70.28,1757,25
37,38,38,Ryan Palmer,85,70.29,1476,21
38,T39,T39,Ryan Moore,86,70.3,1617,23
39,T39,T39,Gary Woodland,93,70.3,2601,37
40,T41,T41,Ricky Barnes,92,70.31,2250,32
41,T41,T41,Brendon Todd,108,70.31,2039,29
42,43,43,Charles Howell III,106,70.32,2883,41
43,T44,T44,Charl Schwartzel,64,70.33,1266,18
44,T44,T44,Cameron Tringale,111,70.33,2743,39
45,46,46,Seung-Yul Noh,92,70.35,2392,34
46,T47,T47,Hudson Swafford,75,70.39,1619,23
47,T47,T47,Camilo Villegas,95,70.39,2675,38
48,49,49,Andrew Loupe,65,70.41,1197,17
49,50,50,Daniel Summerhays,98,70.42,2183,31
50,51,51,Ryo Ishikawa,75,70.44,1127,16
51,T52,T52,Charley Hoffman,93,70.5,2397,34
52,T52,T52,Billy Hurley III,86,70.5,1692,24
53,T52,T52,Bubba Watson,76,70.5,987,14
54,55,55,Brendan Steele,89,70.52,2186,31
55,56,56,William McGirt,96,70.56,1905,27
56,57,57,Andrew Svoboda,77,70.57,1976,28
57,T58,T58,Ken Duke,80,70.58,2329,33
58,T58,T58,Brian Stuard,91,70.58,1835,26
59,T58,T58,Jhonattan Vegas,77,70.58,1694,24
60,61,61,Graeme McDowell,66,70.59,1200,17
61,T62,T62,Sangmoon Bae,76,70.6,2118,30
62,T62,T62,David Hearn,97,70.6,2471,35
63,64,64,Jason Kokrak,65,70.61,1271,18
64,65,65,Marc Leishman,81,70.62,2048,29
65,66,66,Erik Compton,88,70.65,1413,20
