,Par_3_Scoring_Average_RANK THIS WEEK,Par_3_Scoring_Average_RANK LAST WEEK,Par_3_Scoring_Average_PLAYER NAME,Par_3_Scoring_Average_ROUNDS,Par_3_Scoring_Average_AVG,Par_3_Scoring_Average_TOTAL STROKES,Par_3_Scoring_Average_TOTAL HOLES
0,T1,T1,Sergio Garcia,61,2.95,685,232
1,T1,T1,Troy Merritt,62,2.95,737,250
2,T3,T3,Scott Brown,100,2.96,1188,401
3,T3,T3,Tyrone Van Aswegen,79,2.96,932,315
4,5,5,Russell Knox,92,2.98,1116,375
5,T6,T6,Keegan Bradley,89,2.99,1059,354
6,T6,T6,Dustin Johnson,58,2.99,673,225
7,T6,T6,Will MacKenzie,82,2.99,1002,335
8,T6,T6,Ryan Moore,86,2.99,993,332
9,T10,T10,Tim Clark,75,3.0,909,303
10,T10,T10,Ryo Ishikawa,75,3.0,918,306
11,T10,T10,Justin Leonard,75,3.0,919,306
12,T10,T10,Charl Schwartzel,64,3.0,744,248
13,T14,T14,Harris English,95,3.01,1114,370
14,T14,T14,Jim Furyk,84,3.01,978,325
15,T14,T14,Brian Harman,111,3.01,1357,451
16,T14,T14,Scott Langley,95,3.01,1140,379
17,T14,T14,John Senden,99,3.01,1215,403
18,T14,T14,Kevin Stadler,90,3.01,1082,359
19,T14,T14,Chris Stroud,88,3.01,1061,353
20,T14,T14,Brendon Todd,108,3.01,1322,439
21,T14,T14,Jimmy Walker,98,3.01,1146,381
22,T23,T23,Robert Allenby,83,3.02,992,329
23,T23,T23,Ricky Barnes,92,3.02,1079,357
24,T23,T23,Chad Campbell,57,3.02,650,215
25,T23,T23,Ben Crane,81,3.02,997,330
26,T23,T23,Jason Day,54,3.02,583,193
27,T23,T23,Bill Haas,107,3.02,1274,422
28,T23,T23,David Hearn,97,3.02,1186,393
29,T23,T23,John Huh,87,3.02,1012,335
30,T23,T23,Billy Hurley III,86,3.02,1049,347
31,T23,T23,D.H. Lee,54,3.02,620,205
32,T23,T23,Jordan Spieth,102,3.02,1185,393
33,T23,T23,David Toms,64,3.02,758,251
34,T23,T23,Bo Van Pelt,83,3.02,1019,337
35,T36,T36,Graham DeLaet,80,3.03,968,320
36,T36,T36,Morgan Hoffmann,103,3.03,1216,401
37,T36,T36,Zach Johnson,97,3.03,1158,382
38,T36,T36,Jerry Kelly,80,3.03,991,327
39,T36,T36,Richard Lee,80,3.03,956,316
40,T36,T36,Rory McIlroy,66,3.03,775,256
41,T36,T36,Daniel Summerhays,98,3.03,1210,399
42,T36,T36,Camilo Villegas,95,3.03,1162,384
43,T44,T44,Stuart Appleby,92,3.04,1116,367
44,T44,T44,Kevin Chappell,100,3.04,1184,389
45,T44,T44,Chad Collins,78,3.04,922,303
46,T44,T44,Ken Duke,80,3.04,955,314
47,T44,T44,Ernie Els,85,3.04,967,318
48,T44,T44,Matt Every,85,3.04,1055,347
49,T44,T44,Luke Guthrie,85,3.04,1048,345
50,T44,T44,Justin Hicks,103,3.04,1227,403
51,T44,T44,Billy Horschel,92,3.04,1087,358
52,T44,T44,Freddie Jacobson,91,3.04,1126,371
53,T44,T44,Matt Jones,83,3.04,1019,335
54,T44,T44,Matt Kuchar,91,3.04,1071,352
55,T44,T44,Marc Leishman,81,3.04,984,324
56,T44,T44,George McNeill,79,3.04,977,321
57,T44,T44,Louis Oosthuizen,50,3.04,566,186
58,T44,T44,Wes Roach,67,3.04,779,256
59,T44,T44,Heath Slocum,71,3.04,845,278
60,T61,T61,Luke Donald,57,3.05,696,228
61,T61,T61,Retief Goosen,94,3.05,1117,366
62,T61,T61,Martin Kaymer,65,3.05,780,256
63,T61,T61,Jason Kokrak,65,3.05,812,266
64,T61,T61,Spencer Levin,59,3.05,736,241
65,T61,T61,Jeff Maggert,54,3.05,664,218
66,T61,T61,William McGirt,96,3.05,1188,389
67,T61,T61,Seung-Yul Noh,92,3.05,1131,371
68,T61,T61,Sean O'Hair,77,3.05,958,314
69,T61,T61,Kyle Stanley,87,3.05,1022,335
70,T61,T61,Shawn Stefani,60,3.05,731,240
71,T61,T61,Brian Stuard,91,3.05,1072,352
72,T61,T61,Nick Watney,80,3.05,918,301
73,T61,T61,Bubba Watson,76,3.05,891,292
74,T61,T61,Mike Weir,69,3.05,806,264
75,T76,T76,Briny Baird,50,3.06,622,203
76,T76,T76,Jason Bohn,81,3.06,1014,331
77,T76,T76,Paul Casey,56,3.06,692,226
78,T76,T76,Rickie Fowler,91,3.06,1045,342
79,T76,T76,Brice Garnett,92,3.06,1086,355
80,T76,T76,J.J. Henry,91,3.06,1079,353
81,T76,T76,Chris Kirk,105,3.06,1265,413
82,T76,T76,Brooks Koepka,56,3.06,692,226
83,T76,T76,Ben Martin,80,3.06,990,324
84,T76,T76,Graeme McDowell,66,3.06,762,249
85,T76,T76,Bryce Molder,77,3.06,910,297
86,T76,T76,Jeff Overton,80,3.06,943,308
87,T76,T76,Michael Putnam,106,3.06,1269,415
88,T76,T76,Justin Rose,70,3.06,844,276
89,T76,T76,Rory Sabbatini,82,3.06,975,319
90,T76,T76,Michael Thompson,74,3.06,908,297
91,T76,T76,Cameron Tringale,111,3.06,1382,451
92,T76,T76,Gary Woodland,93,3.06,1134,370
93,T94,T94,Greg Chalmers,85,3.07,1013,330
94,T94,T94,Gonzalo Fernandez-Castaño,83,3.07,1007,328
95,T94,T94,Tommy Gainey,73,3.07,867,282
96,T94,T94,Robert Garrigus,80,3.07,1001,326
97,T94,T94,Charley Hoffman,93,3.07,1162,379
98,T94,T94,David Lingmerth,80,3.07,953,310
99,T94,T94,Phil Mickelson,71,3.07,874,285
100,T94,T94,Kevin Na,94,3.07,1174,383
