,Final_Round_Performance_RANK THIS WEEK,Final_Round_Performance_RANK LAST WEEK,Final_Round_Performance_PLAYER NAME,Final_Round_Performance_EVENTS,Final_Round_Performance_%
0,1,1,David Toms,20,90.91
1,2,2,Henrik Stenson,15,84.62
2,3,3,Brooks Koepka,16,83.33
3,T4,T4,Jason Bohn,25,80.0
4,T4,T4,Troy Merritt,20,80.0
5,6,6,Harris English,28,78.95
6,7,7,Sergio Garcia,16,78.57
7,T8,T8,Rickie Fowler,26,76.47
8,T8,T8,Adam Scott,17,76.47
9,T10,T10,Steven Bowditch,30,75.0
10,T10,T10,Ernie Els,24,75.0
11,T10,T10,Rory McIlroy,17,75.0
12,13,13,Billy Horschel,27,73.68
13,14,14,Graeme McDowell,17,73.33
14,15,15,Roberto Castro,27,72.73
15,16,16,Brian Davis,28,72.22
16,17,17,Charl Schwartzel,18,71.43
17,T18,T18,Marc Leishman,24,70.59
18,T18,T18,Carl Pettersson,28,70.59
19,T20,T20,Jonas Blixt,21,70.0
20,T20,T20,Chad Campbell,18,70.0
21,22,22,Billy Hurley III,26,68.75
22,23,23,John Senden,27,68.18
23,T24,T24,Charley Hoffman,25,66.67
24,T24,T24,Patrick Reed,28,66.67
25,T24,T24,Webb Simpson,25,66.67
26,27,27,Bubba Watson,21,64.71
27,T28,T28,John Huh,28,64.29
28,T28,T28,Tyrone Van Aswegen,25,64.29
29,30,30,Lee Westwood,18,63.64
30,T31,T31,Erik Compton,28,62.5
31,T31,T31,Jeff Overton,24,62.5
32,T31,T31,Brian Stuard,29,62.5
33,T31,T31,Kevin Tway,23,62.5
34,35,35,Matt Kuchar,24,61.9
35,T36,T36,Sangmoon Bae,24,61.54
36,T36,T36,James Hahn,27,61.54
37,T36,T36,Dustin Johnson,17,61.54
38,T36,T36,Ben Martin,26,61.54
39,T36,T36,Shawn Stefani,17,61.54
40,41,41,Hunter Mahan,25,61.11
41,42,42,Jordan Spieth,27,60.87
42,T43,T43,Jason Day,15,60.0
43,T43,T43,Luke Guthrie,26,60.0
44,T43,T43,David Hearn,28,60.0
45,T43,T43,Johnson Wagner,24,60.0
46,T43,T43,Charlie Wi,25,60.0
47,48,48,Jimmy Walker,27,59.09
48,T49,T49,Russell Henley,29,58.82
49,T49,T49,Jerry Kelly,23,58.82
50,T49,T49,Brendan Steele,26,58.82
51,T52,T52,Ángel Cabrera,23,58.33
52,T52,T52,Paul Casey,16,58.33
53,T52,T52,Chesson Hadley,29,58.33
54,T52,T52,Charles Howell III,29,58.33
55,T52,T52,Nicholas Thompson,30,58.33
56,T57,T57,Will MacKenzie,27,57.14
57,T57,T57,Troy Matteson,23,57.14
58,T57,T57,Geoff Ogilvy,26,57.14
59,T60,T60,K.J. Choi,23,56.25
60,T60,T60,Matt Every,26,56.25
61,T60,T60,Kevin Kisner,26,56.25
62,T60,T60,Kevin Streelman,24,56.25
63,T64,T64,Ricky Barnes,27,55.56
64,T64,T64,Chris Stroud,25,55.56
65,T64,T64,Camilo Villegas,29,55.56
66,67,67,Jim Furyk,21,55.0
67,T68,T68,Kevin Chappell,28,54.55
68,T68,T68,Tim Clark,26,54.55
69,T68,T68,Scott Stallings,28,54.55
70,T68,T68,Hudson Swafford,26,54.55
71,72,72,Cameron Tringale,31,54.17
72,T73,T73,Trevor Immelman,28,53.85
73,T73,T73,Ryo Ishikawa,24,53.85
74,T73,T73,Richard Lee,27,53.85
75,T76,T76,Martin Flores,26,53.33
76,T76,T76,Andres Romero,26,53.33
77,78,78,Stuart Appleby,29,52.94
78,T79,T79,Seung-Yul Noh,27,52.63
79,T79,T79,Ryan Palmer,23,52.63
80,T79,T79,Brandt Snedeker,25,52.63
81,82,82,Justin Hicks,30,52.38
82,T83,T83,Zach Johnson,26,52.17
83,T83,T83,Michael Putnam,30,52.17
84,T85,T85,Chris Kirk,28,52.0
85,T85,T85,Brendon Todd,29,52.0
86,T87,T87,Robert Allenby,29,50.0
87,T87,T87,Charlie Beljan,26,50.0
88,T87,T87,Stewart Cink,25,50.0
89,T87,T87,Chad Collins,28,50.0
90,T87,T87,Ben Curtis,24,50.0
91,T87,T87,Luke Donald,17,50.0
92,T87,T87,Jason Dufner,17,50.0
93,T87,T87,Bill Haas,28,50.0
94,T87,T87,J.J. Henry,28,50.0
95,T87,T87,Andrew Loupe,22,50.0
96,T87,T87,Jeff Maggert,19,50.0
97,T87,T87,Hideki Matsuyama,24,50.0
98,T87,T87,George McNeill,24,50.0
99,T87,T87,Kevin Na,27,50.0
100,T87,T87,John Peterson,25,50.0
101,T87,T87,Justin Rose,19,50.0
