,Back_9_Round_2_Scoring_Average_RANK THIS WEEK,Back_9_Round_2_Scoring_Average_RANK LAST WEEK,Back_9_Round_2_Scoring_Average_PLAYER NAME,Back_9_Round_2_Scoring_Average_AVG,Back_9_Round_2_Scoring_Average_TOTAL STROKES,Back_9_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Sergio Garcia,34.4,516,15
1,2,2,Adam Scott,34.65,589,17
2,3,3,Jamie Lovemark,34.68,659,19
3,4,4,Kevin Stadler,34.75,834,24
4,5,5,John Senden,34.81,940,27
5,6,6,Matt Kuchar,34.83,801,23
6,7,7,Jim Furyk,34.85,697,20
7,8,8,Russell Knox,34.88,907,26
8,9,9,Bubba Watson,34.89,663,19
9,10,10,Rory McIlroy,34.94,559,16
10,11,11,Freddie Jacobson,34.96,909,26
11,T12,T12,Justin Hicks,35.0,1015,29
12,T12,T12,Billy Horschel,35.0,910,26
13,T12,T12,Brendon Todd,35.0,1015,29
14,T15,T15,Briny Baird,35.06,561,16
15,T15,T15,Paul Casey,35.06,561,16
16,17,17,Harris English,35.07,947,27
17,T18,T18,Stewart Cink,35.08,877,25
18,T18,T18,Billy Hurley III,35.08,912,26
19,T18,T18,Chris Stroud,35.08,877,25
20,21,21,Ryan Palmer,35.09,807,23
21,22,22,Jerry Kelly,35.14,773,22
22,23,23,Brendon de Jonge,35.16,1090,31
23,24,24,Andrew Svoboda,35.17,844,24
24,T25,T25,Kevin Chappell,35.19,950,27
25,T25,T25,Graeme McDowell,35.19,563,16
26,T27,T27,Ricky Barnes,35.2,880,25
27,T27,T27,Willy Wilcox,35.2,528,15
28,T29,T29,Ben Crane,35.25,846,24
29,T29,T29,Brandt Snedeker,35.25,846,24
30,T31,T31,Jason Kokrak,35.26,670,19
31,T31,T31,Cameron Tringale,35.26,1093,31
32,T33,T33,Chad Campbell,35.29,600,17
33,T33,T33,Tim Clark,35.29,847,24
34,T33,T33,David Hearn,35.29,988,28
35,T36,T36,Retief Goosen,35.32,883,25
36,T36,T36,Jhonattan Vegas,35.32,777,22
37,38,38,Kevin Na,35.33,954,27
38,39,39,Zach Johnson,35.36,884,25
39,40,40,Jason Day,35.38,460,13
40,T41,T41,Dustin Johnson,35.4,531,15
41,T41,T41,Robert Streb,35.4,708,20
42,43,43,David Toms,35.42,673,19
43,44,44,Graham DeLaet,35.43,815,23
44,T45,T45,Brice Garnett,35.44,957,27
45,T45,T45,Martin Kaymer,35.44,638,18
46,T45,T45,Brooks Koepka,35.44,567,16
47,T45,T45,Brendan Steele,35.44,886,25
48,T49,T49,Robert Garrigus,35.46,851,24
49,T49,T49,Bill Haas,35.46,922,26
50,T51,T51,Scott Brown,35.47,1064,30
