,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
0,1,1,Willy Wilcox,51,68.88,1102,16
1,2,2,Sergio Garcia,61,69.13,2212,32
2,3,3,Rory McIlroy,66,69.27,2840,41
3,4,4,David Toms,64,69.48,1459,21
4,5,5,Jim Furyk,84,69.55,3408,49
5,6,6,Tim Clark,75,69.58,1322,19
6,7,7,Carl Pettersson,91,69.67,1672,24
7,8,8,Chris Stroud,88,69.68,2369,34
8,9,9,Jerry Kelly,80,69.7,1603,23
9,10,10,Zach Johnson,97,69.74,3278,47
10,11,11,Robert Streb,75,69.8,1745,25
11,12,12,Graham DeLaet,80,69.81,2164,31
12,13,13,Ryan Palmer,85,69.82,2304,33
13,14,14,Adam Scott,68,69.87,3214,46
14,15,15,Sangmoon Bae,76,69.88,1188,17
15,T16,T16,Brian Harman,111,69.89,2446,35
16,T16,T16,Matt Kuchar,91,69.89,3914,56
17,18,18,Brian Stuard,91,69.96,1819,26
18,19,19,Bubba Watson,76,70.08,2663,38
19,20,20,Jhonattan Vegas,77,70.11,1332,19
20,T21,T21,Shawn Stefani,60,70.13,1052,15
21,T21,T21,Brendon Todd,108,70.13,2805,40
22,23,23,Rickie Fowler,91,70.14,2595,37
23,24,24,William McGirt,96,70.16,2245,32
24,T25,T25,Chad Campbell,57,70.18,1193,17
25,T25,T25,Dustin Johnson,58,70.18,2386,34
26,T27,T27,Charles Howell III,106,70.2,1755,25
27,T27,T27,Will MacKenzie,82,70.2,1404,20
28,29,29,Chris Kirk,105,70.21,2738,39
29,T30,T30,Marc Leishman,81,70.23,1826,26
30,T30,T30,Webb Simpson,87,70.23,2107,30
31,32,32,Jim Herman,62,70.25,1124,16
32,33,33,Justin Hicks,103,70.29,1476,21
33,T34,T34,Charley Hoffman,93,70.3,1617,23
34,T34,T34,Graeme McDowell,66,70.3,1898,27
35,T36,T36,Charl Schwartzel,64,70.31,1828,26
36,T36,T36,Jimmy Walker,98,70.31,3375,48
37,T38,T38,Bill Haas,107,70.32,2883,41
38,T38,T38,David Hearn,97,70.32,1758,25
39,40,40,Scott Brown,100,70.36,1548,22
40,41,41,Tommy Gainey,73,70.38,1478,21
41,T42,T42,Jason Day,54,70.39,1971,28
42,T42,T42,Billy Hurley III,86,70.39,1971,28
43,44,44,John Senden,99,70.41,2394,34
44,45,45,Jason Bohn,81,70.42,1831,26
45,46,46,Harris English,95,70.43,2606,37
46,T47,T47,Paul Casey,56,70.44,1127,16
47,T47,T47,Brooks Koepka,56,70.44,1127,16
48,49,49,Kevin Na,94,70.45,2325,33
49,T50,T50,Jason Kokrak,65,70.46,1691,24
50,T50,T50,Ben Martin,80,70.46,1973,28
51,52,52,Stuart Appleby,92,70.47,1339,19
52,53,53,J.J. Henry,91,70.48,1621,23
53,T54,T54,Jordan Spieth,102,70.5,4089,58
54,T54,T54,Nick Watney,80,70.5,1551,22
55,56,56,Bryce Molder,77,70.52,1481,21
56,57,57,Freddie Jacobson,91,70.53,2116,30
57,58,58,D.H. Lee,54,70.57,494,7
58,59,59,Davis Love III,74,70.6,1412,20
59,60,60,Wes Roach,67,70.63,1130,16
60,61,61,Ricky Barnes,92,70.64,1554,22
61,62,62,David Lingmerth,80,70.67,1272,18
62,T63,T63,Kevin Kisner,85,70.68,1555,22
63,T63,T63,Justin Rose,70,70.68,2686,38
64,65,65,Charlie Beljan,76,70.7,1626,23
65,66,66,Spencer Levin,59,70.71,990,14
66,67,67,Jamie Lovemark,64,70.72,1273,18
67,T68,T68,George McNeill,79,70.73,1839,26
68,T68,T68,Kevin Stadler,90,70.73,1556,22
69,70,70,Jason Dufner,57,70.74,1627,23
70,71,71,Keegan Bradley,89,70.75,3113,44
71,72,72,Billy Horschel,92,70.76,2335,33
72,T73,T73,Ángel Cabrera,69,70.78,1628,23
73,T73,T73,Ben Crane,81,70.78,1628,23
74,75,75,Daniel Summerhays,98,70.79,2053,29
75,76,76,Luke Guthrie,85,70.8,1770,25
76,77,77,Jeff Overton,80,70.81,1133,16
77,78,78,Robert Garrigus,80,70.83,1629,23
78,79,79,Ryan Moore,86,70.87,2693,38
79,T80,T80,Brian Davis,93,70.88,1205,17
80,T80,T80,Hideki Matsuyama,82,70.88,2339,33
81,82,82,Lee Westwood,57,70.89,1347,19
82,83,83,Richard Lee,80,70.9,1489,21
83,T84,T84,Briny Baird,50,70.92,922,13
84,T84,T84,Andrew Svoboda,77,70.92,1702,24
85,T86,T86,Chesson Hadley,84,70.93,2057,29
86,T86,T86,Phil Mickelson,71,70.93,2128,30
87,88,88,Gary Woodland,93,70.94,2270,32
88,T89,T89,Ernie Els,85,71.0,1704,24
89,T89,T89,Geoff Ogilvy,84,71.0,1136,16
90,T89,T89,Boo Weekley,73,71.0,1136,16
91,T92,T92,J.B. Holmes,86,71.03,2628,37
92,T92,T92,Ryo Ishikawa,75,71.03,2202,31
93,94,94,Andres Romero,81,71.05,1350,19
94,95,95,Martin Flores,85,71.06,1279,18
95,T96,T96,Martin Kaymer,65,71.07,1919,27
96,T96,T96,Russell Knox,92,71.07,1990,28
97,T96,T96,Jeff Maggert,54,71.07,1066,15
98,99,99,Robert Allenby,83,71.1,1493,21
99,100,100,Troy Merritt,62,71.12,1209,17
100,T101,T101,Jonathan Byrd,76,71.13,1636,23
101,T101,T101,Ken Duke,80,71.13,1138,16
102,T101,T101,Seung-Yul Noh,92,71.13,1707,24
103,104,104,Brice Garnett,92,71.15,1423,20
104,T105,T105,Scott Langley,95,71.16,2206,31
105,T105,T105,Cameron Tringale,111,71.16,2206,31
106,T105,T105,Bo Van Pelt,83,71.16,1779,25
107,108,108,Mike Weir,69,71.19,1139,16
108,T109,T109,Danny Lee,84,71.22,1638,23
109,T109,T109,Kevin Tway,64,71.22,1282,18
110,111,111,John Rollins,84,71.23,926,13
111,112,112,Tim Wilkinson,86,71.24,2066,29
112,T113,T113,Bud Cauley,56,71.25,1425,20
113,T113,T113,Martin Laird,66,71.25,1140,16
114,115,115,Tyrone Van Aswegen,79,71.29,1212,17
115,T116,T116,Retief Goosen,94,71.3,1925,27
116,T116,T116,Vijay Singh,83,71.3,1426,20
117,T116,T116,Camilo Villegas,95,71.3,1640,23
118,119,119,Ian Poulter,57,71.32,1355,19
119,120,120,Kyle Stanley,87,71.33,1284,18
120,121,121,Greg Chalmers,85,71.35,1855,26
121,T122,T122,Brian Gay,81,71.38,1142,16
122,T122,T122,Louis Oosthuizen,50,71.38,1142,16
123,124,124,Brandt Snedeker,89,71.4,2856,40
124,T125,T125,Pat Perez,84,71.41,1928,27
125,T125,T125,Henrik Stenson,56,71.41,1928,27
126,127,127,Rory Sabbatini,82,71.43,1643,23
127,128,128,John Peterson,62,71.44,1143,16
128,129,129,Charlie Wi,72,71.45,1429,20
129,T130,T130,Matt Every,85,71.46,1715,24
130,T130,T130,Brendan Steele,89,71.46,1715,24
131,T130,T130,Kevin Streelman,79,71.46,1715,24
132,133,133,Michael Putnam,106,71.47,2287,32
133,134,134,Hunter Mahan,88,71.48,2073,29
134,T135,T135,Aaron Baddeley,74,71.5,1573,22
135,T135,T135,Morgan Hoffmann,103,71.5,2717,38
136,137,137,Erik Compton,88,71.53,2289,32
137,T138,T138,Russell Henley,92,71.55,1431,20
138,T138,T138,Troy Matteson,62,71.55,787,11
139,140,140,Matt Jones,83,71.57,1503,21
140,141,141,Chad Collins,78,71.58,1360,19
141,T142,T142,Kevin Chappell,100,71.59,2291,32
142,T142,T142,Luke Donald,57,71.59,1217,17
143,144,144,"Ted Potter, Jr.",68,71.6,1432,20
144,145,145,Steven Bowditch,93,71.63,1361,19
145,146,146,Justin Leonard,75,71.65,1433,20
