,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
0,1,1,Rory McIlroy,66,26.26,26,99
1,2,2,John Merrick,87,25.66,29,113
2,3,3,Brooks Koepka,56,23.46,19,81
3,4,4,Charl Schwartzel,64,23.4,22,94
4,5,5,Henrik Stenson,56,22.92,11,48
5,6,6,Jhonattan Vegas,77,22.12,25,113
6,7,7,Matt Jones,83,21.93,25,114
7,8,8,Bubba Watson,76,21.78,22,101
8,9,9,Matt Every,85,21.33,32,150
9,10,10,Lee Westwood,57,20.59,14,68
10,11,11,Aaron Baddeley,74,20.48,17,83
11,12,12,Troy Merritt,62,20.27,15,74
12,T13,T13,Sangmoon Bae,76,20.0,19,95
13,T13,T13,Dustin Johnson,58,20.0,17,85
14,15,15,Jimmy Walker,98,19.62,31,158
15,16,16,Carl Pettersson,91,19.53,33,169
16,17,17,Charles Howell III,106,18.89,41,217
17,18,18,Charlie Beljan,76,18.85,23,122
18,19,19,Ryan Palmer,85,18.84,26,138
19,20,20,Shawn Stefani,60,18.69,20,107
20,21,21,Boo Weekley,73,18.67,14,75
21,22,22,Ángel Cabrera,69,18.6,24,129
22,23,23,Brice Garnett,92,18.46,24,130
23,24,24,Marc Leishman,81,18.18,20,110
24,25,25,Brendon de Jonge,109,17.88,27,151
25,T26,T26,Chad Campbell,57,17.5,14,80
26,T26,T26,Kevin Tway,64,17.5,14,80
27,28,28,Jamie Lovemark,64,17.44,15,86
28,29,29,Martin Laird,66,17.35,17,98
29,30,30,Jim Furyk,84,17.33,13,75
30,T31,T31,Jonathan Byrd,76,17.27,19,110
31,T31,T31,Greg Chalmers,85,17.27,19,110
32,T31,T31,Hideki Matsuyama,82,17.27,19,110
33,34,34,George McNeill,79,17.2,16,93
34,35,35,Kevin Kisner,85,17.12,19,111
35,36,36,Martin Flores,85,17.05,22,129
36,37,37,Andres Romero,81,17.01,25,147
37,38,38,Ian Poulter,57,16.92,11,65
38,39,39,Phil Mickelson,71,16.83,17,101
39,40,40,Geoff Ogilvy,84,16.78,24,143
40,41,41,Jason Dufner,57,16.67,11,66
41,42,42,Jason Kokrak,65,16.54,22,133
42,43,43,Hudson Swafford,75,16.49,16,97
43,44,44,Tommy Gainey,73,16.36,18,110
44,45,45,Charley Hoffman,93,16.24,19,117
45,46,46,Tim Clark,75,16.22,12,74
46,47,47,Mark Wilson,69,16.18,11,68
47,48,48,Wes Roach,67,16.05,13,81
48,T49,T49,Steven Bowditch,93,16.0,28,175
49,T49,T49,Zach Johnson,97,16.0,20,125
50,T49,T49,Jerry Kelly,80,16.0,16,100
