,Par_4_Eagle_Leaders_RANK THIS WEEK,Par_4_Eagle_Leaders_RANK LAST WEEK,Par_4_Eagle_Leaders_PLAYER NAME,Par_4_Eagle_Leaders_ROUNDS,Par_4_Eagle_Leaders_TOTAL,Par_4_Eagle_Leaders_TOTAL PAR 4 HOLES,Par_4_Eagle_Leaders_TOTAL HOLE OUTS
0,1,1,Ernie Els,85,4,850,3.0
1,T2,T2,Jonas Blixt,64,3,658,1.0
2,T2,T2,Stewart Cink,91,3,975,3.0
3,T2,T2,Chad Collins,78,3,800,3.0
4,T2,T2,Sergio Garcia,61,3,636,2.0
5,T2,T2,Robert Garrigus,80,3,859,3.0
6,T2,T2,Brian Harman,111,3,1219,2.0
7,T2,T2,Charles Howell III,106,3,1152,2.0
8,T2,T2,Matt Jones,83,3,888,3.0
9,T2,T2,Will MacKenzie,82,3,879,3.0
10,T2,T2,Ryan Palmer,85,3,930,2.0
11,T2,T2,Patrick Reed,92,3,989,2.0
12,T2,T2,Daniel Summerhays,98,3,1051,3.0
13,T2,T2,Lee Westwood,57,3,598,1.0
14,T15,T15,Charlie Beljan,76,2,783,2.0
15,T15,T15,Steven Bowditch,93,2,1014,1.0
16,T15,T15,Keegan Bradley,89,2,946,1.0
17,T15,T15,Tim Clark,75,2,841,2.0
18,T15,T15,Erik Compton,88,2,950,2.0
19,T15,T15,Ben Crane,81,2,887,1.0
20,T15,T15,Harris English,95,2,1010,2.0
21,T15,T15,Gonzalo Fernandez-Castaño,83,2,900,1.0
22,T15,T15,Brian Gay,81,2,858,1.0
23,T15,T15,Russell Henley,92,2,1007,1.0
24,T15,T15,Charley Hoffman,93,2,989,1.0
25,T15,T15,Morgan Hoffmann,103,2,1084,2.0
26,T15,T15,Chris Kirk,105,2,1139,
27,T15,T15,Kevin Kisner,85,2,923,1.0
28,T15,T15,Jason Kokrak,65,2,693,2.0
29,T15,T15,David Lingmerth,80,2,820,1.0
30,T15,T15,Ben Martin,80,2,855,2.0
31,T15,T15,Graeme McDowell,66,2,679,1.0
32,T15,T15,Troy Merritt,62,2,689,1.0
33,T15,T15,Sean O'Hair,77,2,837,
34,T15,T15,Jeff Overton,80,2,832,2.0
35,T15,T15,Pat Perez,84,2,894,1.0
36,T15,T15,Justin Rose,70,2,724,
37,T15,T15,John Senden,99,2,1081,2.0
38,T15,T15,Vijay Singh,83,2,911,
39,T15,T15,Kevin Stadler,90,2,963,1.0
40,T15,T15,Kyle Stanley,87,2,903,2.0
41,T15,T15,Brendan Steele,89,2,907,1.0
42,T15,T15,Kevin Streelman,79,2,836,1.0
43,T15,T15,Brian Stuard,91,2,949,1.0
44,T15,T15,Andrew Svoboda,77,2,841,2.0
45,T15,T15,Cameron Tringale,111,2,1194,2.0
46,T15,T15,Johnson Wagner,69,2,714,2.0
47,T15,T15,Charlie Wi,72,2,765,2.0
48,T49,T49,Robert Allenby,83,1,890,1.0
49,T49,T49,Stuart Appleby,92,1,980,1.0
50,T49,T49,Jason Bohn,81,1,877,1.0
51,T49,T49,Jonathan Byrd,76,1,780,1.0
52,T49,T49,Ángel Cabrera,69,1,761,1.0
53,T49,T49,Chad Campbell,57,1,587,1.0
54,T49,T49,Paul Casey,56,1,612,1.0
55,T49,T49,Roberto Castro,76,1,791,1.0
56,T49,T49,Bud Cauley,56,1,613,
57,T49,T49,Greg Chalmers,85,1,879,
58,T49,T49,Kevin Chappell,100,1,1029,1.0
59,T49,T49,Ben Curtis,77,1,792,1.0
60,T49,T49,Brendon de Jonge,109,1,1189,1.0
61,T49,T49,James Driscoll,71,1,765,
62,T49,T49,Jason Dufner,57,1,582,
63,T49,T49,Martin Flores,85,1,908,1.0
64,T49,T49,Rickie Fowler,91,1,914,
65,T49,T49,Brad Fritsch,50,1,525,1.0
66,T49,T49,Jim Furyk,84,1,863,1.0
67,T49,T49,Brice Garnett,92,1,967,1.0
68,T49,T49,Luke Guthrie,85,1,928,1.0
69,T49,T49,Bill Haas,107,1,1127,
70,T49,T49,David Hearn,97,1,1044,1.0
71,T49,T49,Jim Herman,62,1,626,1.0
72,T49,T49,Justin Hicks,103,1,1069,1.0
73,T49,T49,J.B. Holmes,86,1,921,
74,T49,T49,Ryo Ishikawa,75,1,796,1.0
75,T49,T49,Freddie Jacobson,91,1,982,1.0
76,T49,T49,Zach Johnson,97,1,1060,1.0
77,T49,T49,Dustin Johnson,58,1,621,
78,T49,T49,Martin Kaymer,65,1,700,1.0
79,T49,T49,Russell Knox,92,1,999,
80,T49,T49,Matt Kuchar,91,1,970,
81,T49,T49,Scott Langley,95,1,1011,1.0
82,T49,T49,D.H. Lee,54,1,539,1.0
83,T49,T49,Danny Lee,84,1,875,1.0
84,T49,T49,Marc Leishman,81,1,872,1.0
85,T49,T49,Justin Leonard,75,1,815,1.0
86,T49,T49,Hunter Mahan,88,1,919,1.0
87,T49,T49,Hideki Matsuyama,82,1,872,1.0
88,T49,T49,William McGirt,96,1,1057,1.0
89,T49,T49,Rory McIlroy,66,1,692,1.0
90,T49,T49,Ryan Moore,86,1,908,1.0
91,T49,T49,Kevin Na,94,1,1017,1.0
92,T49,T49,Geoff Ogilvy,84,1,868,1.0
93,T49,T49,John Rollins,84,1,874,1.0
94,T49,T49,Andres Romero,81,1,844,
95,T49,T49,Rory Sabbatini,82,1,833,1.0
96,T49,T49,Brandt Snedeker,89,1,937,
97,T49,T49,Jordan Spieth,102,1,1057,1.0
98,T49,T49,Scott Stallings,77,1,814,
99,T49,T49,Shawn Stefani,60,1,660,1.0
100,T49,T49,Henrik Stenson,56,1,580,1.0
101,T49,T49,Kevin Tway,64,1,659,
102,T49,T49,Jimmy Walker,98,1,1045,
103,T49,T49,Mike Weir,69,1,703,1.0
104,T49,T49,Gary Woodland,93,1,984,1.0
