,6-10_Final_Round_Performance_RANK THIS WEEK,6-10_Final_Round_Performance_RANK LAST WEEK,6-10_Final_Round_Performance_PLAYER NAME,6-10_Final_Round_Performance_EVENTS,6-10_Final_Round_Performance_% TIMES IMPROVED,6-10_Final_Round_Performance_# OF TIMES IMPROVED
0,T1,T1,Ricky Barnes,27,100.0,1.0
1,T1,T1,Chad Campbell,18,100.0,1.0
2,T1,T1,Luke Donald,17,100.0,1.0
3,T1,T1,Gonzalo Fernandez-Castaño,25,100.0,1.0
4,T1,T1,Rickie Fowler,26,100.0,1.0
5,T1,T1,Tommy Gainey,26,100.0,1.0
6,T1,T1,Bill Haas,28,100.0,1.0
7,T1,T1,Brian Harman,32,100.0,1.0
8,T1,T1,David Hearn,28,100.0,1.0
9,T1,T1,Justin Hicks,30,100.0,3.0
10,T1,T1,Charley Hoffman,25,100.0,1.0
11,T1,T1,Billy Horschel,27,100.0,1.0
12,T1,T1,Charles Howell III,29,100.0,1.0
13,T1,T1,John Huh,28,100.0,1.0
14,T1,T1,Billy Hurley III,26,100.0,1.0
15,T1,T1,Dustin Johnson,17,100.0,2.0
16,T1,T1,Kevin Kisner,26,100.0,1.0
17,T1,T1,Brooks Koepka,16,100.0,1.0
18,T1,T1,Richard Lee,27,100.0,1.0
19,T1,T1,Marc Leishman,24,100.0,1.0
20,T1,T1,Justin Leonard,22,100.0,1.0
21,T1,T1,Hunter Mahan,25,100.0,1.0
22,T1,T1,Graeme McDowell,17,100.0,2.0
23,T1,T1,Rory McIlroy,17,100.0,1.0
24,T1,T1,Ryan Moore,24,100.0,2.0
25,T1,T1,Carl Pettersson,28,100.0,2.0
26,T1,T1,Wes Roach,22,100.0,1.0
27,T1,T1,Charl Schwartzel,18,100.0,2.0
28,T1,T1,Adam Scott,17,100.0,4.0
29,T1,T1,John Senden,27,100.0,1.0
30,T1,T1,Kevin Stadler,26,100.0,1.0
31,T1,T1,Scott Stallings,28,100.0,1.0
32,T1,T1,Brendan Steele,26,100.0,1.0
33,T1,T1,Shawn Stefani,17,100.0,1.0
34,T1,T1,Brian Stuard,29,100.0,3.0
35,T1,T1,Andrew Svoboda,24,100.0,1.0
36,T1,T1,Jhonattan Vegas,23,100.0,1.0
37,T1,T1,Johnson Wagner,24,100.0,1.0
38,T1,T1,Lee Westwood,18,100.0,2.0
39,T40,T40,Sergio Garcia,16,66.7,2.0
40,T40,T40,Bubba Watson,21,66.7,2.0
41,42,42,Ryan Palmer,23,60.0,3.0
42,T43,T43,Scott Brown,30,50.0,1.0
43,T43,T43,Jonathan Byrd,24,50.0,1.0
44,T43,T43,Jim Furyk,21,50.0,2.0
45,T43,T43,Matt Kuchar,24,50.0,2.0
46,T43,T43,Ben Martin,26,50.0,1.0
47,T43,T43,Michael Putnam,30,50.0,1.0
48,T43,T43,Patrick Reed,28,50.0,1.0
49,T43,T43,Webb Simpson,25,50.0,1.0
50,T43,T43,Henrik Stenson,15,50.0,1.0
51,T43,T43,Kevin Streelman,24,50.0,1.0
52,T43,T43,Camilo Villegas,29,50.0,1.0
53,T43,T43,Boo Weekley,24,50.0,1.0
54,55,55,Will MacKenzie,27,40.0,2.0
55,T56,T56,Matt Every,26,33.3,1.0
56,T56,T56,Retief Goosen,26,33.3,1.0
57,T56,T56,Morgan Hoffmann,32,33.3,1.0
58,T56,T56,Ryo Ishikawa,24,33.3,1.0
59,T56,T56,Zach Johnson,26,33.3,1.0
60,T56,T56,Chris Kirk,28,33.3,1.0
61,T56,T56,Justin Rose,19,33.3,1.0
62,T56,T56,Daniel Summerhays,27,33.3,1.0
63,T64,T64,Robert Allenby,29,0.0,
64,T64,T64,Sangmoon Bae,24,0.0,
65,T64,T64,Keegan Bradley,26,0.0,
