,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
135,T136,T136,Stewart Cink,71.6,1432,20
136,T136,T136,Martin Flores,71.6,1074,15
137,T138,T138,Brendon de Jonge,71.61,1647,23
138,T138,T138,Morgan Hoffmann,71.61,1289,18
139,140,140,Josh Teater,71.63,1146,16
140,T141,T141,Greg Chalmers,71.64,1003,14
141,T141,T141,Brian Gay,71.64,1003,14
142,143,143,Kevin Tway,71.71,502,7
143,144,144,Michael Thompson,71.73,1076,15
144,T145,T145,Martin Laird,71.75,861,12
145,T145,T145,Ian Poulter,71.75,861,12
146,147,147,John Merrick,71.76,1220,17
147,148,148,David Lingmerth,71.77,933,13
148,149,149,Andrew Loupe,71.78,646,9
149,150,150,Justin Leonard,71.8,1077,15
150,151,151,Chesson Hadley,71.83,862,12
151,152,152,Jonathan Byrd,71.92,935,13
152,T153,T153,James Driscoll,72.0,792,11
153,T153,T153,Martin Kaymer,72.0,1008,14
154,T153,T153,Jhonattan Vegas,72.0,1080,15
155,156,156,Pat Perez,72.06,1225,17
156,157,157,Davis Love III,72.07,1009,14
157,158,158,Sean O'Hair,72.08,937,13
158,159,159,Vijay Singh,72.13,1154,16
159,160,160,Jim Renner,72.17,433,6
160,161,161,Tim Wilkinson,72.19,1155,16
161,162,162,Rory Sabbatini,72.21,1011,14
162,163,163,Woody Austin,72.25,578,8
163,164,164,Retief Goosen,72.26,1373,19
164,165,165,Ben Crane,72.31,1157,16
165,166,166,Aaron Baddeley,72.33,868,12
166,167,167,J.B. Holmes,72.42,1376,19
167,168,168,Jamie Lovemark,72.56,653,9
168,169,169,Lucas Glover,72.57,508,7
169,170,170,Mike Weir,72.63,581,8
170,171,171,D.A. Points,72.64,799,11
171,172,172,D.H. Lee,72.83,437,6
172,173,173,Kyle Stanley,72.86,1020,14
173,174,174,Bronson La'Cassie,73.0,438,6
174,175,175,John Rollins,73.17,878,12
175,176,176,Briny Baird,73.38,587,8
176,177,177,Jim Herman,74.33,669,9
