,SG_Total_RANK THIS WEEK,SG_Total_RANK LAST WEEK,SG_Total_PLAYER NAME,SG_Total_ROUNDS,SG_Total_AVERAGE,SG_Total_TOTAL SG:T,SG_Total_TOTAL SG:T2G,SG_Total_TOTAL SG:P,SG_Total_MEASURED ROUNDS
0,1,1,Rory McIlroy,66,2.266,108.74600000000001,95.596,13.15,48
1,2,2,Sergio Garcia,61,1.984,79.369,72.707,6.662000000000001,40
2,3,3,Jim Furyk,84,1.796,118.54,112.51700000000001,6.024,66
3,4,4,Adam Scott,68,1.72,96.30799999999999,84.001,12.309000000000001,56
4,5,5,Matt Kuchar,91,1.5730000000000002,119.574,84.859,34.717,76
5,6,6,Justin Rose,70,1.466,76.256,78.322,-2.062,52
6,7,7,Jason Day,54,1.389,45.849,35.398,10.450999999999999,33
7,8,8,Bubba Watson,76,1.3519999999999999,75.695,78.51,-2.812,56
8,9,9,Charl Schwartzel,64,1.341,72.436,69.444,2.9939999999999998,54
9,10,10,Dustin Johnson,58,1.331,54.553000000000004,51.193000000000005,3.362,41
10,11,11,Ryan Palmer,85,1.265,84.76899999999999,65.041,19.733,67
11,12,12,Jimmy Walker,98,1.253,91.491,56.508,34.989000000000004,73
12,13,13,Graeme McDowell,66,1.171,53.881,13.29,40.589,46
13,14,14,Graham DeLaet,80,1.168,74.753,80.741,-5.982,64
14,15,15,Hideki Matsuyama,82,1.1520000000000001,73.751,98.883,-25.129,64
15,16,16,Bill Haas,107,1.09,89.41799999999999,77.36,12.062999999999999,82
16,17,17,Paul Casey,56,1.008,44.336000000000006,31.892,12.446,44
17,18,18,Keegan Bradley,89,0.9940000000000001,66.589,49.586999999999996,17.003,67
18,19,19,Henrik Stenson,56,0.992,37.693000000000005,44.141000000000005,-6.447,38
19,20,20,Jordan Spieth,102,0.98,77.4,45.885,31.52,79
20,21,21,Brooks Koepka,56,0.958,40.255,33.472,6.7829999999999995,42
21,22,22,Charley Hoffman,93,0.956,72.688,52.501999999999995,20.191,76
22,23,23,Kevin Na,94,0.9540000000000001,74.378,49.791000000000004,24.589000000000002,78
23,24,24,Jason Kokrak,65,0.9079999999999999,55.38399999999999,41.851000000000006,13.532,61
24,25,25,Gary Woodland,93,0.9,65.73,76.581,-10.847000000000001,73
25,26,26,Webb Simpson,87,0.88,65.133,42.933,22.203000000000003,74
26,27,27,Phil Mickelson,71,0.868,43.419,31.697,11.722000000000001,50
27,28,28,Chris Kirk,105,0.862,74.138,42.013999999999996,32.126999999999995,86
28,29,29,Zach Johnson,97,0.857,72.001,63.114,8.889,84
29,30,30,Ryan Moore,86,0.836,51.843999999999994,49.218,2.6289999999999996,62
30,31,31,Russell Knox,92,0.8220000000000001,68.253,77.881,-9.627,83
31,32,32,John Senden,99,0.805,65.17699999999999,26.594,38.586999999999996,81
32,33,33,George McNeill,79,0.799,55.92,36.968,18.955,70
33,34,34,Brendon Todd,108,0.7929999999999999,72.207,11.780999999999999,60.431000000000004,91
34,35,35,Rickie Fowler,91,0.769,47.703,29.729,17.976,62
35,36,36,Charles Howell III,106,0.755,71.686,68.141,3.549,95
36,37,37,Marc Leishman,81,0.7490000000000001,51.681000000000004,52.826,-1.14,69
37,38,38,Billy Horschel,92,0.738,50.919,35.711999999999996,15.21,69
38,39,39,Kevin Chappell,100,0.6920000000000001,60.193999999999996,84.36399999999999,-24.166999999999998,87
39,40,40,Luke Donald,57,0.69,30.361,7.627999999999999,22.733,44
40,41,41,Harris English,95,0.677,50.126000000000005,52.223,-2.092,74
41,42,42,Daniel Summerhays,98,0.675,59.422,16.152,43.275,88
42,43,43,Cameron Tringale,111,0.6679999999999999,65.428,54.924,10.507,98
43,44,44,Lee Westwood,57,0.6459999999999999,27.796,21.287,6.5089999999999995,43
44,45,45,Brandt Snedeker,89,0.644,42.505,20.967,21.541,66
45,46,46,Nick Watney,80,0.613,34.303000000000004,38.498000000000005,-4.191,56
46,47,47,Jerry Kelly,80,0.527,34.784,19.033,15.752,66
47,48,48,Jason Dufner,57,0.522,21.916,46.128,-24.208000000000002,42
48,49,49,Hunter Mahan,88,0.52,37.461,22.576,14.888,72
49,50,50,Brendan Steele,89,0.519,36.317,27.855999999999998,8.462,70
50,51,51,Brian Harman,111,0.515,52.053000000000004,40.657,11.399000000000001,101
51,52,52,Matt Every,85,0.49700000000000005,32.336999999999996,-15.331,47.669,65
52,53,53,Ernie Els,85,0.483,30.434,41.192,-10.755999999999998,63
53,54,54,David Toms,64,0.46,24.858,21.893,2.97,54
54,55,55,David Hearn,97,0.451,36.991,11.154000000000002,25.838,82
55,56,56,Robert Streb,75,0.43799999999999994,28.039,20.432000000000002,7.609,64
56,57,57,Robert Garrigus,80,0.429,31.319000000000003,27.885,3.4389999999999996,73
57,58,58,Ben Martin,80,0.42100000000000004,26.545,8.209,18.338,63
58,T59,T59,Shawn Stefani,60,0.418,23.809,32.143,-8.331,57
59,T59,T59,Chris Stroud,88,0.418,30.098000000000003,16.983,13.118,72
60,T61,T61,Freddie Jacobson,91,0.41100000000000003,33.253,-23.735,56.992,81
61,T61,T61,Kevin Stadler,90,0.41100000000000003,26.72,57.074,-30.351,65
62,63,63,J.B. Holmes,86,0.401,30.894000000000002,36.65,-5.752999999999999,77
63,64,64,Kevin Kisner,85,0.397,27.811,0.637,27.176,70
64,65,65,Bo Van Pelt,83,0.37799999999999995,25.325,28.903000000000002,-3.574,67
65,66,66,Stuart Appleby,92,0.361,30.3,-10.572000000000001,40.874,84
66,67,67,Willy Wilcox,51,0.349,13.943,22.085,-8.141,40
67,68,68,Scott Brown,100,0.345,28.635,11.134,17.502,83
68,69,69,Andrew Svoboda,77,0.344,22.706999999999997,24.413,-1.704,66
69,70,70,Patrick Reed,92,0.331,24.461,6.021,18.44,74
70,71,71,Retief Goosen,94,0.32899999999999996,25.623,-1.838,27.461,78
71,72,72,Brian Stuard,91,0.326,24.108,3.141,20.973000000000003,74
