,Tenth_Tee_Early_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Scoring_Average_ROUNDS,Tenth_Tee_Early_Scoring_Average_AVG,Tenth_Tee_Early_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Scoring_Average_TOTAL 10TH TEE EARLY RDS.
0,1,1,Charles Howell III,106,68.64,961,14
1,2,2,Adam Scott,68,68.69,893,13
2,3,3,Chris Stroud,88,68.73,1031,15
3,4,4,Dustin Johnson,58,68.8,688,10
4,5,5,Graham DeLaet,80,68.83,826,12
5,6,6,Graeme McDowell,66,69.08,898,13
6,7,7,Freddie Jacobson,91,69.24,1177,17
7,8,8,Nick Watney,80,69.25,554,8
8,9,9,Jason Day,54,69.3,693,10
9,10,10,Harris English,95,69.32,1317,19
10,11,11,Hudson Swafford,75,69.38,902,13
11,12,12,Hideki Matsuyama,82,69.46,903,13
12,13,13,Keegan Bradley,89,69.47,1181,17
13,14,14,Justin Rose,70,69.54,904,13
14,15,15,Jim Furyk,84,69.56,1113,16
15,16,16,Sergio Garcia,61,69.63,557,8
16,17,17,Ryan Moore,86,69.64,766,11
17,18,18,Russell Knox,92,69.65,1184,17
18,T19,T19,Matt Kuchar,91,69.67,1463,21
19,T19,T19,Charl Schwartzel,64,69.67,627,9
20,T19,T19,Robert Streb,75,69.67,1045,15
21,T22,T22,Morgan Hoffmann,103,69.71,1673,24
22,T22,T22,Willy Wilcox,51,69.71,488,7
23,24,24,Bubba Watson,76,69.76,1186,17
24,25,25,Jordan Spieth,102,69.8,1745,25
25,26,26,Jason Kokrak,65,69.89,629,9
26,27,27,Jeff Overton,80,69.93,1049,15
27,T28,T28,Brendan Steele,89,69.94,1259,18
28,T28,T28,Tim Wilkinson,86,69.94,1119,16
29,T30,T30,Webb Simpson,87,70.0,1330,19
30,T30,T30,Brian Stuard,91,70.0,1120,16
31,T30,T30,Michael Thompson,74,70.0,1120,16
32,T30,T30,Gary Woodland,93,70.0,630,9
33,34,34,Patrick Reed,92,70.05,1541,22
34,T35,T35,Rickie Fowler,91,70.09,1542,22
35,T35,T35,Rory McIlroy,66,70.09,771,11
36,37,37,Ian Poulter,57,70.1,701,10
37,38,38,Michael Putnam,106,70.16,1754,25
38,39,39,Jimmy Walker,98,70.18,1544,22
39,40,40,Ben Curtis,77,70.19,1123,16
40,T41,T41,Chad Campbell,57,70.25,1124,16
41,T41,T41,Justin Hicks,103,70.25,843,12
42,43,43,Scott Langley,95,70.26,1335,19
43,T44,T44,Zach Johnson,97,70.27,1546,22
44,T44,T44,Spencer Levin,59,70.27,1054,15
45,T44,T44,William McGirt,96,70.27,1546,22
46,T44,T44,Daniel Summerhays,98,70.27,1546,22
47,T48,T48,Matt Jones,83,70.29,984,14
48,T48,T48,Martin Kaymer,65,70.29,984,14
49,T50,T50,Jerry Kelly,80,70.33,1055,15
50,T50,T50,Brooks Koepka,56,70.33,844,12
51,T50,T50,David Toms,64,70.33,1266,18
52,53,53,Erik Compton,88,70.35,1618,23
53,54,54,Bo Van Pelt,83,70.36,774,11
54,55,55,Gonzalo Fernandez-Castaño,83,70.38,1126,16
55,56,56,John Senden,99,70.39,1267,18
56,57,57,Greg Chalmers,85,70.41,1197,17
57,T58,T58,Kevin Chappell,100,70.42,1338,19
58,T58,T58,George McNeill,79,70.42,845,12
59,T58,T58,Kevin Stadler,90,70.42,845,12
60,61,61,Ryo Ishikawa,75,70.45,1409,20
61,T62,T62,Robert Allenby,83,70.5,1128,16
62,T62,T62,Heath Slocum,71,70.5,705,10
63,T64,T64,Brian Davis,93,70.54,917,13
64,T64,T64,Vijay Singh,83,70.54,917,13
65,66,66,Andrew Svoboda,77,70.55,776,11
66,67,67,Charlie Beljan,76,70.56,1270,18
67,68,68,Cameron Tringale,111,70.58,1694,24
68,T69,T69,Stewart Cink,91,70.6,1059,15
69,T69,T69,J.J. Henry,91,70.6,1412,20
70,T69,T69,Ben Martin,80,70.6,1059,15
71,T69,T69,Shawn Stefani,60,70.6,706,10
72,73,73,Tyrone Van Aswegen,79,70.61,1271,18
73,74,74,Camilo Villegas,95,70.63,1130,16
74,75,75,James Driscoll,71,70.64,989,14
75,T76,T76,K.J. Choi,80,70.65,1201,17
76,T76,T76,Chad Collins,78,70.65,1201,17
77,78,78,Will MacKenzie,82,70.67,1060,15
78,79,79,Brandt Snedeker,89,70.68,1343,19
79,T80,T80,Brad Fritsch,50,70.7,707,10
80,T80,T80,Brendon Todd,108,70.7,1626,23
81,82,82,Luke Donald,57,70.73,778,11
82,T83,T83,Bud Cauley,56,70.75,566,8
83,T83,T83,David Hearn,97,70.75,1415,20
84,T83,T83,Hunter Mahan,88,70.75,849,12
85,86,86,"Ted Potter, Jr.",68,70.77,920,13
86,87,87,Robert Garrigus,80,70.78,1274,18
87,T88,T88,Billy Horschel,92,70.8,708,10
88,T88,T88,Pat Perez,84,70.8,1062,15
89,90,90,Ricky Barnes,92,70.81,1133,16
90,91,91,Ken Duke,80,70.83,850,12
91,92,92,Brice Garnett,92,70.84,1346,19
92,93,93,Paul Casey,56,70.86,496,7
93,94,94,Charley Hoffman,93,70.87,1063,15
94,T95,T95,Kevin Na,94,70.88,1134,16
95,T95,T95,Y.E. Yang,79,70.88,1205,17
96,T97,T97,Ben Crane,81,70.89,1347,19
97,T97,T97,Martin Laird,66,70.89,638,9
98,T97,T97,Ryan Palmer,85,70.89,1276,18
99,100,100,John Peterson,62,70.91,780,11
100,101,101,Andrew Loupe,65,70.92,922,13
101,102,102,Troy Merritt,62,70.93,1064,15
102,103,103,John Rollins,84,70.94,1135,16
103,T104,T104,Brian Harman,111,70.95,1490,21
104,T104,T104,Billy Hurley III,86,70.95,1419,20
105,T106,T106,Jonas Blixt,64,71.0,923,13
106,T106,T106,Jonathan Byrd,76,71.0,1207,17
107,T106,T106,Retief Goosen,94,71.0,1065,15
108,T106,T106,Bill Haas,107,71.0,1065,15
109,T106,T106,Danny Lee,84,71.0,1136,16
110,T106,T106,Phil Mickelson,71,71.0,1207,17
111,T106,T106,Boo Weekley,73,71.0,923,13
112,T113,T113,Stuart Appleby,92,71.05,1492,21
113,T113,T113,Luke Guthrie,85,71.05,1492,21
114,T115,T115,Brendon de Jonge,109,71.06,1279,18
115,T115,T115,Sean O'Hair,77,71.06,1279,18
116,117,117,Rory Sabbatini,82,71.07,1066,15
117,118,118,James Hahn,82,71.09,1635,23
118,119,119,Henrik Stenson,56,71.1,711,10
119,120,120,David Lingmerth,80,71.13,1138,16
120,T121,T121,Kevin Streelman,79,71.17,854,12
121,T121,T121,Kevin Tway,64,71.17,854,12
122,T123,T123,Aaron Baddeley,74,71.18,783,11
123,T123,T123,Jason Bohn,81,71.18,1210,17
124,T123,T123,Wes Roach,67,71.18,783,11
125,T126,T126,Martin Flores,85,71.19,1139,16
126,T126,T126,Carl Pettersson,91,71.19,1139,16
127,128,128,Steven Bowditch,93,71.2,1068,15
128,T129,T129,Derek Ernst,80,71.21,997,14
129,T129,T129,Lee Westwood,57,71.21,997,14
130,131,131,Marc Leishman,81,71.22,641,9
131,132,132,Scott Brown,100,71.23,926,13
132,133,133,Nicholas Thompson,85,71.24,1496,21
133,134,134,Jason Dufner,57,71.25,855,12
134,135,135,Ernie Els,85,71.29,998,14
135,136,136,Tommy Gainey,73,71.31,1141,16
136,137,137,Justin Leonard,75,71.35,1427,20
137,138,138,Chris Kirk,105,71.36,999,14
138,139,139,Josh Teater,90,71.39,1285,18
139,140,140,Matt Every,85,71.4,714,10
140,141,141,J.B. Holmes,86,71.41,1214,17
141,T142,T142,Davis Love III,74,71.44,1286,18
142,T142,T142,Seung-Yul Noh,92,71.44,1143,16
143,T144,T144,Jamie Lovemark,64,71.47,1215,17
144,T144,T144,D.A. Points,75,71.47,1072,15
145,146,146,Johnson Wagner,69,71.53,1216,17
146,147,147,Kyle Stanley,87,71.56,1288,18
147,148,148,Geoff Ogilvy,84,71.58,859,12
148,149,149,Brian Gay,81,71.65,1433,20
149,150,150,Sangmoon Bae,76,71.7,717,10
150,151,151,Tim Clark,75,71.75,861,12
151,152,152,Russell Henley,92,71.76,1220,17
152,T153,T153,Ángel Cabrera,69,71.78,1292,18
153,T153,T153,Trevor Immelman,84,71.78,1292,18
154,T153,T153,Richard Lee,80,71.78,1292,18
155,156,156,John Huh,87,71.85,934,13
156,157,157,Jhonattan Vegas,77,71.86,1006,14
157,158,158,Scott Stallings,77,71.87,1078,15
158,159,159,Andres Romero,81,71.95,1367,19
159,T160,T160,Briny Baird,50,72.0,864,12
160,T160,T160,Bronson La'Cassie,51,72.0,576,8
161,162,162,Mark Wilson,69,72.06,1225,17
162,163,163,Lucas Glover,68,72.07,1081,15
163,164,164,Jim Herman,62,72.08,865,12
164,165,165,D.H. Lee,54,72.11,649,9
165,166,166,Kevin Kisner,85,72.13,1154,16
166,167,167,Roberto Castro,76,72.21,1011,14
167,168,168,John Merrick,87,72.24,1517,21
168,169,169,Charlie Wi,72,72.33,1302,18
169,170,170,Troy Matteson,62,72.38,941,13
170,171,171,Mike Weir,69,72.47,1232,17
171,172,172,Jeff Maggert,54,72.53,1088,15
172,173,173,Chesson Hadley,84,72.58,871,12
173,174,174,Louis Oosthuizen,50,72.6,363,5
174,175,175,Bryce Molder,77,72.63,1380,19
175,176,176,Woody Austin,63,72.64,799,11
176,177,177,Jim Renner,61,72.77,946,13
