,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
0,1,1,Sergio Garcia,61,69.08,2487,36
1,2,2,Rory McIlroy,66,69.14,2973,43
2,3,3,Jerry Kelly,80,69.46,2431,35
3,4,4,Jim Furyk,84,69.6,3619,52
4,5,5,Ryan Palmer,85,69.63,3203,46
5,6,6,Zach Johnson,97,69.76,3558,51
6,7,7,Adam Scott,68,69.79,3280,47
7,T8,T8,Chad Campbell,57,69.88,1817,26
8,T8,T8,Bubba Watson,76,69.88,2935,42
9,T10,T10,Brian Harman,111,69.89,3704,53
10,T10,T10,Matt Kuchar,91,69.89,3984,57
11,T10,T10,Chris Stroud,88,69.89,3215,46
12,13,13,Carl Pettersson,91,69.95,3078,44
13,14,14,Kevin Na,94,70.0,3570,51
14,T15,T15,Tim Clark,75,70.03,2591,37
15,T15,T15,Charl Schwartzel,64,70.03,2451,35
16,T17,T17,Shawn Stefani,60,70.04,1751,25
17,T17,T17,Brendon Todd,108,70.04,3922,56
18,19,19,Bill Haas,107,70.09,3715,53
19,T20,T20,Graham DeLaet,80,70.14,3086,44
20,T20,T20,Marc Leishman,81,70.14,2946,42
21,T20,T20,David Toms,64,70.14,2034,29
22,T20,T20,Willy Wilcox,51,70.14,1964,28
23,24,24,Charles Howell III,106,70.18,3579,51
24,25,25,Jason Day,54,70.23,2177,31
25,26,26,Robert Streb,75,70.26,2670,38
26,27,27,Jimmy Walker,98,70.27,3654,52
27,T28,T28,Rickie Fowler,91,70.33,2954,42
28,T28,T28,Dustin Johnson,58,70.33,2532,36
29,30,30,Charley Hoffman,93,70.36,3096,44
30,31,31,Brian Stuard,91,70.38,3167,45
31,T32,T32,Jason Kokrak,65,70.39,2675,38
32,T32,T32,John Senden,99,70.39,3590,51
33,34,34,Harris English,95,70.4,3168,45
34,35,35,Justin Hicks,103,70.41,3098,44
35,36,36,Webb Simpson,87,70.42,2676,38
36,T37,T37,Ricky Barnes,92,70.43,2817,40
37,T37,T37,Billy Horschel,92,70.43,3310,47
38,T39,T39,Freddie Jacobson,91,70.44,3170,45
39,T39,T39,Jordan Spieth,102,70.44,4156,59
40,T41,T41,Scott Brown,100,70.46,3382,48
41,T41,T41,Ryan Moore,86,70.46,3523,50
42,T43,T43,Graeme McDowell,66,70.47,2255,32
43,T43,T43,William McGirt,96,70.47,3312,47
44,45,45,Jim Herman,62,70.48,1903,27
45,T46,T46,Jason Bohn,81,70.49,2890,41
46,T46,T46,Jhonattan Vegas,77,70.49,2608,37
47,48,48,Andrew Svoboda,77,70.5,2679,38
48,49,49,Hideki Matsuyama,82,70.51,2891,41
49,50,50,Keegan Bradley,89,70.52,3667,52
50,51,51,George McNeill,79,70.53,2680,38
51,T52,T52,Chris Kirk,105,70.56,4022,57
52,T52,T52,Justin Rose,70,70.56,2893,41
53,T52,T52,Heath Slocum,71,70.56,2258,32
54,T52,T52,Daniel Summerhays,98,70.56,3175,45
55,56,56,Bryce Molder,77,70.58,2188,31
56,57,57,Boo Weekley,73,70.61,1977,28
57,T58,T58,Robert Garrigus,80,70.62,2613,37
58,T58,T58,Kevin Stadler,90,70.62,2754,39
59,T60,T60,Jason Dufner,57,70.63,1907,27
60,T60,T60,Ben Martin,80,70.63,3037,43
