,Tenth_Tee_Early_Lowest_Round_RANK THIS WEEK,Tenth_Tee_Early_Lowest_Round_RANK LAST WEEK,Tenth_Tee_Early_Lowest_Round_PLAYER NAME,Tenth_Tee_Early_Lowest_Round_ROUNDS,Tenth_Tee_Early_Lowest_Round_LOW RND
0,1,1,J.J. Henry,91,60
1,T2,T2,Brendon de Jonge,109,62
2,T2,T2,Harris English,95,62
3,T2,T2,Andres Gonzales,6,62
4,T2,T2,Martin Kaymer,65,62
5,T2,T2,Adam Scott,68,62
6,T2,T2,Brendan Steele,89,62
7,T8,T8,Jonathan Byrd,76,63
8,T8,T8,Bud Cauley,56,63
9,T8,T8,Graham DeLaet,80,63
10,T8,T8,Brad Fritsch,50,63
11,T8,T8,Jim Furyk,84,63
12,T8,T8,Billy Hurley III,86,63
13,T8,T8,Zach Johnson,97,63
14,T8,T8,Robert Karlsson,24,63
15,T8,T8,Russell Knox,92,63
16,T8,T8,Michael Putnam,106,63
17,T8,T8,Patrick Reed,92,63
18,T8,T8,John Senden,99,63
19,T8,T8,Webb Simpson,87,63
20,T8,T8,Jordan Spieth,102,63
21,T8,T8,Tim Wilkinson,86,63
22,T23,T23,Jonas Blixt,64,64
23,T23,T23,Brian Davis,93,64
24,T23,T23,Robert Garrigus,80,64
25,T23,T23,Luke Guthrie,85,64
26,T23,T23,Todd Hamilton,10,64
27,T23,T23,Brooks Koepka,56,64
28,T23,T23,Edward Loar,46,64
29,T23,T23,Scott Piercy,35,64
30,T23,T23,Brandt Snedeker,89,64
31,T23,T23,Henrik Stenson,56,64
32,T23,T23,Chris Stroud,88,64
33,T23,T23,Daniel Summerhays,98,64
34,T23,T23,Hudson Swafford,75,64
35,T23,T23,David Toms,64,64
36,T23,T23,Bubba Watson,76,64
37,T38,T38,Stephen Ames,48,65
38,T38,T38,Stuart Appleby,92,65
39,T38,T38,Jason Bohn,81,65
40,T38,T38,K.J. Choi,80,65
41,T38,T38,James Driscoll,71,65
42,T38,T38,Joe Durant,47,65
43,T38,T38,Matt Every,85,65
44,T38,T38,Sergio Garcia,61,65
45,T38,T38,James Hahn,82,65
46,T38,T38,Peter Hanson,37,65
47,T38,T38,Russell Henley,92,65
48,T38,T38,Charles Howell III,106,65
49,T38,T38,Steven Ihm,4,65
50,T38,T38,Jerry Kelly,80,65
51,T38,T38,Matt Kuchar,91,65
52,T38,T38,Scott Langley,95,65
53,T38,T38,Marc Leishman,81,65
54,T38,T38,Spencer Levin,59,65
