,Birdie_or_Better_Percentage_-_150-175_ya_RANK THIS WEEK,Birdie_or_Better_Percentage_-_150-175_ya_RANK LAST WEEK,Birdie_or_Better_Percentage_-_150-175_ya_PLAYER NAME,Birdie_or_Better_Percentage_-_150-175_ya_ROUNDS,Birdie_or_Better_Percentage_-_150-175_ya_%,Birdie_or_Better_Percentage_-_150-175_ya_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_150-175_ya_TOTAL HOLES
0,1,1,Paul Casey,56,21.18,36,170
1,2,2,Graeme McDowell,66,20.83,35,168
2,3,3,Brooks Koepka,56,20.69,30,145
3,4,4,John Huh,87,20.66,56,271
4,5,5,Dustin Johnson,58,20.13,30,149
5,6,6,Henrik Stenson,56,19.53,25,128
6,7,7,Ryan Palmer,85,19.5,47,241
7,8,8,Adam Scott,68,19.38,44,227
8,9,9,Bubba Watson,76,18.97,33,174
9,10,10,Russell Knox,92,18.95,58,306
10,11,11,Keegan Bradley,89,18.94,50,264
11,12,12,Greg Chalmers,85,18.82,51,271
12,13,13,David Toms,64,18.65,36,193
13,14,14,Hideki Matsuyama,82,18.6,48,258
14,15,15,Ken Duke,80,18.5,47,254
15,16,16,Webb Simpson,87,18.49,49,265
16,17,17,Brian Gay,81,18.34,42,229
17,18,18,Ryo Ishikawa,75,18.33,44,240
18,19,19,Sergio Garcia,61,18.18,24,132
19,20,20,Brendon Todd,108,18.07,60,332
20,21,21,Ernie Els,85,18.02,40,222
21,22,22,Lee Westwood,57,17.96,30,167
22,23,23,Daniel Summerhays,98,17.94,54,301
23,24,24,William McGirt,96,17.89,56,313
24,25,25,Luke Donald,57,17.81,26,146
25,26,26,Jamie Lovemark,64,17.79,29,163
26,27,27,Ben Crane,81,17.73,50,282
27,28,28,Jimmy Walker,98,17.62,46,261
28,29,29,Sangmoon Bae,76,17.57,42,239
29,30,30,Brian Stuard,91,17.54,50,285
30,31,31,Harris English,95,17.51,52,297
31,T32,T32,Will MacKenzie,82,17.43,42,241
32,T32,T32,Rory Sabbatini,82,17.43,38,218
33,34,34,David Hearn,97,17.41,55,316
34,35,35,Retief Goosen,94,17.38,53,305
35,36,36,Rory McIlroy,66,17.37,29,167
36,37,37,J.B. Holmes,86,17.36,46,265
37,T38,T38,Tommy Gainey,73,17.3,41,237
38,T38,T38,Jason Kokrak,65,17.3,41,237
39,40,40,Chris Kirk,105,17.28,52,301
40,41,41,Luke Guthrie,85,17.25,49,284
41,42,42,Michael Thompson,74,17.21,37,215
42,43,43,Robert Garrigus,80,17.16,46,268
43,44,44,Brandt Snedeker,89,17.14,42,245
44,T45,T45,Roberto Castro,76,17.11,32,187
45,T45,T45,Jerry Kelly,80,17.11,45,263
46,47,47,K.J. Choi,80,17.08,41,240
47,T48,T48,Scott Brown,100,17.01,49,288
48,T48,T48,Freddie Jacobson,91,17.01,50,294
49,50,50,Kevin Kisner,85,16.98,45,265
50,51,51,Shawn Stefani,60,16.96,39,230
51,52,52,Brian Harman,111,16.91,58,343
52,53,53,Jeff Overton,80,16.88,39,231
53,54,54,Geoff Ogilvy,84,16.86,44,261
54,55,55,D.A. Points,75,16.84,33,196
55,56,56,Kevin Chappell,100,16.82,54,321
56,57,57,George McNeill,79,16.79,44,262
57,58,58,Heath Slocum,71,16.74,40,239
58,59,59,Jason Dufner,57,16.67,27,162
59,60,60,Gonzalo Fernandez-Castaño,83,16.6,44,265
60,61,61,Kevin Stadler,90,16.59,36,217
61,62,62,Gary Woodland,93,16.54,44,266
62,63,63,Ben Curtis,77,16.53,40,242
63,64,64,Ben Martin,80,16.52,38,230
64,65,65,Marc Leishman,81,16.42,45,274
65,66,66,Charlie Beljan,76,16.28,42,258
66,67,67,John Peterson,62,16.23,31,191
