,Reverse_Bounce_Back_RANK THIS WEEK,Reverse_Bounce_Back_RANK LAST WEEK,Reverse_Bounce_Back_PLAYER NAME,Reverse_Bounce_Back_ROUNDS,Reverse_Bounce_Back_% UNDER THEN OVER PAR,Reverse_Bounce_Back_TOTAL UNDER THEN OVER PAR,Reverse_Bounce_Back_UNDER PAR
0,1,1,Ryan Moore,86,9.71,30,309
1,2,2,Justin Rose,70,10.48,26,248
2,3,3,Pat Perez,84,11.51,32,278
3,4,4,Matt Every,85,11.63,35,301
4,5,5,Shawn Stefani,60,11.68,23,197
5,6,6,Scott Langley,95,12.1,38,314
6,7,7,Jim Furyk,84,12.27,33,269
7,8,8,David Hearn,97,12.42,40,322
8,9,9,Russell Knox,92,12.75,39,306
9,10,10,Jason Kokrak,65,12.82,30,234
10,11,11,Rickie Fowler,91,12.85,41,319
11,12,12,Charley Hoffman,93,12.86,45,350
12,T13,T13,Sergio Garcia,61,12.9,28,217
13,T13,T13,Jeff Maggert,54,12.9,20,155
14,15,15,Adam Scott,68,13.01,35,269
15,16,16,George McNeill,79,13.12,37,282
16,17,17,Carl Pettersson,91,13.16,40,304
17,18,18,Graham DeLaet,80,13.19,38,288
18,19,19,Bill Haas,107,13.37,48,359
19,20,20,Bubba Watson,76,13.4,39,291
20,21,21,Matt Kuchar,91,13.46,44,327
21,22,22,Jeff Overton,80,13.53,36,266
22,23,23,Charles Howell III,106,13.6,51,375
23,24,24,Rory McIlroy,66,13.62,38,279
24,25,25,William McGirt,96,13.68,45,329
25,26,26,Marc Leishman,81,13.82,38,275
26,T27,T27,Keegan Bradley,89,13.89,45,324
27,T27,T27,Spencer Levin,59,13.89,25,180
28,29,29,Brendon Todd,108,13.93,51,366
29,30,30,Ben Martin,80,13.97,38,272
30,31,31,Chad Campbell,57,14.02,23,164
31,T32,T32,Stewart Cink,91,14.04,41,292
32,T32,T32,John Peterson,62,14.04,25,178
33,T34,T34,Bryce Molder,77,14.1,33,234
34,T34,T34,Brian Stuard,91,14.1,44,312
35,36,36,Zach Johnson,97,14.11,46,326
36,37,37,Sean O'Hair,77,14.16,33,233
37,38,38,Heath Slocum,71,14.22,30,211
38,39,39,Andrew Loupe,65,14.35,31,216
39,T40,T40,Charl Schwartzel,64,14.4,35,243
40,T40,T40,Jimmy Walker,98,14.4,55,382
41,42,42,Billy Hurley III,86,14.56,38,261
42,43,43,"Ted Potter, Jr.",68,14.57,29,199
43,44,44,Brendon de Jonge,109,14.58,50,343
44,45,45,Gonzalo Fernandez-Castaño,83,14.67,38,259
45,46,46,Kevin Chappell,100,14.81,52,351
46,47,47,Justin Leonard,75,14.86,33,222
47,48,48,Bo Van Pelt,83,14.87,40,269
48,49,49,Chris Stroud,88,14.94,49,328
49,T50,T50,Brice Garnett,92,14.95,42,281
50,T50,T50,Chris Kirk,105,14.95,55,368
51,T50,T50,Brendan Steele,89,14.95,45,301
52,53,53,J.J. Henry,91,14.96,38,254
53,54,54,Ben Curtis,77,14.98,34,227
54,55,55,Cameron Tringale,111,15.0,54,360
55,56,56,Jordan Spieth,102,15.01,56,373
56,57,57,Dustin Johnson,58,15.04,34,226
57,58,58,Billy Horschel,92,15.06,47,312
58,59,59,Freddie Jacobson,91,15.11,47,311
59,60,60,Boo Weekley,73,15.2,31,204
60,61,61,Hudson Swafford,75,15.22,35,230
61,62,62,Retief Goosen,94,15.3,43,281
62,63,63,Brian Harman,111,15.32,59,385
63,64,64,Camilo Villegas,95,15.34,52,339
64,65,65,Tim Wilkinson,86,15.35,39,254
65,66,66,Jerry Kelly,80,15.38,42,273
66,67,67,D.H. Lee,54,15.5,20,129
67,68,68,Luke Guthrie,85,15.51,47,303
68,69,69,Graeme McDowell,66,15.53,34,219
69,70,70,John Senden,99,15.6,51,327
70,71,71,Ryan Palmer,85,15.63,50,320
71,72,72,Davis Love III,74,15.65,36,230
72,T73,T73,Paul Casey,56,15.69,32,204
73,T73,T73,Justin Hicks,103,15.69,51,325
74,T75,T75,Richard Lee,80,15.79,39,247
75,T75,T75,D.A. Points,75,15.79,33,209
76,T77,T77,Jason Day,54,15.82,25,158
77,T77,T77,Kevin Na,94,15.82,53,335
78,79,79,Robert Allenby,83,15.83,41,259
79,80,80,Troy Matteson,62,15.85,29,183
80,81,81,Jonas Blixt,64,15.87,33,208
81,82,82,Phil Mickelson,71,15.94,40,251
82,83,83,Kevin Stadler,90,15.99,51,319
83,84,84,Charlie Beljan,76,16.06,40,249
84,85,85,Ernie Els,85,16.13,40,248
85,86,86,Morgan Hoffmann,103,16.14,56,347
86,87,87,Hideki Matsuyama,82,16.15,47,291
87,88,88,Martin Kaymer,65,16.23,37,228
