,Tenth_Tee_Early_Par_4_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Par_4_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Par_4_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Par_4_Scoring_Average_ROUNDS,Tenth_Tee_Early_Par_4_Scoring_Average_AVG,Tenth_Tee_Early_Par_4_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Par_4_Scoring_Average_TOTAL HOLES
0,T1,T1,Charles Howell III,106,3.92,603,154
1,T1,T1,Adam Scott,68,3.92,569,145
2,T3,T3,Jim Furyk,84,3.93,672,171
3,T3,T3,Justin Rose,70,3.93,539,137
4,T5,T5,Graeme McDowell,66,3.94,563,143
5,T5,T5,Chris Stroud,88,3.94,658,167
6,T5,T5,Hudson Swafford,75,3.94,559,142
7,T5,T5,Michael Thompson,74,3.94,658,167
8,9,9,Bo Van Pelt,83,3.95,450,114
9,T10,T10,Freddie Jacobson,91,3.96,729,184
10,T10,T10,Robert Streb,75,3.96,650,164
11,T12,T12,Jason Day,54,3.97,429,108
12,T12,T12,Martin Kaymer,65,3.97,600,151
13,T12,T12,Ryan Moore,86,3.97,480,121
14,T12,T12,Charl Schwartzel,64,3.97,405,102
15,T12,T12,Brendan Steele,89,3.97,751,189
16,T12,T12,Willy Wilcox,51,3.97,298,75
17,T18,T18,Keegan Bradley,89,3.98,732,184
18,T18,T18,Sergio Garcia,61,3.98,350,88
19,T18,T18,Brian Stuard,91,3.98,681,171
20,T18,T18,Andrew Svoboda,77,3.98,482,121
21,T18,T18,Gary Woodland,93,3.98,382,96
22,T23,T23,Bud Cauley,56,3.99,343,86
23,T23,T23,Jerry Kelly,80,3.99,659,165
24,T23,T23,Jason Kokrak,65,3.99,379,95
25,T23,T23,Patrick Reed,92,3.99,954,239
26,T23,T23,Webb Simpson,87,3.99,822,206
27,T23,T23,Heath Slocum,71,3.99,427,107
28,T23,T23,Jordan Spieth,102,3.99,1076,270
29,T23,T23,Bubba Watson,76,3.99,739,185
30,T23,T23,Tim Wilkinson,86,3.99,698,175
31,T32,T32,Erik Compton,88,4.0,1000,250
32,T32,T32,Graham DeLaet,80,4.0,520,130
33,T32,T32,Charley Hoffman,93,4.0,644,161
34,T32,T32,Matt Kuchar,91,4.0,931,233
35,T32,T32,Ryan Palmer,85,4.0,776,194
36,T32,T32,Pat Perez,84,4.0,648,162
37,T32,T32,Michael Putnam,106,4.0,1105,276
38,T32,T32,Jimmy Walker,98,4.0,948,237
39,T40,T40,Luke Guthrie,85,4.01,922,230
40,T40,T40,Justin Hicks,103,4.01,505,126
41,T40,T40,Jeff Overton,80,4.01,658,164
42,T40,T40,John Senden,99,4.01,785,196
43,T40,T40,Kevin Streelman,79,4.01,509,127
44,T40,T40,David Toms,64,4.01,793,198
45,T40,T40,Nick Watney,80,4.01,353,88
46,T47,T47,Kevin Chappell,100,4.02,803,200
47,T47,T47,Rickie Fowler,91,4.02,956,238
48,T47,T47,David Hearn,97,4.02,885,220
49,T47,T47,Morgan Hoffmann,103,4.02,1048,261
50,T47,T47,Russell Knox,92,4.02,756,188
51,T47,T47,Scott Langley,95,4.02,820,204
52,T47,T47,Danny Lee,84,4.02,724,180
53,T47,T47,Spencer Levin,59,4.02,671,167
54,T47,T47,Hunter Mahan,88,4.02,539,134
55,T47,T47,George McNeill,79,4.02,514,128
56,T47,T47,Camilo Villegas,95,4.02,700,174
57,T58,T58,Ricky Barnes,92,4.03,701,174
58,T58,T58,Greg Chalmers,85,4.03,750,186
59,T58,T58,Bill Haas,107,4.03,640,159
60,T58,T58,Dustin Johnson,58,4.03,455,113
61,T58,T58,Matt Jones,83,4.03,580,144
62,T58,T58,Andrew Loupe,65,4.03,556,138
63,T58,T58,Hideki Matsuyama,82,4.03,585,145
64,T58,T58,Carl Pettersson,91,4.03,702,174
65,T58,T58,Daniel Summerhays,98,4.03,955,237
66,T58,T58,Tyrone Van Aswegen,79,4.03,785,195
67,T58,T58,Lee Westwood,57,4.03,601,149
68,T69,T69,Aaron Baddeley,74,4.04,469,116
69,T69,T69,Charlie Beljan,76,4.04,800,198
70,T69,T69,Ángel Cabrera,69,4.04,803,199
71,T69,T69,Ben Crane,81,4.04,844,209
72,T69,T69,Harris English,95,4.04,860,213
73,T69,T69,J.J. Henry,91,4.04,865,214
74,T69,T69,Zach Johnson,97,4.04,1005,249
75,T69,T69,Chris Kirk,105,4.04,618,153
76,T69,T69,William McGirt,96,4.04,982,243
77,T69,T69,Troy Merritt,62,4.04,655,162
78,T69,T69,Phil Mickelson,71,4.04,743,184
79,T69,T69,John Rollins,84,4.04,707,175
80,T69,T69,Vijay Singh,83,4.04,578,143
81,T69,T69,Boo Weekley,73,4.04,590,146
82,T83,T83,Jonas Blixt,64,4.05,551,136
83,T83,T83,Stewart Cink,91,4.05,665,164
84,T83,T83,Brian Davis,93,4.05,543,134
85,T83,T83,Brad Fritsch,50,4.05,446,110
86,T83,T83,Retief Goosen,94,4.05,656,162
87,T83,T83,Billy Hurley III,86,4.05,904,223
88,T83,T83,David Lingmerth,80,4.05,692,171
89,T83,T83,Rory McIlroy,66,4.05,482,119
90,T83,T83,Kevin Stadler,90,4.05,530,131
91,T83,T83,Brendon Todd,108,4.05,1016,251
92,T83,T83,Cameron Tringale,111,4.05,1049,259
93,T94,T94,Robert Allenby,83,4.06,723,178
94,T94,T94,Jonathan Byrd,76,4.06,755,186
95,T94,T94,Tim Clark,75,4.06,532,131
96,T94,T94,Ben Curtis,77,4.06,702,173
97,T94,T94,Gonzalo Fernandez-Castaño,83,4.06,714,176
98,T94,T94,Brice Garnett,92,4.06,841,207
99,T94,T94,Brian Gay,81,4.06,872,215
100,T94,T94,Ben Martin,80,4.06,634,156
101,T94,T94,"Ted Potter, Jr.",68,4.06,581,143
102,T94,T94,Ian Poulter,57,4.06,434,107
103,T94,T94,Brandt Snedeker,89,4.06,812,200
104,T105,T105,Jason Bohn,81,4.07,749,184
105,T105,T105,Chad Campbell,57,4.07,740,182
106,T105,T105,Chad Collins,78,4.07,778,191
107,T105,T105,Derek Ernst,80,4.07,599,147
108,T105,T105,Martin Laird,66,4.07,403,99
109,T105,T105,Marc Leishman,81,4.07,403,99
