,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
0,1,1,Rory McIlroy,69.13,2212,32
1,2,2,Sergio Garcia,69.4,2082,30
2,3,3,Adam Scott,69.47,2362,34
3,4,4,Ryan Palmer,69.54,3338,48
4,T5,T5,Jim Furyk,69.63,2855,41
5,T5,T5,Dustin Johnson,69.63,2228,32
6,7,7,Matt Kuchar,69.74,3208,46
7,8,8,Chris Kirk,69.98,3849,55
8,9,9,Zach Johnson,70.06,3573,51
9,10,10,Harris English,70.11,3856,55
10,11,11,Russell Knox,70.13,3787,54
11,12,12,Chris Stroud,70.14,3577,51
12,13,13,Bill Haas,70.15,3788,54
13,14,14,Keegan Bradley,70.2,3580,51
14,15,15,Robert Streb,70.22,2879,41
15,16,16,Jordan Spieth,70.23,3722,53
16,17,17,Ryan Moore,70.26,3232,46
17,18,18,Charles Howell III,70.29,4147,59
18,19,19,Tim Wilkinson,70.3,3515,50
19,T20,T20,Jason Day,70.32,1969,28
20,T20,T20,Kevin Na,70.32,3938,56
21,22,22,Brian Harman,70.33,4642,66
22,23,23,Brendon Todd,70.35,4221,60
23,T24,T24,Brooks Koepka,70.38,2252,32
24,T24,T24,Bubba Watson,70.38,2745,39
25,26,26,Paul Casey,70.41,2253,32
26,T27,T27,Kevin Chappell,70.43,3944,56
27,T27,T27,Jason Kokrak,70.43,2817,40
28,T27,T27,Scott Langley,70.43,4085,58
29,T27,T27,Marc Leishman,70.43,3240,46
30,T27,T27,Camilo Villegas,70.43,4085,58
31,32,32,Justin Rose,70.44,2536,36
32,33,33,Seung-Yul Noh,70.45,3875,55
33,T34,T34,Jim Herman,70.46,2889,41
34,T34,T34,John Senden,70.46,3946,56
35,36,36,Jhonattan Vegas,70.49,3172,45
36,37,37,Retief Goosen,70.5,3666,52
37,38,38,Ricky Barnes,70.51,3737,53
38,39,39,Hideki Matsuyama,70.52,3103,44
39,T40,T40,Jamie Lovemark,70.53,2821,40
40,T40,T40,Charl Schwartzel,70.53,2398,34
41,42,42,Stewart Cink,70.55,3598,51
42,T43,T43,Scott Brown,70.56,4375,62
43,T43,T43,Chad Campbell,70.56,2540,36
44,45,45,Kevin Stadler,70.57,3599,51
45,T46,T46,Freddie Jacobson,70.58,3882,55
46,T46,T46,Andrew Svoboda,70.58,3529,50
47,T48,T48,Brice Garnett,70.59,3953,56
48,T48,T48,Jeff Overton,70.59,3247,46
49,T48,T48,Pat Perez,70.59,3600,51
50,T51,T51,Ben Crane,70.6,3530,50
51,T51,T51,Jimmy Walker,70.6,3742,53
52,53,53,Graeme McDowell,70.61,2330,33
53,54,54,Charley Hoffman,70.62,3672,52
54,55,55,Jerry Kelly,70.64,3320,47
55,T56,T56,Jonathan Byrd,70.66,3321,47
56,T56,T56,Brandt Snedeker,70.66,3533,50
57,T56,T56,Daniel Summerhays,70.66,3957,56
58,T59,T59,Graham DeLaet,70.67,3251,46
59,T59,T59,Gary Woodland,70.67,3463,49
60,61,61,Luke Guthrie,70.68,3746,53
61,62,62,Michael Putnam,70.72,4243,60
62,T63,T63,William McGirt,70.73,4244,60
63,T63,T63,Patrick Reed,70.73,3890,55
64,65,65,Martin Flores,70.74,3820,54
65,66,66,Martin Kaymer,70.75,2547,36
66,67,67,Justin Hicks,70.78,4247,60
67,T68,T68,Aaron Baddeley,70.79,3398,48
68,T68,T68,Bud Cauley,70.79,2761,39
69,T68,T68,Morgan Hoffmann,70.79,4460,63
70,T68,T68,Billy Horschel,70.79,3752,53
71,T68,T68,Carl Pettersson,70.79,4035,57
72,T68,T68,Shawn Stefani,70.79,2407,34
73,T68,T68,Brian Stuard,70.79,4035,57
74,T75,T75,Robert Garrigus,70.8,3611,51
75,T75,T75,J.J. Henry,70.8,3823,54
76,T75,T75,Justin Leonard,70.8,3186,45
77,T75,T75,Cameron Tringale,70.8,4531,64
78,79,79,Billy Hurley III,70.81,3753,53
79,T80,T80,Martin Laird,70.82,2762,39
80,T80,T80,David Toms,70.82,2762,39
81,T82,T82,Ken Duke,70.84,3542,50
82,T82,T82,Willy Wilcox,70.84,2267,32
83,84,84,Matt Jones,70.85,3684,52
84,85,85,Brendon de Jonge,70.86,4464,63
85,86,86,David Hearn,70.89,4041,57
86,T87,T87,George McNeill,70.9,3403,48
87,T87,T87,Bo Van Pelt,70.9,3687,52
88,89,89,Tyrone Van Aswegen,70.92,3546,50
89,T90,T90,Erik Compton,70.93,3972,56
90,T90,T90,Kevin Kisner,70.93,3830,54
91,92,92,Brendan Steele,70.94,3689,52
92,T93,T93,J.B. Holmes,70.96,3477,49
93,T93,T93,Michael Thompson,70.96,3193,45
94,T95,T95,Greg Chalmers,71.0,3692,52
95,T95,T95,Danny Lee,71.0,3976,56
96,97,97,Stuart Appleby,71.02,3977,56
97,T98,T98,Webb Simpson,71.04,3481,49
98,T98,T98,Heath Slocum,71.04,3268,46
99,T98,T98,Henrik Stenson,71.04,1989,28
100,101,101,Ben Martin,71.07,3838,54
101,102,102,Rickie Fowler,71.08,3625,51
102,103,103,Phil Mickelson,71.09,3057,43
103,104,104,Vijay Singh,71.1,3626,51
104,105,105,Jason Bohn,71.15,3700,52
105,106,106,Josh Teater,71.16,3985,56
106,T107,T107,Matt Every,71.17,3772,53
107,T107,T107,Troy Merritt,71.17,2989,42
108,109,109,Davis Love III,71.18,3132,44
109,110,110,Spencer Levin,71.21,2991,42
110,111,111,Hunter Mahan,71.27,3492,49
111,T112,T112,Sangmoon Bae,71.3,3565,50
112,T112,T112,Tim Clark,71.3,3565,50
113,T112,T112,Wes Roach,71.3,3137,44
114,T115,T115,Brad Fritsch,71.31,2496,35
115,T115,T115,Sean O'Hair,71.31,3708,52
116,T117,T117,Brian Davis,71.33,4137,58
117,T117,T117,Rory Sabbatini,71.33,3638,51
118,119,119,Nick Watney,71.34,3353,47
119,T120,T120,Robert Allenby,71.35,4067,57
120,T120,T120,Bryce Molder,71.35,3496,49
121,122,122,Ryo Ishikawa,71.37,3497,49
122,123,123,"Ted Potter, Jr.",71.38,3569,50
123,T124,T124,Steven Bowditch,71.39,4355,61
124,T124,T124,Chad Collins,71.39,3998,56
125,T124,T124,Will MacKenzie,71.39,3998,56
126,T124,T124,Andres Romero,71.39,3498,49
127,128,128,Jason Dufner,71.4,2142,30
128,T129,T129,Andrew Loupe,71.41,3142,44
129,T129,T129,Ian Poulter,71.41,2285,32
130,T131,T131,Bronson La'Cassie,71.42,2571,36
131,T131,T131,Kyle Stanley,71.42,3928,55
132,133,133,Charlie Wi,71.44,3572,50
133,134,134,John Merrick,71.46,3430,48
134,T135,T135,James Driscoll,71.47,3645,51
135,T135,T135,Brian Gay,71.47,3645,51
136,T135,T135,Boo Weekley,71.47,3073,43
137,138,138,Hudson Swafford,71.52,3719,52
138,T139,T139,Ben Curtis,71.53,3362,47
139,T139,T139,John Huh,71.53,3934,55
140,141,141,Richard Lee,71.57,3793,53
141,142,142,John Peterson,71.58,3436,48
142,143,143,Briny Baird,71.59,2434,34
143,144,144,Chesson Hadley,71.6,4296,60
144,145,145,James Hahn,71.61,3867,54
145,T146,T146,Luke Donald,71.63,2292,32
146,T146,T146,Jeff Maggert,71.63,2865,40
147,T148,T148,K.J. Choi,71.64,3367,47
148,T148,T148,Johnson Wagner,71.64,3367,47
149,T150,T150,Charlie Beljan,71.65,3654,51
150,T150,T150,Tommy Gainey,71.65,3511,49
151,T150,T150,David Lingmerth,71.65,3654,51
152,T150,T150,Geoff Ogilvy,71.65,3726,52
153,154,154,Russell Henley,71.73,4232,59
154,T155,T155,Ernie Els,71.74,3300,46
