,Back_9_Scoring_Average_RANK THIS WEEK,Back_9_Scoring_Average_RANK LAST WEEK,Back_9_Scoring_Average_PLAYER NAME,Back_9_Scoring_Average_ROUNDS,Back_9_Scoring_Average_AVG,Back_9_Scoring_Average_TOTAL STROKES,Back_9_Scoring_Average_TOTAL HOLES
0,1,1,Rory McIlroy,66,34.52,2209,64
1,2,2,Sergio Garcia,61,34.84,2021,58
2,3,3,Matt Kuchar,91,34.92,3073,88
3,4,4,Adam Scott,68,34.97,2378,68
4,5,5,Jerry Kelly,80,34.98,2798,80
5,6,6,John Senden,99,35.03,3468,99
6,7,7,Jim Furyk,84,35.06,2805,80
7,8,8,Chad Campbell,57,35.09,1860,53
8,9,9,Zach Johnson,97,35.1,3370,96
9,10,10,Harris English,95,35.12,3231,92
10,11,11,David Toms,64,35.13,2178,62
11,12,12,Tim Clark,75,35.15,2636,75
12,13,13,Bubba Watson,76,35.16,2567,73
13,T14,T14,Billy Horschel,92,35.19,3167,90
14,T14,T14,Graeme McDowell,66,35.19,2182,62
15,16,16,Jeff Overton,80,35.2,2675,76
16,T17,T17,Brooks Koepka,56,35.21,1972,56
17,T17,T17,Webb Simpson,87,35.21,2958,84
18,19,19,Bill Haas,107,35.22,3698,105
19,20,20,Heath Slocum,71,35.23,2431,69
20,T21,T21,Freddie Jacobson,91,35.24,3207,91
21,T21,T21,Russell Knox,92,35.24,3242,92
22,23,23,Dustin Johnson,58,35.25,2009,57
23,24,24,Brian Stuard,91,35.26,3068,87
24,T25,T25,Stuart Appleby,92,35.28,3175,90
25,T25,T25,Ryan Palmer,85,35.28,2999,85
26,T25,T25,Brendon Todd,108,35.28,3810,108
27,T28,T28,Justin Hicks,103,35.29,3494,99
28,T28,T28,Willy Wilcox,51,35.29,1729,49
29,T30,T30,Jonathan Byrd,76,35.31,2542,72
30,T30,T30,Luke Guthrie,85,35.31,3001,85
31,T30,T30,Billy Hurley III,86,35.31,3037,86
32,T33,T33,Brad Fritsch,50,35.33,1696,48
33,T33,T33,Scott Langley,95,35.33,3286,93
34,T33,T33,Jimmy Walker,98,35.33,3392,96
35,T36,T36,Graham DeLaet,80,35.34,2792,79
36,T36,T36,Chris Kirk,105,35.34,3675,104
37,T38,T38,Danny Lee,84,35.35,2828,80
38,T38,T38,Shawn Stefani,60,35.35,2121,60
39,T40,T40,Kevin Chappell,100,35.36,3395,96
40,T40,T40,Kevin Na,94,35.36,3324,94
41,42,42,Charles Howell III,106,35.38,3750,106
42,T43,T43,Brice Garnett,92,35.39,3114,88
43,T43,T43,Robert Garrigus,80,35.39,2831,80
44,T43,T43,Brian Harman,111,35.39,3928,111
45,T46,T46,Rickie Fowler,91,35.41,3010,85
46,T46,T46,Hideki Matsuyama,82,35.41,2833,80
47,T46,T46,Brendan Steele,89,35.41,3010,85
48,T49,T49,Charley Hoffman,93,35.42,3294,93
49,T49,T49,Martin Laird,66,35.42,2196,62
50,T51,T51,Morgan Hoffmann,103,35.43,3508,99
51,T51,T51,Marc Leishman,81,35.43,2834,80
52,T51,T51,Carl Pettersson,91,35.43,3224,91
53,T51,T51,Andrew Svoboda,77,35.43,2728,77
54,55,55,Ricky Barnes,92,35.44,3119,88
55,T56,T56,William McGirt,96,35.45,3403,96
56,T56,T56,Cameron Tringale,111,35.45,3935,111
57,T56,T56,Gary Woodland,93,35.45,3261,92
58,59,59,Tyrone Van Aswegen,79,35.46,2766,78
59,T60,T60,Michael Thompson,74,35.47,2625,74
60,T60,T60,Jhonattan Vegas,77,35.47,2660,75
61,T62,T62,Will MacKenzie,82,35.48,2909,82
62,T62,T62,Phil Mickelson,71,35.48,2519,71
63,T62,T62,Henrik Stenson,56,35.48,1916,54
64,T65,T65,Keegan Bradley,89,35.49,3123,88
65,T65,T65,Stewart Cink,91,35.49,3230,91
66,67,67,Jason Day,54,35.5,1704,48
67,T68,T68,Ken Duke,80,35.51,2770,78
68,T68,T68,David Hearn,97,35.51,3444,97
69,T68,T68,Justin Rose,70,35.51,2415,68
70,T68,T68,Nick Watney,80,35.51,2663,75
71,T72,T72,Michael Putnam,106,35.52,3623,102
72,T72,T72,Kevin Stadler,90,35.52,3161,89
73,T74,T74,Brendon de Jonge,109,35.53,3873,109
74,T74,T74,Jordan Spieth,102,35.53,3482,98
75,T76,T76,Paul Casey,56,35.54,1990,56
76,T76,T76,Jason Kokrak,65,35.54,2310,65
77,T76,T76,Ryan Moore,86,35.54,2985,84
78,T79,T79,Martin Kaymer,65,35.55,2275,64
79,T79,T79,Kevin Kisner,85,35.55,3022,85
80,T79,T79,Robert Streb,75,35.55,2524,71
81,T79,T79,Chris Stroud,88,35.55,3128,88
82,T79,T79,Hudson Swafford,75,35.55,2524,71
83,T84,T84,Retief Goosen,94,35.56,3200,90
84,T84,T84,Charl Schwartzel,64,35.56,2205,62
85,T86,T86,Luke Donald,57,35.57,1992,56
86,T86,T86,Camilo Villegas,95,35.57,3379,95
87,88,88,Brandt Snedeker,89,35.6,3097,87
88,T89,T89,John Huh,87,35.61,2956,83
89,T89,T89,Andrew Loupe,65,35.61,2172,61
90,T89,T89,Patrick Reed,92,35.61,3205,90
91,T92,T92,Briny Baird,50,35.62,1781,50
92,T92,T92,Chad Collins,78,35.62,2636,74
93,T94,T94,Robert Allenby,83,35.63,2886,81
94,T94,T94,Ben Martin,80,35.63,2850,80
95,T94,T94,George McNeill,79,35.63,2815,79
96,T94,T94,Seung-Yul Noh,92,35.63,3278,92
97,98,98,Bo Van Pelt,83,35.64,2958,83
98,T99,T99,Aaron Baddeley,74,35.65,2567,72
99,T99,T99,Greg Chalmers,85,35.65,2888,81
100,T99,T99,Tim Wilkinson,86,35.65,2923,82
101,T102,T102,Sangmoon Bae,76,35.66,2710,76
102,T102,T102,Daniel Summerhays,98,35.66,3495,98
103,T102,T102,Josh Teater,90,35.66,3138,88
104,T105,T105,Erik Compton,88,35.67,3139,88
105,T105,T105,Martin Flores,85,35.67,3032,85
106,T107,T107,Ernie Els,85,35.68,2819,79
107,T107,T107,Justin Leonard,75,35.68,2676,75
108,109,109,Jason Bohn,81,35.69,2891,81
109,T110,T110,Scott Brown,100,35.71,3571,100
110,T110,T110,Davis Love III,74,35.71,2571,72
111,T112,T112,Steven Bowditch,93,35.72,3322,93
112,T112,T112,Jim Herman,62,35.72,2072,58
113,T112,T112,Ryo Ishikawa,75,35.72,2679,75
114,T115,T115,Troy Merritt,62,35.74,2216,62
115,T115,T115,Sean O'Hair,77,35.74,2752,77
116,T115,T115,"Ted Potter, Jr.",68,35.74,2430,68
117,T118,T118,Matt Jones,83,35.75,2967,83
118,T118,T118,Spencer Levin,59,35.75,2109,59
119,T118,T118,Johnson Wagner,69,35.75,2324,65
120,T121,T121,Charlie Beljan,76,35.76,2575,72
121,T121,T121,Pat Perez,84,35.76,3004,84
122,123,123,Andres Romero,81,35.78,2755,77
123,124,124,Matt Every,85,35.79,3042,85
124,T125,T125,K.J. Choi,80,35.8,2864,80
125,T125,T125,Brian Davis,93,35.8,3329,93
126,T125,T125,Jason Dufner,57,35.8,1933,54
127,T125,T125,Trevor Immelman,84,35.8,2864,80
128,T129,T129,Ángel Cabrera,69,35.81,2471,69
129,T129,T129,Hunter Mahan,88,35.81,3044,85
130,131,131,John Peterson,62,35.82,2149,60
131,132,132,J.J. Henry,91,35.83,3117,87
132,T133,T133,Tommy Gainey,73,35.84,2473,69
133,T133,T133,J.B. Holmes,86,35.84,3082,86
134,T133,T133,Wes Roach,67,35.84,2258,63
135,T133,T133,Charlie Wi,72,35.84,2509,70
136,137,137,Ben Crane,81,35.85,2904,81
137,138,138,Brian Gay,81,35.86,2833,79
138,139,139,Jamie Lovemark,64,35.87,2152,60
139,T140,T140,James Hahn,82,35.89,2871,80
140,T140,T140,Bronson La'Cassie,51,35.89,1687,47
141,T142,T142,James Driscoll,71,35.9,2549,71
142,T142,T142,Bryce Molder,77,35.9,2621,73
143,T142,T142,Vijay Singh,83,35.9,2980,83
144,145,145,Kevin Streelman,79,35.91,2801,78
145,T146,T146,Bud Cauley,56,35.93,2012,56
146,T146,T146,Chesson Hadley,84,35.93,3018,84
147,T146,T146,Boo Weekley,73,35.93,2587,72
148,149,149,Kyle Stanley,87,35.95,2984,83
149,T150,T150,Ian Poulter,57,35.98,2015,56
150,T150,T150,Lee Westwood,57,35.98,2015,56
151,152,152,Ben Curtis,77,35.99,2627,73
152,153,153,Richard Lee,80,36.01,2809,78
153,154,154,Gonzalo Fernandez-Castaño,83,36.02,2954,82
154,155,155,Russell Henley,92,36.03,3315,92
155,156,156,John Merrick,87,36.04,2991,83
156,T157,T157,Rory Sabbatini,82,36.05,2812,78
157,T157,T157,Mike Weir,69,36.05,2343,65
158,159,159,Y.E. Yang,79,36.06,2813,78
159,160,160,Jeff Maggert,54,36.07,1948,54
160,161,161,Scott Stallings,77,36.08,2742,76
161,162,162,Geoff Ogilvy,84,36.1,2888,80
162,163,163,David Lingmerth,80,36.12,2745,76
163,164,164,John Rollins,84,36.14,2891,80
164,T165,T165,Roberto Castro,76,36.2,2679,74
165,T165,T165,D.H. Lee,54,36.2,1810,50
166,T165,T165,Jim Renner,61,36.2,2136,59
167,T165,T165,Kevin Tway,64,36.2,2172,60
168,169,169,Derek Ernst,80,36.21,2752,76
169,170,170,Louis Oosthuizen,50,36.22,1666,46
170,171,171,Troy Matteson,62,36.26,2103,58
171,172,172,Nicholas Thompson,85,36.28,2939,81
172,173,173,D.A. Points,75,36.32,2651,73
173,174,174,Mark Wilson,69,36.37,2364,65
174,175,175,Lucas Glover,68,36.41,2403,66
175,176,176,Woody Austin,63,36.42,2149,59
176,177,177,Jonas Blixt,64,36.48,2262,62
