,Stroke_Differential_Field_Average_RANK THIS WEEK,Stroke_Differential_Field_Average_RANK LAST WEEK,Stroke_Differential_Field_Average_PLAYER NAME,Stroke_Differential_Field_Average_ROUNDS,Stroke_Differential_Field_Average_STROKE DIFFERENTIAL,Stroke_Differential_Field_Average_PLAYER'S SCORE,Stroke_Differential_Field_Average_FIELD AVERAGE SCORE
0,1,1,Rory McIlroy,66,+2.36,69.27,71.63
1,2,2,Sergio Garcia,61,+2.08,69.38,71.46
2,3,3,Jim Furyk,84,+1.88,69.79,71.67
3,4,4,Adam Scott,68,+1.85,69.49,71.34
4,5,5,Dustin Johnson,58,+1.66,69.88,71.54
5,6,6,Justin Rose,70,+1.61,70.18,71.79
6,7,7,Matt Kuchar,91,+1.56,69.77,71.33
7,8,8,Jason Day,54,+1.43,70.19,71.62
8,9,9,Bubba Watson,76,+1.41,69.97,71.38
9,10,10,Jimmy Walker,98,+1.39,69.98,71.37
10,T11,T11,Graeme McDowell,66,+1.37,70.21,71.58
11,T11,T11,Charl Schwartzel,64,+1.37,70.06,71.43
12,13,13,Jordan Spieth,102,+1.24,70.34,71.58
13,14,14,Keegan Bradley,89,+1.17,70.24,71.41
14,15,15,Graham DeLaet,80,+1.12,70.19,71.31
15,T16,T16,Bill Haas,107,+1.09,70.29,71.38
16,T16,T16,Henrik Stenson,56,+1.09,70.65,71.74
17,18,18,Phil Mickelson,71,+1.04,70.75,71.79
18,T19,T19,Rickie Fowler,91,+1.03,70.41,71.44
19,T19,T19,Kevin Na,94,+1.03,70.1,71.13
20,21,21,Gary Woodland,93,+1.02,70.54,71.56
21,22,22,Hideki Matsuyama,82,+1.01,70.44,71.45
22,23,23,Ryan Palmer,85,+.99,70.06,71.05
23,24,24,Chris Kirk,105,+.95,70.37,71.32
24,25,25,Ryan Moore,86,+.94,70.31,71.25
25,26,26,Brooks Koepka,56,+.91,70.23,71.14
26,27,27,Brendon Todd,108,+.89,70.25,71.14
27,T28,T28,Harris English,95,+.88,70.11,70.99
28,T28,T28,Charles Howell III,106,+.88,70.03,70.91
29,T28,T28,Russell Knox,92,+.88,70.15,71.03
30,T31,T31,Paul Casey,56,+.85,70.52,71.37
31,T31,T31,Jason Kokrak,65,+.85,70.38,71.23
32,T31,T31,Marc Leishman,81,+.85,70.44,71.29
33,34,34,Zach Johnson,97,+.84,70.22,71.06
34,35,35,Billy Horschel,92,+.79,70.71,71.5
35,36,36,Charley Hoffman,93,+.76,70.49,71.25
36,37,37,Webb Simpson,87,+.75,70.4,71.15
37,38,38,George McNeill,79,+.74,70.38,71.12
38,39,39,Kevin Chappell,100,+.71,70.45,71.16
39,40,40,John Senden,99,+.67,70.3,70.97
40,T41,T41,Martin Kaymer,65,+.59,70.97,71.56
41,T41,T41,Jerry Kelly,80,+.59,70.11,70.7
42,T41,T41,Hunter Mahan,88,+.59,71.07,71.66
43,T41,T41,Chris Stroud,88,+.59,70.25,70.84
44,45,45,Lee Westwood,57,+.58,71.29,71.87
45,T46,T46,Ian Poulter,57,+.57,71.3,71.87
46,T46,T46,Daniel Summerhays,98,+.57,70.45,71.02
47,48,48,David Toms,64,+.54,70.16,70.7
48,49,49,Luke Donald,57,+.52,71.23,71.75
