,Late_Round_1_Scoring_Average_RANK THIS WEEK,Late_Round_1_Scoring_Average_RANK LAST WEEK,Late_Round_1_Scoring_Average_PLAYER NAME,Late_Round_1_Scoring_Average_AVG,Late_Round_1_Scoring_Average_TOTAL STROKES,Late_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Rory McIlroy,66.0,396,6
1,2,2,Ryan Palmer,68.33,820,12
2,3,3,Harris English,69.31,901,13
3,4,4,Jordan Spieth,69.36,763,11
4,5,5,Sergio Garcia,69.4,694,10
5,6,6,Jim Herman,69.42,833,12
6,7,7,Matt Kuchar,69.46,903,13
7,8,8,Marc Leishman,69.5,834,12
8,9,9,Zach Johnson,69.57,974,14
9,T10,T10,Bill Haas,69.6,1044,15
10,T10,T10,Boo Weekley,69.6,696,10
11,12,12,Charl Schwartzel,69.67,418,6
12,13,13,J.B. Holmes,69.79,977,14
13,14,14,Hideki Matsuyama,69.86,489,7
14,15,15,David Hearn,69.87,1048,15
15,T16,T16,Brian Harman,69.88,1118,16
16,T16,T16,Martin Kaymer,69.88,559,8
17,18,18,Jason Kokrak,69.9,699,10
18,19,19,William McGirt,69.93,979,14
19,20,20,Charley Hoffman,69.94,1119,16
20,T21,T21,Ricky Barnes,70.0,840,12
21,T21,T21,Jhonattan Vegas,70.0,770,11
22,23,23,Ben Martin,70.06,1121,16
23,24,24,Bubba Watson,70.07,981,14
24,25,25,Davis Love III,70.09,771,11
25,26,26,Paul Casey,70.13,561,8
26,27,27,Graeme McDowell,70.14,491,7
27,28,28,Jerry Kelly,70.15,912,13
28,29,29,Gary Woodland,70.17,842,12
29,30,30,K.J. Choi,70.18,772,11
30,31,31,Wes Roach,70.2,702,10
31,32,32,Heath Slocum,70.27,773,11
32,T33,T33,Spencer Levin,70.3,703,10
33,T33,T33,Carl Pettersson,70.3,703,10
34,T35,T35,Chris Kirk,70.31,914,13
35,T35,T35,Kevin Kisner,70.31,914,13
36,T35,T35,Tyrone Van Aswegen,70.31,914,13
37,38,38,Scott Langley,70.33,844,12
38,T39,T39,Aaron Baddeley,70.36,774,11
39,T39,T39,Matt Every,70.36,774,11
40,41,41,Henrik Stenson,70.38,563,8
41,42,42,Bo Van Pelt,70.43,986,14
42,T43,T43,Pat Perez,70.44,634,9
43,T43,T43,Willy Wilcox,70.44,634,9
44,45,45,Robert Streb,70.45,775,11
45,46,46,Brian Stuard,70.46,916,13
46,T47,T47,Chad Campbell,70.5,564,8
47,T47,T47,Kevin Chappell,70.5,846,12
48,T47,T47,Jim Furyk,70.5,705,10
49,T47,T47,Luke Guthrie,70.5,1128,16
50,T47,T47,Brooks Koepka,70.5,564,8
51,52,52,Brendon Todd,70.53,1199,17
52,53,53,Jason Bohn,70.54,917,13
53,54,54,Ryan Moore,70.55,776,11
54,T55,T55,Jason Dufner,70.56,635,9
55,T55,T55,David Toms,70.56,635,9
56,57,57,Tim Wilkinson,70.57,988,14
57,58,58,Matt Jones,70.6,706,10
58,T59,T59,Martin Flores,70.62,918,13
59,T59,T59,Michael Putnam,70.62,918,13
60,T59,T59,Jim Renner,70.62,918,13
61,62,62,Lee Westwood,70.63,565,8
62,63,63,Andrew Loupe,70.64,777,11
63,T64,T64,Bud Cauley,70.67,848,12
64,T64,T64,Jeff Maggert,70.67,636,9
65,66,66,George McNeill,70.7,707,10
66,T67,T67,Sangmoon Bae,70.73,778,11
67,T67,T67,Ken Duke,70.73,778,11
68,T67,T67,Brandt Snedeker,70.73,778,11
69,T67,T67,Daniel Summerhays,70.73,1061,15
70,T71,T71,Brian Davis,70.77,920,13
71,T71,T71,Charles Howell III,70.77,920,13
72,T71,T71,Chris Stroud,70.77,920,13
73,T71,T71,Charlie Wi,70.77,920,13
74,T75,T75,Shawn Stefani,70.78,637,9
75,T75,T75,Camilo Villegas,70.78,1274,18
76,T77,T77,Brice Garnett,70.79,991,14
77,T77,T77,Seung-Yul Noh,70.79,991,14
78,T79,T79,Stewart Cink,70.8,708,10
79,T79,T79,Justin Hicks,70.8,1062,15
80,T79,T79,Justin Rose,70.8,708,10
81,82,82,Vijay Singh,70.85,921,13
82,T83,T83,Steven Bowditch,70.86,992,14
83,T83,T83,John Merrick,70.86,992,14
84,85,85,Adam Scott,70.89,638,9
85,86,86,Robert Allenby,70.9,709,10
86,T87,T87,Ben Crane,70.92,851,12
87,T87,T87,Webb Simpson,70.92,922,13
88,T89,T89,Ángel Cabrera,71.0,710,10
89,T89,T89,Greg Chalmers,71.0,781,11
90,T89,T89,Patrick Reed,71.0,781,11
91,T89,T89,Mike Weir,71.0,710,10
92,93,93,Morgan Hoffmann,71.06,1137,16
93,T94,T94,Keegan Bradley,71.08,853,12
94,T94,T94,Freddie Jacobson,71.08,924,13
95,T94,T94,Jeff Overton,71.08,924,13
96,T97,T97,Kevin Na,71.09,782,11
97,T97,T97,Andrew Svoboda,71.09,782,11
98,99,99,John Huh,71.1,711,10
99,100,100,Cameron Tringale,71.13,1138,16
100,T101,T101,Graham DeLaet,71.15,925,13
101,T101,T101,Josh Teater,71.15,925,13
102,103,103,Scott Brown,71.2,1068,15
103,T104,T104,Jonathan Byrd,71.22,641,9
104,T104,T104,Hunter Mahan,71.22,641,9
105,T104,T104,Phil Mickelson,71.22,641,9
106,107,107,Danny Lee,71.24,1211,17
107,108,108,John Peterson,71.31,927,13
108,T109,T109,James Hahn,71.36,785,11
109,T109,T109,John Senden,71.36,785,11
110,111,111,Hudson Swafford,71.38,928,13
111,112,112,Bryce Molder,71.4,714,10
112,113,113,Dustin Johnson,71.43,500,7
113,114,114,Bronson La'Cassie,71.44,643,9
114,115,115,Brendan Steele,71.46,929,13
115,116,116,Chesson Hadley,71.47,1072,15
116,T117,T117,Richard Lee,71.5,1001,14
117,T117,T117,Jamie Lovemark,71.5,715,10
118,T117,T117,Ian Poulter,71.5,429,6
119,T120,T120,Brendon de Jonge,71.54,930,13
120,T120,T120,Russell Knox,71.54,930,13
121,122,122,Chad Collins,71.57,1002,14
122,123,123,Kevin Tway,71.58,859,12
123,124,124,Robert Garrigus,71.6,716,10
124,125,125,Johnson Wagner,71.63,573,8
125,T126,T126,Martin Laird,71.64,788,11
126,T126,T126,Justin Leonard,71.64,788,11
127,T126,T126,"Ted Potter, Jr.",71.64,788,11
128,129,129,Sean O'Hair,71.67,860,12
129,130,130,Tommy Gainey,71.7,717,10
130,T131,T131,Billy Hurley III,71.71,1004,14
131,T131,T131,Nick Watney,71.71,1004,14
132,133,133,Mark Wilson,71.75,574,8
133,134,134,Rickie Fowler,71.77,933,13
134,135,135,Tim Clark,71.79,1005,14
135,136,136,Troy Merritt,71.8,718,10
136,137,137,Geoff Ogilvy,71.82,790,11
137,T138,T138,Retief Goosen,71.85,934,13
138,T138,T138,Will MacKenzie,71.85,934,13
139,T138,T138,John Rollins,71.85,934,13
140,141,141,David Lingmerth,71.87,1078,15
141,142,142,Andres Romero,71.89,647,9
142,143,143,Billy Horschel,71.93,1007,14
143,144,144,D.A. Points,71.94,1151,16
144,T145,T145,Briny Baird,72.0,432,6
145,T145,T145,Roberto Castro,72.0,864,12
146,T145,T145,J.J. Henry,72.0,648,9
