,Scoring_Average_RANK THIS WEEK,Scoring_Average_RANK LAST WEEK,Scoring_Average_PLAYER NAME,Scoring_Average_ROUNDS,Scoring_Average_AVG,Scoring_Average_TOTAL STROKES,Scoring_Average_TOTAL ADJUSTMENT,Scoring_Average_TOTAL ROUNDS
0,1,1,Rory McIlroy,66,68.827,4433,- 28.062,64
1,2,2,Sergio Garcia,61,68.95,4024,- 24.910,58
2,3,3,Jim Furyk,84,69.2,5583,- 46.963,80
3,4,4,Adam Scott,68,69.205,4725,- 19.082,68
4,5,5,Matt Kuchar,91,69.416,6140,- 31.365,88
5,6,6,Dustin Johnson,58,69.546,3983,- 18.878,57
6,7,7,Justin Rose,70,69.624,4772,- 37.571,68
7,8,8,Jason Day,54,69.626,3369,- 26.933,48
8,9,9,Graeme McDowell,66,69.642,4353,- 35.204,62
9,10,10,Charl Schwartzel,64,69.671,4344,- 24.368,62
10,11,11,Bubba Watson,76,69.712,5108,- 19.027,73
11,12,12,Jimmy Walker,98,69.789,6718,- 18.289,96
12,13,13,Graham DeLaet,80,69.943,5545,- 19.480,79
13,14,14,Jordan Spieth,102,69.946,6893,- 38.311,98
14,15,15,Ryan Palmer,85,69.993,5955,- 5.559,85
15,16,16,Kevin Na,94,69.99600000000001,6589,- 9.348,94
16,17,17,Keegan Bradley,89,70.031,6181,- 18.270,88
17,18,18,Brendon Todd,108,70.04899999999999,7587,- 21.683,108
18,19,19,Brooks Koepka,56,70.05199999999999,3933,- 10.062,56
19,20,20,Hideki Matsuyama,82,70.083,5635,- 28.380,80
20,21,21,Harris English,95,70.094,6450,- 1.320,92
21,22,22,Russell Knox,92,70.111,6454,- 3.801,92
22,23,23,Bill Haas,107,70.132,7380,- 16.142,105
23,24,24,Charles Howell III,106,70.134,7423,11.207,106
24,25,25,Chris Kirk,105,70.15,7318,- 22.407,104
25,T26,T26,Paul Casey,56,70.152,3949,- 20.474,56
26,T26,T26,Marc Leishman,81,70.152,5635,- 22.875,80
27,28,28,Zach Johnson,97,70.15899999999999,6741,- 5.748,96
28,29,29,Henrik Stenson,56,70.166,3815,- 26.013,54
29,30,30,Rickie Fowler,91,70.172,5985,- 20.420,85
30,31,31,Webb Simpson,87,70.234,5914,- 14.341,84
31,32,32,George McNeill,79,70.248,5560,- 10.391,79
32,33,33,Gary Woodland,93,70.249,6490,- 27.086,92
33,34,34,John Senden,99,70.27,6960,- 3.233,99
34,35,35,Phil Mickelson,71,70.278,5023,- 33.289,71
35,36,36,Jason Kokrak,65,70.307,4575,- 5.020,65
36,37,37,Ryan Moore,86,70.344,5906,2.881,84
37,38,38,Jerry Kelly,80,70.34899999999999,5609,18.913,80
38,39,39,David Toms,64,70.35,4350,11.721,62
39,40,40,Brian Harman,111,70.391,7809,4.410,111
40,41,41,Charley Hoffman,93,70.464,6556,- 2.858,93
41,42,42,Kevin Chappell,100,70.46600000000001,6763,1.761,96
42,43,43,Martin Kaymer,65,70.468,4542,- 32.024,64
43,44,44,Chris Stroud,88,70.476,6182,19.924,88
44,45,45,Robert Streb,75,70.502,5002,3.642,71
45,46,46,Carl Pettersson,91,70.52,6420,- 2.724,91
46,47,47,Billy Horschel,92,70.521,6364,- 17.087,90
47,48,48,Brian Stuard,91,70.54899999999999,6122,15.797,87
48,49,49,Daniel Summerhays,98,70.566,6904,11.426,98
49,50,50,Hunter Mahan,88,70.574,6041,- 42.206,85
50,51,51,Chad Campbell,57,70.59,3724,17.290,53
51,52,52,Patrick Reed,92,70.598,6371,- 17.156,90
52,53,53,Stuart Appleby,92,70.59899999999999,6359,- 5.106,90
53,54,54,Freddie Jacobson,91,70.604,6432,- 7.076,91
54,55,55,Shawn Stefani,60,70.609,4243,- 6.444,60
55,56,56,Kevin Stadler,90,70.62,6294,- 8.852,89
56,57,57,Cameron Tringale,111,70.63,7855,- 15.119,111
57,58,58,Luke Guthrie,85,70.638,5994,10.248,85
58,59,59,Seung-Yul Noh,92,70.661,6503,- 2.224,92
59,60,60,Scott Langley,95,70.66199999999999,6560,11.585,93
60,T61,T61,Ricky Barnes,92,70.671,6200,19.038,88
61,T61,T61,Brandt Snedeker,89,70.671,6169,- 20.582,87
62,63,63,Ángel Cabrera,69,70.675,4902,- 25.426,69
63,64,64,Will MacKenzie,82,70.685,5792,4.157,82
64,65,65,Billy Hurley III,86,70.696,6082,- 2.153,86
65,66,66,William McGirt,96,70.712,6763,25.354,96
66,67,67,Andrew Svoboda,77,70.71300000000001,5431,13.935,77
67,68,68,Tim Wilkinson,86,70.714,5803,- 4.433,82
68,69,69,Camilo Villegas,95,70.71600000000001,6705,12.992,95
69,70,70,Kevin Kisner,85,70.718,6005,6.069,85
70,71,71,J.B. Holmes,86,70.721,6126,- 43.972,86
71,T72,T72,Matt Every,85,70.722,6031,- 19.625,85
72,T72,T72,Ian Poulter,57,70.722,3993,- 32.558,56
73,T74,T74,Robert Garrigus,80,70.72800000000001,5658,.253,80
74,T74,T74,Retief Goosen,94,70.72800000000001,6379,- 13.483,90
75,76,76,Ben Martin,80,70.732,5657,1.571,80
76,77,77,Jeff Overton,80,70.734,5354,21.757,76
77,78,78,Luke Donald,57,70.735,3989,- 27.834,56
78,79,79,Ernie Els,85,70.736,5619,- 30.856,79
