,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
0,1,1,Rory McIlroy,66,69.27,4433,64
1,2,2,Sergio Garcia,61,69.38,4024,58
2,3,3,Adam Scott,68,69.49,4725,68
3,4,4,Matt Kuchar,91,69.77,6140,88
4,5,5,Jim Furyk,84,69.79,5583,80
5,6,6,Dustin Johnson,58,69.88,3983,57
6,7,7,Bubba Watson,76,69.97,5108,73
7,8,8,Jimmy Walker,98,69.98,6718,96
8,9,9,Charles Howell III,106,70.03,7423,106
9,T10,T10,Ryan Palmer,85,70.06,5955,85
10,T10,T10,Charl Schwartzel,64,70.06,4344,62
11,12,12,Kevin Na,94,70.1,6589,94
12,T13,T13,Harris English,95,70.11,6450,92
13,T13,T13,Jerry Kelly,80,70.11,5609,80
14,15,15,Russell Knox,92,70.15,6454,92
15,16,16,David Toms,64,70.16,4350,62
16,17,17,Justin Rose,70,70.18,4772,68
17,T18,T18,Jason Day,54,70.19,3369,48
18,T18,T18,Graham DeLaet,80,70.19,5545,79
19,20,20,Graeme McDowell,66,70.21,4353,62
20,21,21,Zach Johnson,97,70.22,6741,96
21,22,22,Brooks Koepka,56,70.23,3933,56
22,23,23,Keegan Bradley,89,70.24,6181,88
23,T24,T24,Chris Stroud,88,70.25,6182,88
24,T24,T24,Brendon Todd,108,70.25,7587,108
25,26,26,Chad Campbell,57,70.26,3724,53
26,27,27,Bill Haas,107,70.29,7380,105
27,28,28,John Senden,99,70.3,6960,99
28,29,29,Ryan Moore,86,70.31,5906,84
29,30,30,Jordan Spieth,102,70.34,6893,98
30,31,31,Brian Harman,111,70.35,7809,111
31,T32,T32,Chris Kirk,105,70.37,7318,104
32,T32,T32,Brian Stuard,91,70.37,6122,87
33,T34,T34,Jason Kokrak,65,70.38,4575,65
34,T34,T34,George McNeill,79,70.38,5560,79
35,36,36,Webb Simpson,87,70.4,5914,84
36,37,37,Rickie Fowler,91,70.41,5985,85
37,T38,T38,Marc Leishman,81,70.44,5635,80
38,T38,T38,Hideki Matsuyama,82,70.44,5635,80
39,T40,T40,Ricky Barnes,92,70.45,6200,88
40,T40,T40,Kevin Chappell,100,70.45,6763,96
41,T40,T40,William McGirt,96,70.45,6763,96
42,T40,T40,Jeff Overton,80,70.45,5354,76
43,T40,T40,Robert Streb,75,70.45,5002,71
44,T40,T40,Daniel Summerhays,98,70.45,6904,98
45,46,46,Charley Hoffman,93,70.49,6556,93
46,T47,T47,Paul Casey,56,70.52,3949,56
47,T47,T47,Luke Guthrie,85,70.52,5994,85
48,T49,T49,Andrew Svoboda,77,70.53,5431,77
49,T49,T49,Willy Wilcox,51,70.53,3456,49
50,T51,T51,Scott Langley,95,70.54,6560,93
51,T51,T51,Gary Woodland,93,70.54,6490,92
52,53,53,Carl Pettersson,91,70.55,6420,91
53,T54,T54,Brad Fritsch,50,70.58,3388,48
54,T54,T54,Camilo Villegas,95,70.58,6705,95
55,56,56,Heath Slocum,71,70.59,4871,69
56,57,57,Will MacKenzie,82,70.63,5792,82
57,T58,T58,Kevin Kisner,85,70.65,6005,85
58,T58,T58,Henrik Stenson,56,70.65,3815,54
59,60,60,Stuart Appleby,92,70.66,6359,90
60,T61,T61,David Hearn,97,70.68,6856,97
61,T61,T61,Freddie Jacobson,91,70.68,6432,91
62,T61,T61,Danny Lee,84,70.68,5654,80
63,T61,T61,Seung-Yul Noh,92,70.68,6503,92
64,T65,T65,Scott Brown,100,70.71,7071,100
65,T65,T65,Bud Cauley,56,70.71,3960,56
66,T65,T65,Tim Clark,75,70.71,5303,75
67,T65,T65,Billy Horschel,92,70.71,6364,90
68,T65,T65,Ben Martin,80,70.71,5657,80
69,T70,T70,Billy Hurley III,86,70.72,6082,86
70,T70,T70,Kevin Stadler,90,70.72,6294,89
71,T70,T70,Shawn Stefani,60,70.72,4243,60
72,73,73,Robert Garrigus,80,70.73,5658,80
73,74,74,Phil Mickelson,71,70.75,5023,71
74,75,75,Brendan Steele,89,70.76,6015,85
75,T76,T76,Justin Hicks,103,70.77,7006,99
76,T76,T76,Cameron Tringale,111,70.77,7855,111
77,T76,T76,Jhonattan Vegas,77,70.77,5308,75
78,T76,T76,Tim Wilkinson,86,70.77,5803,82
79,T80,T80,Morgan Hoffmann,103,70.79,7008,99
80,T80,T80,Patrick Reed,92,70.79,6371,90
81,82,82,Troy Merritt,62,70.82,4391,62
82,T83,T83,Brice Garnett,92,70.84,6234,88
83,T83,T83,Ryo Ishikawa,75,70.84,5313,75
84,85,85,Ben Crane,81,70.86,5740,81
85,86,86,Bo Van Pelt,83,70.87,5882,83
86,T87,T87,Robert Allenby,83,70.88,5741,81
87,T87,T87,Jason Bohn,81,70.88,5741,81
88,T87,T87,Retief Goosen,94,70.88,6379,90
89,90,90,Michael Putnam,106,70.9,7232,102
90,91,91,Brandt Snedeker,89,70.91,6169,87
91,T92,T92,Ken Duke,80,70.92,5532,78
92,T92,T92,J.J. Henry,91,70.92,6170,87
93,94,94,Jonathan Byrd,76,70.93,5107,72
94,95,95,Tyrone Van Aswegen,79,70.94,5533,78
95,96,96,Matt Every,85,70.95,6031,85
96,T97,T97,Martin Kaymer,65,70.97,4542,64
97,T97,T97,Spencer Levin,59,70.97,4187,59
