,25_Final_Round_Performance_RANK THIS WEEK,25_Final_Round_Performance_RANK LAST WEEK,25_Final_Round_Performance_PLAYER NAME,25_Final_Round_Performance_EVENTS,25_Final_Round_Performance_% TIMES IMPROVED,25_Final_Round_Performance_# OF TIMES IMPROVED
0,T1,T1,Robert Allenby,29,100.0,6.0
1,T1,T1,Jason Day,15,100.0,2.0
2,T1,T1,Rory McIlroy,17,100.0,2.0
3,T1,T1,"Ted Potter, Jr.",24,100.0,3.0
4,T1,T1,Jordan Spieth,27,100.0,6.0
5,T1,T1,Henrik Stenson,15,100.0,6.0
6,T1,T1,Bubba Watson,21,100.0,5.0
7,T8,T8,Jason Bohn,25,88.9,8.0
8,T8,T8,Harris English,28,88.9,8.0
9,T10,T10,Brooks Koepka,16,87.5,7.0
10,T10,T10,David Toms,20,87.5,7.0
11,T12,T12,Jonas Blixt,21,85.7,6.0
12,T12,T12,Hunter Mahan,25,85.7,6.0
13,T12,T12,Charl Schwartzel,18,85.7,6.0
14,15,15,Brian Davis,28,84.6,11.0
15,T16,T16,Paul Casey,16,83.3,5.0
16,T16,T16,Rickie Fowler,26,83.3,5.0
17,T16,T16,Graeme McDowell,17,83.3,5.0
18,19,19,John Senden,27,81.8,9.0
19,T20,T20,Andrew Loupe,22,80.0,4.0
20,T20,T20,Patrick Reed,28,80.0,8.0
21,T20,T20,Hudson Swafford,26,80.0,4.0
22,T20,T20,Lee Westwood,18,80.0,4.0
23,24,24,Sangmoon Bae,24,77.8,7.0
24,T25,T25,Steven Bowditch,30,76.9,10.0
25,T25,T25,Kevin Chappell,28,76.9,10.0
26,T27,T27,Roberto Castro,27,75.0,6.0
27,T27,T27,Tim Clark,26,75.0,3.0
28,T27,T27,Sergio Garcia,16,75.0,3.0
29,T27,T27,Jason Kokrak,19,75.0,3.0
30,T27,T27,Troy Merritt,20,75.0,6.0
31,T27,T27,Adam Scott,17,75.0,3.0
32,T33,T33,Charley Hoffman,25,72.7,8.0
33,T33,T33,Billy Horschel,27,72.7,8.0
34,T33,T33,Camilo Villegas,29,72.7,8.0
35,T36,T36,Chad Campbell,18,71.4,5.0
36,T36,T36,Hideki Matsuyama,24,71.4,5.0
37,T36,T36,Kevin Tway,23,71.4,5.0
38,T39,T39,Andres Romero,26,70.0,7.0
39,T39,T39,Brandt Snedeker,25,70.0,7.0
40,T39,T39,Kevin Streelman,24,70.0,7.0
41,T42,T42,Charles Howell III,29,69.2,9.0
42,T42,T42,Daniel Summerhays,27,69.2,9.0
43,T44,T44,Ernie Els,24,66.7,6.0
44,T44,T44,Brad Fritsch,18,66.7,2.0
45,T44,T44,Luke Guthrie,26,66.7,6.0
46,T44,T44,Chesson Hadley,29,66.7,2.0
47,T44,T44,James Hahn,27,66.7,6.0
48,T44,T44,Russell Henley,29,66.7,8.0
49,T44,T44,Kevin Kisner,26,66.7,8.0
50,T44,T44,Matt Kuchar,24,66.7,4.0
51,T44,T44,Richard Lee,27,66.7,6.0
52,T44,T44,Marc Leishman,24,66.7,6.0
53,T44,T44,Ben Martin,26,66.7,4.0
54,T44,T44,George McNeill,24,66.7,4.0
55,T44,T44,Phil Mickelson,21,66.7,4.0
56,T44,T44,Seung-Yul Noh,27,66.7,8.0
57,T44,T44,Pat Perez,25,66.7,6.0
58,T44,T44,Brendan Steele,26,66.7,6.0
59,T44,T44,Chris Stroud,25,66.7,6.0
60,T44,T44,Nicholas Thompson,30,66.7,6.0
61,T44,T44,Charlie Wi,25,66.7,4.0
62,T63,T63,K.J. Choi,23,63.6,7.0
63,T63,T63,John Huh,28,63.6,7.0
64,T63,T63,Billy Hurley III,26,63.6,7.0
65,T63,T63,Jeff Overton,24,63.6,7.0
66,T63,T63,Carl Pettersson,28,63.6,7.0
