,Eagles_Holes_per_RANK THIS WEEK,Eagles_Holes_per_RANK LAST WEEK,Eagles_Holes_per_PLAYER NAME,Eagles_Holes_per_ROUNDS,Eagles_Holes_per_FREQUENCY,Eagles_Holes_per_# OF HOLES,Eagles_Holes_per_# OF EAGLES
0,1,1,Matt Jones,83,93.4,1494,16
1,2,2,Justin Rose,70,102.0,1224,12
2,3,3,Steven Bowditch,93,104.6,1674,16
3,4,4,Will MacKenzie,82,105.4,1476,14
4,5,5,Dustin Johnson,58,114.0,1026,9
5,T6,T6,Billy Horschel,92,115.7,1620,14
6,T6,T6,Patrick Reed,92,115.7,1620,14
7,8,8,Ryan Palmer,85,117.7,1530,13
8,9,9,Bubba Watson,76,119.5,1314,11
9,10,10,Marc Leishman,81,120.0,1440,12
10,11,11,Martin Laird,66,124.0,1116,9
11,12,12,Stewart Cink,91,126.0,1638,13
12,13,13,Rory McIlroy,66,128.0,1152,9
13,14,14,Charlie Beljan,76,129.6,1296,10
14,15,15,Nicholas Thompson,85,132.5,1458,11
15,16,16,Shawn Stefani,60,135.0,1080,8
16,17,17,Charles Howell III,106,136.3,1908,14
17,18,18,Andres Romero,81,138.6,1386,10
18,19,19,Brian Harman,111,142.7,1998,14
19,T20,T20,Paul Casey,56,144.0,1008,7
20,T20,T20,Robert Garrigus,80,144.0,1440,10
21,T20,T20,Brooks Koepka,56,144.0,1008,7
22,23,23,Kevin Stadler,90,145.6,1602,11
23,T24,T24,Jason Kokrak,65,146.3,1170,8
24,T24,T24,Johnson Wagner,69,146.3,1170,8
25,26,26,Daniel Summerhays,98,147.0,1764,12
26,T27,T27,Adam Scott,68,153.0,1224,8
27,T27,T27,Brendan Steele,89,153.0,1530,10
28,29,29,James Hahn,82,160.0,1440,9
29,30,30,Jason Dufner,57,162.0,972,6
30,31,31,Harris English,95,165.6,1656,10
31,T32,T32,John Merrick,87,166.0,1494,9
32,T32,T32,Bo Van Pelt,83,166.0,1494,9
33,34,34,Ryan Moore,86,168.0,1512,9
34,35,35,Kevin Na,94,169.2,1692,10
35,T36,T36,Jeff Overton,80,171.0,1368,8
36,T36,T36,Scott Stallings,77,171.0,1368,8
37,38,38,Jim Herman,62,174.0,1044,6
38,39,39,Rory Sabbatini,82,175.5,1404,8
39,40,40,Erik Compton,88,176.0,1584,9
40,41,41,Willy Wilcox,51,176.4,882,5
41,T42,T42,Ernie Els,85,177.8,1422,8
42,T42,T42,George McNeill,79,177.8,1422,8
43,T44,T44,Trevor Immelman,84,180.0,1440,8
44,T44,T44,Ben Martin,80,180.0,1440,8
45,T44,T44,Hideki Matsuyama,82,180.0,1440,8
46,T44,T44,Geoff Ogilvy,84,180.0,1440,8
47,T44,T44,Charlie Wi,72,180.0,1260,7
48,49,49,James Driscoll,71,182.6,1278,7
49,50,50,Russell Knox,92,184.0,1656,9
50,T51,T51,Brian Davis,93,186.0,1674,9
51,T51,T51,Graeme McDowell,66,186.0,1116,6
52,T51,T51,Charl Schwartzel,64,186.0,1116,6
53,54,54,Roberto Castro,76,190.3,1332,7
54,55,55,Luke Guthrie,85,191.3,1530,8
55,56,56,Martin Kaymer,65,192.0,1152,6
56,57,57,Ryo Ishikawa,75,192.9,1350,7
57,58,58,Sangmoon Bae,76,195.4,1368,7
58,T59,T59,Morgan Hoffmann,103,198.0,1782,9
59,T59,T59,John Senden,99,198.0,1782,9
60,61,61,Cameron Tringale,111,199.8,1998,10
61,62,62,Kevin Streelman,79,200.6,1404,7
62,63,63,Lee Westwood,57,201.6,1008,5
63,64,64,Carl Pettersson,91,204.8,1638,8
64,T65,T65,Seung-Yul Noh,92,207.0,1656,8
65,T65,T65,Gary Woodland,93,207.0,1656,8
66,67,67,Chris Kirk,105,208.0,1872,9
67,68,68,Sergio Garcia,61,208.8,1044,5
68,69,69,Bill Haas,107,210.0,1890,9
69,T70,T70,Robert Streb,75,213.0,1278,6
70,T70,T70,Hudson Swafford,75,213.0,1278,6
71,T72,T72,Davis Love III,74,216.0,1296,6
72,T72,T72,Pat Perez,84,216.0,1512,7
73,74,74,Martin Flores,85,218.6,1530,7
74,75,75,Troy Merritt,62,223.2,1116,5
75,76,76,Brandt Snedeker,89,223.7,1566,7
76,77,77,David Lingmerth,80,228.0,1368,6
77,78,78,Michael Putnam,106,229.5,1836,8
78,79,79,Sean O'Hair,77,231.0,1386,6
79,80,80,Graham DeLaet,80,237.0,1422,6
80,81,81,Lucas Glover,68,237.6,1188,5
81,82,82,Chad Campbell,57,238.5,954,4
82,83,83,K.J. Choi,80,240.0,1440,6
83,84,84,Jason Bohn,81,243.0,1458,6
84,85,85,Kevin Chappell,100,246.9,1728,7
85,T86,T86,Bud Cauley,56,252.0,1008,4
86,T86,T86,Ian Poulter,57,252.0,1008,4
87,T86,T86,Webb Simpson,87,252.0,1512,6
88,89,89,Matt Every,85,255.0,1530,6
89,90,90,Scott Brown,100,257.1,1800,7
90,91,91,Jonathan Byrd,76,259.2,1296,5
91,T92,T92,Ricky Barnes,92,264.0,1584,6
92,T92,T92,Keegan Bradley,89,264.0,1584,6
93,T92,T92,Brice Garnett,92,264.0,1584,6
94,T92,T92,Matt Kuchar,91,264.0,1584,6
95,96,96,Derek Ernst,80,273.6,1368,5
96,97,97,Andrew Loupe,65,274.5,1098,4
97,98,98,Russell Henley,92,276.0,1656,6
98,99,99,Andrew Svoboda,77,277.2,1386,5
99,T100,T100,Jonas Blixt,64,279.0,1116,4
100,T100,T100,Charley Hoffman,93,279.0,1674,6
101,102,102,Brendon de Jonge,109,280.3,1962,7
102,103,103,Y.E. Yang,79,280.8,1404,5
103,T104,T104,Jim Furyk,84,288.0,1440,5
104,T104,T104,Zach Johnson,97,288.0,1728,6
105,T104,T104,William McGirt,96,288.0,1728,6
106,107,107,Mark Wilson,69,292.5,1170,4
107,108,108,Tim Wilkinson,86,295.2,1476,5
108,109,109,Kyle Stanley,87,298.8,1494,5
109,110,110,D.H. Lee,54,300.0,900,3
110,T111,T111,Ángel Cabrera,69,310.5,1242,4
111,T111,T111,Tommy Gainey,73,310.5,1242,4
112,113,113,Brian Stuard,91,313.2,1566,5
113,114,114,Phil Mickelson,71,319.5,1278,4
114,T115,T115,Henrik Stenson,56,324.0,972,3
115,T115,T115,Brendon Todd,108,324.0,1944,6
116,117,117,Freddie Jacobson,91,327.6,1638,5
117,118,118,Bryce Molder,77,328.5,1314,4
118,119,119,Chad Collins,78,333.0,1332,4
119,T120,T120,Tim Clark,75,337.5,1350,4
120,T120,T120,Jhonattan Vegas,77,337.5,1350,4
121,T120,T120,Nick Watney,80,337.5,1350,4
122,123,123,Camilo Villegas,95,342.0,1710,5
123,124,124,Jimmy Walker,98,345.6,1728,5
124,125,125,Ken Duke,80,351.0,1404,4
125,126,126,Jim Renner,61,354.0,1062,3
126,127,127,Brian Gay,81,355.5,1422,4
127,T128,T128,Jamie Lovemark,64,360.0,1080,3
128,T128,T128,Kevin Tway,64,360.0,1080,3
129,130,130,Ben Crane,81,364.5,1458,4
130,131,131,Gonzalo Fernandez-Castaño,83,369.0,1476,4
131,132,132,David Toms,64,372.0,1116,3
132,T133,T133,John Huh,87,373.5,1494,4
133,T133,T133,Vijay Singh,83,373.5,1494,4
134,135,135,Wes Roach,67,378.0,1134,3
135,136,136,Rickie Fowler,91,382.5,1530,4
136,137,137,Billy Hurley III,86,387.0,1548,4
