,Fairway_Proximity_RANK THIS WEEK,Fairway_Proximity_RANK LAST WEEK,Fairway_Proximity_PLAYER NAME,Fairway_Proximity_ROUNDS,Fairway_Proximity_AVG,Fairway_Proximity_ATTEMPTS,Fairway_Proximity_TOTAL DISTANCE (FEET),Fairway_Proximity_RELATIVE TO PAR
0,1,1,Tyrone Van Aswegen,58,"27' 4""",539,14749.5,-43.0
1,2,2,Lucas Glover,79,"27' 8""",985,27277.333,-74.0
2,3,3,Paul Casey,87,"28' 1""",827,23248.833,-105.0
3,4,4,Stewart Cink,77,"28' 3""",863,24374.667,-85.0
4,5,5,Tom Hoge,83,"28' 4""",839,23743.417,-92.0
5,6,6,Russell Knox,96,"28' 5""",1254,35612.5,-123.0
6,7,7,Jim Furyk,71,"28' 7""",740,21163.5,-80.0
7,T8,T8,Jason Bohn,95,"28' 8""",1276,36552.75,-148.0
8,T8,T8,Byron Smith,59,"28' 8""",547,15679.667,-41.0
9,T10,T10,Greg Owen,58,"28' 10""",518,14948.333,-39.0
10,T10,T10,Ryan Palmer,80,"28' 10""",651,18794.833,-55.0
11,12,12,Jim Herman,88,"28' 11""",1086,31370.75,-102.0
12,13,13,Jason Gore,76,"29' 0""",797,23119.75,-76.0
13,T14,T14,Roberto Castro,54,"29' 1""",496,14439.333,-40.0
14,T14,T14,Whee Kim,71,"29' 1""",747,21698.083,-84.0
15,T14,T14,Seung-Yul Noh,65,"29' 1""",666,19386.25,-59.0
16,T14,T14,Chez Reavie,56,"29' 1""",730,21239.25,-58.0
17,T14,T14,Bo Van Pelt,81,"29' 1""",872,25363.333,-72.0
18,T19,T19,Ryo Ishikawa,90,"29' 2""",958,27967.083,-81.0
19,T19,T19,Webb Simpson,81,"29' 2""",873,25427.0,-96.0
20,T19,T19,Hudson Swafford,97,"29' 2""",1128,32921.917,-123.0
21,22,22,Chris Kirk,76,"29' 3""",731,21353.667,-75.0
22,T23,T23,Chad Collins,79,"29' 4""",858,25136.083,-78.0
23,T23,T23,James Hahn,94,"29' 4""",1028,30134.333,-89.0
24,T23,T23,Dustin Johnson,75,"29' 4""",651,19082.167,-95.0
25,T26,T26,Hideki Matsuyama,95,"29' 5""",936,27498.833,-142.0
26,T26,T26,Johnson Wagner,68,"29' 5""",771,22648.417,-72.0
27,T28,T28,Brooks Koepka,84,"29' 6""",798,23548.667,-91.0
28,T28,T28,Brian Stuard,97,"29' 6""",1122,33056.75,-70.0
29,T28,T28,Jimmy Walker,89,"29' 6""",765,22591.167,-110.0
30,T31,T31,Jason Dufner,76,"29' 7""",646,19137.25,-42.0
31,T31,T31,David Hearn,97,"29' 7""",1148,33954.333,-122.0
32,T31,T31,Justin Rose,69,"29' 7""",654,19320.333,-120.0
33,T34,T34,Colt Knost,90,"29' 9""",1071,31834.5,-102.0
34,T34,T34,Danny Lee,120,"29' 9""",1357,40419.083,-166.0
35,T34,T34,Francesco Molinari,56,"29' 9""",627,18641.25,-44.0
36,T37,T37,Daniel Berger,97,"29' 10""",1083,32338.917,-120.0
37,T37,T37,Robert Garrigus,70,"29' 10""",687,20481.0,-26.0
38,T37,T37,Zach Johnson,90,"29' 10""",985,29352.417,-133.0
39,T37,T37,Justin Thomas,106,"29' 10""",1234,36834.333,-180.0
40,T37,T37,Nick Watney,91,"29' 10""",1093,32611.5,-89.0
41,T42,T42,Alex Cejka,94,"29' 11""",1061,31705.583,-58.0
42,T42,T42,Kevin Chappell,86,"29' 11""",1018,30442.5,-110.0
43,T42,T42,Jim Renner,68,"29' 11""",723,21610.75,-7.0
44,T42,T42,Jordan Spieth,91,"29' 11""",865,25889.583,-152.0
45,T42,T42,Willy Wilcox,58,"29' 11""",581,17357.5,-83.0
46,T47,T47,Robert Allenby,63,"30' 0""",701,21021.667,4.0
47,T47,T47,Michael Putnam,87,"30' 0""",886,26570.667,-73.0
48,T47,T47,Boo Weekley,79,"30' 0""",886,26543.083,-85.0
49,T50,T50,Jeff Overton,94,"30' 1""",959,28878.0,-76.0
50,T50,T50,D.A. Points,72,"30' 1""",720,21661.917,-37.0
51,T50,T50,Rory Sabbatini,81,"30' 1""",843,25352.833,-77.0
52,T53,T53,Steven Alker,62,"30' 2""",720,21700.833,-80.0
53,T53,T53,Luke Guthrie,84,"30' 2""",885,26692.833,-63.0
54,T53,T53,David Lingmerth,90,"30' 2""",1007,30414.25,-91.0
55,T53,T53,Bill Lunde,50,"30' 2""",487,14673.25,-26.0
56,T53,T53,Vijay Singh,78,"30' 2""",876,26409.333,-82.0
57,T58,T58,Fabián Gómez,83,"30' 3""",920,27799.25,-66.0
58,T58,T58,Ben Martin,93,"30' 3""",1053,31853.167,-112.0
59,T58,T58,William McGirt,103,"30' 3""",1343,40582.083,-135.0
60,T58,T58,Scott Piercy,90,"30' 3""",1071,32358.167,-119.0
61,T58,T58,Heath Slocum,57,"30' 3""",544,16477.25,-7.0
62,T58,T58,Nicholas Thompson,90,"30' 3""",979,29592.333,-36.0
63,T64,T64,Graham DeLaet,65,"30' 4""",750,22745.5,-67.0
64,T64,T64,Bryce Molder,91,"30' 4""",1072,32543.167,-104.0
65,T64,T64,Pat Perez,96,"30' 4""",1142,34663.5,-105.0
66,T64,T64,David Toms,62,"30' 4""",817,24786.75,-54.0
67,T68,T68,Chad Campbell,97,"30' 5""",1250,38040.583,-119.0
68,T68,T68,Billy Hurley III,83,"30' 5""",837,25475.167,-67.0
69,T70,T70,Charlie Beljan,76,"30' 6""",748,22825.0,-8.0
70,T70,T70,Scott Brown,97,"30' 6""",1060,32358.917,-94.0
71,T70,T70,Alex Prugh,84,"30' 6""",968,29546.0,-96.0
72,T70,T70,Bubba Watson,71,"30' 6""",666,20329.333,-109.0
73,T74,T74,Harris English,105,"30' 7""",1135,34743.167,-116.0
74,T74,T74,Mark Wilson,89,"30' 7""",1101,33671.5,-77.0
75,T76,T76,Ken Duke,93,"30' 8""",1090,33407.167,-53.0
76,T76,T76,Rickie Fowler,76,"30' 8""",744,22837.083,-106.0
77,T76,T76,Cameron Percy,72,"30' 8""",756,23192.833,-72.0
78,T79,T79,Jon Curran,83,"30' 9""",911,28045.0,-54.0
79,T79,T79,Luke Donald,71,"30' 9""",690,21202.0,-61.0
80,T79,T79,J.J. Henry,94,"30' 9""",1026,31516.5,-62.0
81,T79,T79,Kevin Kisner,104,"30' 9""",1288,39552.417,-140.0
