,Approaches_125-150_yards-Rgh_RTP_RANK THIS WEEK,Approaches_125-150_yards-Rgh_RTP_RANK LAST WEEK,Approaches_125-150_yards-Rgh_RTP_PLAYER NAME,Approaches_125-150_yards-Rgh_RTP_ROUNDS,Approaches_125-150_yards-Rgh_RTP_AVG RTP
0,1,1,Pat Perez,96,-.209
1,2,2,Jason Bohn,95,-.146
2,3,3,Jordan Spieth,91,-.111
3,4,4,Jason Day,75,-.083
4,T5,T5,Bill Haas,89,-.077
5,T5,T5,Jerry Kelly,79,-.077
6,7,7,Keegan Bradley,87,-.068
7,8,8,Kevin Kisner,104,-.063
8,9,9,Alex Prugh,84,-.047
9,10,10,Patrick Reed,103,-.039
10,T11,T11,Jim Furyk,71,-.034
11,T11,T11,Mark Wilson,89,-.034
12,T13,T13,Martin Laird,77,-.033
13,T13,T13,Johnson Wagner,68,-.033
14,15,15,J.B. Holmes,89,-.032
15,T16,T16,Alex Cejka,94,-.030
16,T16,T16,Carl Pettersson,106,-.030
17,18,18,Greg Owen,58,-.029
18,T19,T19,K.J. Choi,66,-.025
19,T19,T19,Sam Saunders,83,-.025
20,21,21,Steven Bowditch,103,-.024
21,T22,T22,Jonas Blixt,78,-.023
22,T22,T22,Brice Garnett,81,-.023
23,24,24,Chad Campbell,97,-.020
24,25,25,Sangmoon Bae,98,-.017
25,T26,T26,Ángel Cabrera,53,E
26,T26,T26,Paul Casey,87,E
27,T26,T26,Ernie Els,57,E
28,T26,T26,Matt Every,73,E
29,T26,T26,Jason Gore,76,E
30,T26,T26,Justin Leonard,61,E
31,T26,T26,Ian Poulter,68,E
32,33,33,Daniel Summerhays,101,+.014
33,34,34,Hudson Swafford,97,+.017
34,T35,T35,Kevin Chappell,86,+.019
35,T35,T35,David Lingmerth,90,+.019
36,37,37,Ryo Ishikawa,90,+.020
37,38,38,Rory Sabbatini,81,+.024
38,39,39,Eric Axley,57,+.026
39,40,40,Chad Collins,79,+.031
40,41,41,David Toms,62,+.036
41,42,42,Ken Duke,93,+.039
42,43,43,Jamie Donaldson,50,+.040
43,44,44,Brian Harman,90,+.041
44,T45,T45,Tony Finau,106,+.042
45,T45,T45,Troy Merritt,91,+.042
46,T45,T45,Steve Wheatcroft,87,+.042
47,T48,T48,Stewart Cink,77,+.043
48,T48,T48,Harris English,105,+.043
49,T48,T48,Matt Jones,89,+.043
50,T51,T51,John Huh,102,+.047
51,T51,T51,Andres Romero,69,+.047
52,T53,T53,Jason Kokrak,88,+.050
53,T53,T53,Charl Schwartzel,67,+.050
54,55,55,James Hahn,94,+.052
55,56,56,Camilo Villegas,83,+.053
56,T57,T57,Steven Alker,62,+.054
57,T57,T57,Cameron Tringale,96,+.054
58,T59,T59,Francesco Molinari,56,+.056
59,T59,T59,Kevin Streelman,95,+.056
60,T61,T61,Martin Flores,95,+.057
61,T61,T61,Jim Herman,88,+.057
