,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
0,1,1,Aaron Baddeley,76,336,Valero Texas Open,1,17
1,2,2,Daniel Berger,97,237,Arnold Palmer Invitational presented by MasterCard,3,6
2,3,3,Brandt Jobe,17,233,AT&T Byron Nelson,1,3
3,4,4,Colt Knost,90,227,Wells Fargo Championship,2,17
4,5,5,Eric Axley,57,225,Valero Texas Open,1,13
5,6,6,Brian Harman,90,218,The Barclays,4,14
6,7,7,Mark Anderson,20,212,The McGladrey Classic,1,3
7,T8,8,Jonathan Byrd,69,211,Valspar Championship,2,15
8,T8,9,Lee Westwood,56,211,The Honda Classic,1,10
9,T8,10,D.H. Lee,6,211,Zurich Classic of New Orleans,4,17
10,T8,11,Geoff Ogilvy,50,211,Sony Open in Hawaii,1,4
11,12,12,Jason Dufner,76,208,the Memorial Tournament presented by Nationwide,2,16
12,T13,13,Zach Johnson,90,207,Arnold Palmer Invitational presented by MasterCard,4,16
13,T13,14,J.B. Holmes,89,207,World Golf Championships-Cadillac Championship,3,4
14,T13,15,Dustin Johnson,75,207,World Golf Championships-Cadillac Championship,3,4
15,16,16,Andres Romero,69,204,Shriners Hospitals for Children Open,1,17
16,17,4,Colt Knost,90,196,Crowne Plaza Invitational at Colonial,1,5
17,18,18,Mark Hubbard,79,195,Frys.com Open,2,7
18,19,19,Ryan Armour,46,193,The Greenbrier Classic,2,6
19,20,20,Danny Lee,120,191,AT&T Byron Nelson,1,17
20,21,21,David Hearn,97,186,FedEx St. Jude Classic,2,4
21,T22,22,Jordan Spieth,91,184,BMW Championship,1,2
22,T22,23,Rickie Fowler,76,184,Quicken Loans National,1,9
23,T24,6,Brian Harman,90,183,The Barclays,4,3
24,T24,25,Ryo Ishikawa,90,183,The Barclays,1,16
