,Average_Distance_to_Hole_After_Tee_Shot_RANK THIS WEEK,Average_Distance_to_Hole_After_Tee_Shot_RANK LAST WEEK,Average_Distance_to_Hole_After_Tee_Shot_PLAYER NAME,Average_Distance_to_Hole_After_Tee_Shot_ROUNDS,Average_Distance_to_Hole_After_Tee_Shot_AVG,Average_Distance_to_Hole_After_Tee_Shot_TOTAL DIST AFTER TEE SHOT,Average_Distance_to_Hole_After_Tee_Shot_TOTAL TEE SHOTS
0,1,1,Bubba Watson,71,149.8,4202084.0,779
1,2,2,Dustin Johnson,75,156.6,4198689.0,745
2,3,3,Patrick Rodgers,57,157.5,3571867.0,630
3,4,4,Jason Day,75,157.7,4472917.0,788
4,5,5,J.B. Holmes,89,161.4,5293645.0,911
5,6,6,Brooks Koepka,84,163.3,5255622.0,894
6,T7,T7,Jason Kokrak,88,164.2,6490053.0,1098
7,T7,T7,Ryan Palmer,80,164.2,4397996.0,744
8,9,9,Tony Finau,106,164.3,7439317.0,1258
9,10,10,Adam Scott,51,165.2,2605589.0,438
10,11,11,Charlie Beljan,76,165.6,4661481.0,782
11,12,12,Justin Thomas,106,165.7,7772158.0,1303
12,13,13,Steven Bowditch,103,166.4,7230261.0,1207
13,14,14,Charley Hoffman,97,166.7,6300746.0,1050
14,T15,T15,Derek Ernst,75,167.8,5261312.0,871
15,T15,T15,Jimmy Walker,89,167.8,5333949.0,883
16,T17,T17,Robert Garrigus,70,167.9,4527513.0,749
17,T17,T17,Charles Howell III,105,167.9,8263523.0,1367
18,19,19,Russell Henley,87,168.9,5637137.0,927
19,20,20,Martin Flores,95,169.1,6653250.0,1093
20,T21,T21,Morgan Hoffmann,85,169.4,5787028.0,949
21,T21,T21,Carlos Ortiz,100,169.4,6946413.0,1139
22,T21,T21,Robert Streb,110,169.4,8155469.0,1337
23,24,24,Sergio Garcia,59,169.7,3042124.0,498
24,T25,T25,Cameron Percy,72,169.8,4860503.0,795
25,T25,T25,Scott Piercy,90,169.8,7022395.0,1149
26,T27,T27,Billy Horschel,99,170.0,6200722.0,1013
27,T27,T27,Gary Woodland,81,170.0,4523364.0,739
28,29,29,Brian Harman,90,170.1,6626842.0,1082
29,T30,T30,Daniel Berger,97,170.3,7002531.0,1142
30,T30,T30,Ángel Cabrera,53,170.3,3561613.0,581
31,32,32,Willy Wilcox,58,170.4,3485357.0,568
32,33,33,Paul Casey,87,170.7,5370219.0,874
33,T34,T34,Tom Hoge,83,170.8,5516670.0,897
