,Average_Approach_Shot_Distance_RANK THIS WEEK,Average_Approach_Shot_Distance_RANK LAST WEEK,Average_Approach_Shot_Distance_PLAYER NAME,Average_Approach_Shot_Distance_ROUNDS,Average_Approach_Shot_Distance_AVG,Average_Approach_Shot_Distance_TOTAL DIST OF APPR SHOT,Average_Approach_Shot_Distance_TOTAL HOLES
0,1,1,Jonas Blixt,78,159.9,5370210.0,933
1,2,2,Eric Axley,57,160.0,4439583.0,771
2,3,3,J.J. Henry,94,160.4,7853158.0,1360
3,4,4,Ryan Palmer,80,160.6,5596599.0,968
4,5,5,Nicholas Thompson,90,160.7,7253223.0,1254
5,6,6,Patrick Rodgers,57,160.8,4733812.0,818
6,7,7,Heath Slocum,57,160.9,4049014.0,699
7,8,8,Jim Furyk,71,161.0,5408805.0,933
8,9,9,Johnson Wagner,68,161.1,5944219.0,1025
9,T10,T10,Tom Hoge,83,161.2,6768509.0,1166
10,T10,T10,Greg Owen,58,161.2,4167182.0,718
11,12,12,James Hahn,94,161.3,8125577.0,1399
12,T13,T13,Jason Bohn,95,161.4,9065622.0,1560
13,T13,T13,Ben Crane,62,161.4,5426653.0,934
14,T13,T13,Dustin Johnson,75,161.4,5618843.0,967
15,16,16,Bill Lunde,50,161.5,3749372.0,645
16,T17,T17,Charlie Beljan,76,161.6,5938279.0,1021
17,T17,T17,Justin Leonard,61,161.6,5642676.0,970
18,T19,T19,Blayne Barber,76,161.7,6553540.0,1126
19,T19,T19,Jon Curran,83,161.7,6812428.0,1170
20,T19,T19,Davis Love III,51,161.7,4367140.0,750
21,T19,T19,Bo Van Pelt,81,161.7,6797224.0,1168
22,23,23,Stewart Cink,77,161.8,6890450.0,1183
23,T24,T24,David Lingmerth,90,162.0,7743270.0,1328
24,T24,T24,Roger Sloan,56,162.0,4169995.0,715
25,T24,T24,Tyrone Van Aswegen,58,162.0,4386314.0,752
26,T27,T27,Fabián Gómez,83,162.1,7219633.0,1237
27,T27,T27,Brian Harman,90,162.1,8144692.0,1396
28,T29,T29,Bryce Molder,91,162.3,8040067.0,1376
29,T29,T29,Jeff Overton,94,162.3,7852705.0,1344
30,T29,T29,Cameron Percy,72,162.3,6088777.0,1042
31,T32,T32,David Hearn,97,162.4,8877144.0,1518
32,T32,T32,David Toms,62,162.4,5769530.0,987
33,T32,T32,Mark Wilson,89,162.4,8471622.0,1449
34,35,35,Brian Stuard,97,162.5,8285094.0,1416
35,36,36,Whee Kim,71,162.6,5870757.0,1003
36,37,37,Tim Wilkinson,73,162.7,6078046.0,1038
37,38,38,Jason Gore,76,162.8,6070229.0,1036
38,T39,T39,William McGirt,103,162.9,10210931.0,1741
39,T39,T39,Alex Prugh,84,162.9,7558337.0,1289
40,T41,T41,Oscar Fraustro,58,163.0,4189522.0,714
41,T41,T41,Andres Gonzales,90,163.0,7984847.0,1361
42,T41,T41,Russell Knox,96,163.0,9137478.0,1557
43,T44,T44,Brice Garnett,81,163.1,6721703.0,1145
44,T44,T44,Scott Langley,94,163.1,8314464.0,1416
45,T44,T44,Adam Scott,51,163.1,3359017.0,572
46,T47,T47,Ken Duke,93,163.2,8206053.0,1397
47,T47,T47,Sung Joon Park,79,163.2,6638053.0,1130
48,T47,T47,Scott Piercy,90,163.2,8729769.0,1486
49,T47,T47,Kyle Reifers,96,163.2,8431389.0,1435
50,T51,T51,Chesson Hadley,101,163.3,9351817.0,1591
51,T51,T51,Patrick Reed,103,163.3,7993581.0,1360
52,T51,T51,Nick Taylor,91,163.3,8752715.0,1489
53,T51,T51,Brendon Todd,96,163.3,7993008.0,1360
54,T55,T55,Alex Cejka,94,163.4,8324106.0,1415
55,T55,T55,Derek Fathauer,81,163.4,6963560.0,1184
56,T55,T55,Troy Merritt,91,163.4,8641996.0,1469
57,T55,T55,Nick Watney,91,163.4,8525182.0,1449
58,T55,T55,Steve Wheatcroft,87,163.4,7576852.0,1288
59,60,60,Chez Reavie,56,163.5,5272377.0,896
60,T61,T61,Robert Garrigus,70,163.6,5770418.0,980
61,T61,T61,Scott Pinckney,88,163.6,7791112.0,1323
62,T61,T61,Byron Smith,59,163.6,4533606.0,770
63,T61,T61,Robert Streb,110,163.6,10153760.0,1724
64,T65,T65,Greg Chalmers,58,163.7,3795023.0,644
65,T65,T65,Brian Davis,86,163.7,7480436.0,1269
66,T65,T65,Jim Herman,88,163.7,8131151.0,1380
67,T65,T65,J.B. Holmes,89,163.7,6953486.0,1180
68,69,69,Colt Knost,90,163.8,7818240.0,1326
69,T70,T70,Kevin Chappell,86,163.9,7893885.0,1338
70,T70,T70,Chad Collins,79,163.9,6655862.0,1128
71,T70,T70,Andrew Svoboda,80,163.9,7406417.0,1255
72,T73,T73,Zac Blair,108,164.0,9334799.0,1581
73,T73,T73,Martin Flores,95,164.0,8340322.0,1413
74,T73,T73,Billy Hurley III,83,164.0,6637369.0,1124
75,T73,T73,Matt Kuchar,97,164.0,8149509.0,1380
76,T73,T73,Chris Stroud,84,164.0,7209543.0,1221
77,T78,T78,K.J. Choi,66,164.1,6044767.0,1023
78,T78,T78,Charley Hoffman,97,164.1,8058027.0,1364
79,T78,T78,Jimmy Walker,89,164.1,6782108.0,1148
80,T78,T78,Willy Wilcox,58,164.1,4330599.0,733
81,T82,T82,Carl Pettersson,106,164.2,10181836.0,1722
82,T82,T82,Brandt Snedeker,98,164.2,7950034.0,1345
83,T84,T84,Steven Bowditch,103,164.3,9333408.0,1578
84,T84,T84,Matt Every,73,164.3,5939358.0,1004
85,T84,T84,Russell Henley,87,164.3,7091884.0,1199
86,T87,T87,Steven Alker,62,164.4,5297134.0,895
87,T87,T87,Roberto Castro,54,164.4,3812566.0,644
88,T87,T87,Luke Guthrie,84,164.4,7202775.0,1217
89,T87,T87,Adam Hadwin,95,164.4,8574925.0,1449
90,T87,T87,Charles Howell III,105,164.4,10508809.0,1776
91,T87,T87,Jordan Spieth,91,164.4,6976748.0,1179
92,T93,T93,Paul Casey,87,164.5,6691352.0,1130
93,T93,T93,Jason Day,75,164.5,6065584.0,1024
94,T93,T93,Jerry Kelly,79,164.5,7009832.0,1184
95,T96,T96,Kevin Kisner,104,164.6,9988034.0,1686
96,T96,T96,Seung-Yul Noh,65,164.6,5730077.0,967
97,T98,T98,Derek Ernst,75,164.7,6713148.0,1132
98,T98,T98,Lucas Glover,79,164.7,7653796.0,1291
99,T98,T98,Chris Kirk,76,164.7,5948472.0,1003
100,T98,T98,Brooks Koepka,84,164.7,6890035.0,1162
101,T98,T98,Jim Renner,68,164.7,5927556.0,1000
102,T98,T98,Hudson Swafford,97,164.7,8797345.0,1484
103,T104,T104,Graham DeLaet,65,164.8,5750126.0,969
104,T104,T104,John Merrick,78,164.8,6170733.0,1040
105,T104,T104,Boo Weekley,79,164.8,7106173.0,1198
106,107,107,Michael Thompson,83,164.9,7977222.0,1344
107,T108,T108,Scott Brown,97,165.0,8612807.0,1450
