,Proximity_to_Hole_RANK THIS WEEK,Proximity_to_Hole_RANK LAST WEEK,Proximity_to_Hole_PLAYER NAME,Proximity_to_Hole_ROUNDS,Proximity_to_Hole_AVG,Proximity_to_Hole_TOTAL DISTANCE (FEET),Proximity_to_Hole_# OF ATTEMPTS,Proximity_to_Hole_GIR RANK
0,1,1,Jim Furyk,71,"31' 5""",29344.083,933,14
1,2,2,Russell Knox,96,"31' 6""",49110.083,1557,7
2,3,3,Jason Bohn,95,"31' 7""",49287.917,1560,28
3,T4,T4,Lucas Glover,79,"32' 4""",41733.333,1291,10
4,T4,T4,Jason Gore,76,"32' 4""",33532.667,1036,61
5,T4,T4,Chez Reavie,56,"32' 4""",28937.333,896,15
6,T7,T7,Stewart Cink,77,"32' 8""",38692.25,1183,3
7,T7,T7,Jim Herman,88,"32' 8""",45057.167,1380,2
8,T9,T9,Paul Casey,87,"32' 9""",37037.667,1130,5
9,T9,T9,Tom Hoge,83,"32' 9""",38178.25,1166,102
10,T9,T9,Brian Stuard,97,"32' 9""",46324.5,1416,161
11,12,12,Nicholas Thompson,90,"32' 11""",41323.5,1254,36
12,13,13,Colt Knost,90,"33' 0""",43744.25,1326,63
13,T14,T14,Roberto Castro,54,"33' 1""",21290.25,644,99
14,T14,T14,Greg Owen,58,"33' 1""",23769.417,718,20
15,T14,T14,Hudson Swafford,97,"33' 1""",49106.583,1484,39
16,T14,T14,David Toms,62,"33' 1""",32677.917,987,135
17,T18,T18,Steven Alker,62,"33' 2""",29709.917,895,84
18,T18,T18,Tyrone Van Aswegen,58,"33' 2""",24954.417,752,77
19,20,20,Willy Wilcox,58,"33' 4""",24425.5,733,4
20,T21,T21,Robert Allenby,63,"33' 5""",30612.917,916,81
21,T21,T21,Justin Rose,69,"33' 5""",29367.917,878,9
22,T23,T23,Chad Collins,79,"33' 6""",37777.667,1128,100
23,T23,T23,Billy Hurley III,83,"33' 6""",37616.333,1124,122
24,25,25,Hideki Matsuyama,95,"33' 7""",42162.083,1254,21
25,T26,T26,William McGirt,103,"33' 8""",58550.0,1741,50
26,T26,T26,Jordan Spieth,91,"33' 8""",39656.0,1179,49
27,T28,T28,Alex Cejka,94,"33' 10""",47830.167,1415,109
28,T28,T28,Jon Curran,83,"33' 10""",39633.0,1170,93
29,T28,T28,Danny Lee,120,"33' 10""",60665.25,1792,111
30,T31,T31,Whee Kim,71,"33' 11""",34052.75,1003,46
31,T31,T31,Nick Watney,91,"33' 11""",49171.667,1449,66
32,T33,T33,Ryo Ishikawa,90,"34' 0""",45719.083,1345,92
33,T33,T33,Webb Simpson,81,"34' 0""",39035.667,1148,53
34,T33,T33,Brendon Todd,96,"34' 0""",46278.333,1360,118
35,T33,T33,Johnson Wagner,68,"34' 0""",34850.083,1025,26
36,T37,T37,Charlie Beljan,76,"34' 1""",34761.833,1021,117
37,T37,T37,Kevin Chappell,86,"34' 1""",45613.5,1338,103
38,T37,T37,Graham DeLaet,65,"34' 1""",33017.25,969,22
39,T37,T37,Ken Duke,93,"34' 1""",47658.5,1397,146
40,T37,T37,Bo Van Pelt,81,"34' 1""",39798.583,1168,73
41,42,42,David Lingmerth,90,"34' 2""",45335.083,1328,130
42,T43,T43,Jason Dufner,76,"34' 3""",29413.833,858,24
43,T43,T43,James Hahn,94,"34' 3""",47965.833,1399,98
44,T43,T43,Justin Leonard,61,"34' 3""",33198.5,970,171
45,T43,T43,Spencer Levin,99,"34' 3""",51023.917,1488,45
46,T43,T43,Francesco Molinari,56,"34' 3""",26349.0,770,6
47,T48,T48,Chad Campbell,97,"34' 4""",56130.917,1634,35
48,T48,T48,Kevin Kisner,104,"34' 4""",57907.5,1686,95
49,T48,T48,Scott Langley,94,"34' 4""",48583.167,1416,134
50,T48,T48,Louis Oosthuizen,68,"34' 4""",28968.0,844,43
51,T52,T52,Blayne Barber,76,"34' 5""",38728.667,1126,90
52,T52,T52,David Hearn,97,"34' 5""",52236.75,1518,47
53,T52,T52,Bryce Molder,91,"34' 5""",47411.083,1376,119
54,T52,T52,Pat Perez,96,"34' 5""",51124.75,1487,48
