,Approaches_from__200_yards_Rgh_RANK THIS WEEK,Approaches_from__200_yards_Rgh_RANK LAST WEEK,Approaches_from__200_yards_Rgh_PLAYER NAME,Approaches_from__200_yards_Rgh_ROUNDS,Approaches_from__200_yards_Rgh_AVG,Approaches_from__200_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from__200_yards_Rgh_# OF ATTEMPTS,Approaches_from__200_yards_Rgh_RELATIVE TO PAR
0,1,1,Jim Furyk,71,"55' 7""",1166.5,21,+3
1,2,2,Andrew Putnam,68,"56' 8""",2266.917,40,+1
2,3,3,Justin Rose,69,"57' 1""",1084.667,19,-3
3,4,4,George McNeill,93,"57' 2""",3431.417,60,-5
4,5,5,Louis Oosthuizen,68,"59' 0""",1769.4170000000001,30,-12
5,6,6,Billy Hurley III,83,"60' 11""",2193.5,36,+5
6,7,7,Eric Axley,57,"61' 0""",1341.5829999999999,22,+3
7,8,8,Tom Hoge,83,"61' 8""",2590.833,42,-6
8,T9,T9,Blayne Barber,76,"62' 1""",1987.25,32,-4
9,T9,T9,Brendon Todd,96,"62' 1""",2359.583,38,+1
10,11,11,John Merrick,78,"62' 2""",1741.0,28,-5
11,12,12,Heath Slocum,57,"62' 4""",1121.583,18,+5
12,13,13,Jon Curran,83,"62' 6""",2375.667,38,+7
13,14,14,Charley Hoffman,97,"62' 7""",2377.083,38,-13
14,15,15,Colt Knost,90,"62' 8""",2567.833,41,+6
15,16,16,Geoff Ogilvy,50,"63' 10""",1531.8329999999999,24,-2
16,17,17,Bill Haas,89,"63' 11""",2300.5,36,-6
17,T18,T18,Charlie Beljan,76,"64' 0""",2304.75,36,-9
18,T18,T18,Ryan Moore,81,"64' 0""",1984.5829999999999,31,+4
19,20,20,Jim Herman,88,"64' 1""",2435.5,38,-2
20,21,21,Ángel Cabrera,53,"64' 2""",2310.417,36,-1
21,22,22,Spencer Levin,99,"65' 1""",2539.25,39,-2
22,23,23,Danny Lee,120,"65' 2""",2866.583,44,+3
23,24,24,Ricky Barnes,82,"65' 5""",3532.75,54,-2
24,25,25,Graham DeLaet,65,"65' 7""",1507.8329999999999,23,-5
25,26,26,Chris Stroud,84,"65' 8""",2494.333,38,+6
26,T27,T27,Stewart Cink,77,"66' 0""",2111.833,32,-5
27,T27,T27,Brendon de Jonge,106,"66' 0""",3498.917,53,-6
28,T27,T27,Scott Stallings,60,"66' 0""",2310.083,35,-6
29,30,30,Brendan Steele,88,"66' 1""",2578.833,39,-9
30,31,31,Michael Thompson,83,"66' 2""",3043.167,46,E
31,32,32,Ben Martin,93,"66' 4""",1260.583,19,+6
32,33,33,Ben Crane,62,"66' 8""",1466.6670000000001,22,+9
33,34,34,Johnson Wagner,68,"66' 9""",1469.25,22,+1
34,T35,T35,Martin Flores,95,"67' 3""",3024.917,45,-13
35,T35,T35,Oscar Fraustro,58,"67' 3""",1478.75,22,-7
36,T37,T37,Zac Blair,108,"67' 6""",3036.5,45,+4
37,T37,T37,Ryo Ishikawa,90,"67' 6""",3240.75,48,-10
38,T37,T37,Daniel Summerhays,101,"67' 6""",4322.333,64,+2
39,T40,T40,Jim Renner,68,"67' 11""",2513.583,37,-2
40,T40,T40,Nick Taylor,91,"67' 11""",3124.75,46,-2
41,T40,T40,Tim Wilkinson,73,"67' 11""",2648.083,39,+5
42,43,43,Pat Perez,96,"68' 1""",2860.833,42,-2
43,44,44,Cameron Percy,72,"68' 2""",2250.417,33,+1
44,T45,T45,Max Homa,78,"68' 3""",3616.833,53,-6
45,T45,T45,Lee Westwood,56,"68' 3""",1024.167,15,+5
46,T47,T47,Chad Campbell,97,"68' 4""",3280.25,48,+6
47,T47,T47,Michael Putnam,87,"68' 4""",4029.75,59,+5
48,T47,T47,Camilo Villegas,83,"68' 4""",4031.5,59,+1
49,T50,T50,Kevin Na,98,"68' 6""",4108.333,60,+1
50,T50,T50,D.A. Points,72,"68' 6""",3767.417,55,+1
51,52,52,Robert Allenby,63,"68' 8""",1921.5829999999999,28,E
52,53,53,Alex Prugh,84,"68' 10""",2614.667,38,+4
53,54,54,Carl Pettersson,106,"69' 1""",3317.583,48,+1
54,T55,T55,Derek Fathauer,81,"69' 2""",4081.167,59,-4
55,T55,T55,Martin Laird,77,"69' 2""",2212.417,32,-5
56,T55,T55,Justin Leonard,61,"69' 2""",1798.5829999999999,26,+3
57,58,58,Steven Bowditch,103,"69' 3""",4847.5,70,-12
58,59,59,Patrick Rodgers,57,"69' 6""",1389.6670000000001,20,-4
59,60,60,Luke Donald,71,"69' 8""",3063.583,44,+5
60,61,61,Fabián Gómez,83,"69' 11""",2796.167,40,+6
61,62,62,Mark Hubbard,79,"70' 0""",2240.833,32,+11
62,T63,T63,K.J. Choi,66,"70' 1""",3926.333,56,+13
63,T63,T63,Willy Wilcox,58,"70' 1""",1261.583,18,-1
64,T65,T65,Adam Hadwin,95,"70' 2""",2875.5,41,E
65,T65,T65,Charl Schwartzel,67,"70' 2""",1544.25,22,-5
