,Birdie_or_Better_Percentage_-_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Rough_%,Birdie_or_Better_Percentage_-_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Rough_TOTAL HOLES
0,1,1,Bubba Watson,71,21.22,52,245
1,2,2,Jordan Spieth,91,21.08,47,223
2,3,3,Brooks Koepka,84,20.87,53,254
3,4,4,Jason Kokrak,88,20.54,68,331
4,5,5,Paul Casey,87,19.92,48,241
5,6,6,Jason Day,75,19.61,50,255
6,7,7,Tony Finau,106,19.59,77,393
7,8,8,Phil Mickelson,70,19.2,43,224
8,9,9,Ryan Palmer,80,18.98,41,216
9,T10,T10,Patrick Reed,103,18.79,59,314
10,T10,T10,Justin Thomas,106,18.79,65,346
11,12,12,Rory Sabbatini,81,18.78,46,245
12,13,13,Pat Perez,96,18.65,47,252
13,14,14,Louis Oosthuizen,68,18.5,32,173
14,T15,T15,Stewart Cink,77,18.18,44,242
15,T15,T15,Ryo Ishikawa,90,18.18,50,275
16,17,17,Camilo Villegas,83,17.98,57,317
17,18,18,Brendan Steele,88,17.65,45,255
18,T19,T19,John Merrick,78,17.54,30,171
19,T19,T19,Andres Romero,69,17.54,37,211
20,21,21,Jason Gore,76,17.49,32,183
21,22,22,D.A. Points,72,17.41,43,247
22,23,23,Martin Laird,77,17.39,44,253
23,24,24,Oscar Fraustro,58,17.2,27,157
24,25,25,Henrik Stenson,63,17.19,22,128
25,26,26,Scott Stallings,60,17.18,28,163
26,27,27,Martin Flores,95,17.16,58,338
27,28,28,Morgan Hoffmann,85,17.03,47,276
28,29,29,Sean O'Hair,86,17.02,48,282
29,30,30,Jason Dufner,76,16.99,26,153
30,31,31,Shawn Stefani,94,16.95,50,295
31,32,32,Ben Crane,62,16.87,28,166
32,33,33,J.B. Holmes,89,16.85,46,273
33,34,34,Adam Hadwin,95,16.8,41,244
34,35,35,Keegan Bradley,87,16.76,31,185
35,36,36,Tom Hoge,83,16.73,41,245
36,T37,T37,Charles Howell III,105,16.67,69,414
37,T37,T37,Scott Piercy,90,16.67,49,294
38,39,39,George McNeill,93,16.61,46,277
39,40,40,Scott Brown,97,16.49,48,291
40,41,41,Brice Garnett,81,16.45,38,231
41,42,42,Seung-Yul Noh,65,16.44,37,225
42,T43,T43,Carlos Ortiz,100,16.4,52,317
43,T43,T43,Patrick Rodgers,57,16.4,31,189
44,45,45,Max Homa,78,16.35,43,263
45,46,46,Dustin Johnson,75,16.3,37,227
46,47,47,Brian Harman,90,16.21,41,253
47,48,48,Charley Hoffman,97,16.2,46,284
48,49,49,Alex Cejka,94,16.07,45,280
49,50,50,Jim Furyk,71,16.0,24,150
50,51,51,Scott Pinckney,88,15.91,42,264
51,52,52,Jonas Blixt,78,15.82,31,196
52,T53,T53,Bill Haas,89,15.81,37,234
53,T53,T53,Kevin Na,98,15.81,40,253
54,55,55,Brandt Snedeker,98,15.79,45,285
55,56,56,Marc Leishman,74,15.75,40,254
56,57,57,Kevin Kisner,104,15.74,48,305
57,58,58,Aaron Baddeley,76,15.67,42,268
58,59,59,Jonathan Byrd,69,15.61,27,173
59,60,60,Chris Kirk,76,15.59,29,186
60,T61,T61,Robert Garrigus,70,15.56,35,225
61,T61,T61,Daniel Summerhays,101,15.56,54,347
62,63,63,Steven Bowditch,103,15.53,59,380
63,64,64,James Hahn,94,15.5,40,258
64,65,65,Boo Weekley,79,15.49,35,226
65,66,66,Matt Kuchar,97,15.36,41,267
66,67,67,Jerry Kelly,79,15.34,29,189
67,68,68,Gary Woodland,81,15.27,31,203
68,69,69,Sangmoon Bae,98,15.24,55,361
69,70,70,Matt Jones,89,15.23,39,256
70,71,71,Charlie Beljan,76,15.18,34,224
71,72,72,Cameron Percy,72,15.11,34,225
72,73,73,Derek Fathauer,81,15.05,45,299
73,74,74,Hudson Swafford,97,14.96,41,274
74,75,75,Jeff Overton,94,14.93,43,288
75,T76,T76,Hideki Matsuyama,95,14.89,35,235
76,T76,T76,Andrew Svoboda,80,14.89,39,262
77,78,78,Erik Compton,86,14.86,37,249
78,79,79,Danny Lee,120,14.84,46,310
79,80,80,Padraig Harrington,60,14.75,32,217
80,81,81,Roberto Castro,54,14.68,16,109
81,82,82,Chesson Hadley,101,14.67,49,334
82,T83,T83,Andres Gonzales,90,14.58,42,288
83,T83,T83,Justin Rose,69,14.58,21,144
84,85,85,Matt Every,73,14.51,37,255
85,T86,T86,Sam Saunders,83,14.49,30,207
86,T86,T86,Nick Watney,91,14.49,40,276
87,88,88,Charl Schwartzel,67,14.48,21,145
88,89,89,Michael Putnam,87,14.4,35,243
89,90,90,Sung Joon Park,79,14.36,27,188
90,91,91,Webb Simpson,81,14.35,30,209
91,T92,T92,Carl Pettersson,106,14.29,49,343
92,T92,T92,Willy Wilcox,58,14.29,18,126
93,94,94,Russell Knox,96,14.22,33,232
94,95,95,Ángel Cabrera,53,14.2,24,169
95,96,96,Jonathan Randolph,72,14.17,35,247
96,97,97,Whee Kim,71,14.14,28,198
97,98,98,Michael Thompson,83,14.13,39,276
98,99,99,David Lingmerth,90,14.11,34,241
99,100,100,Brendon Todd,96,14.1,32,227
100,101,101,Gonzalo Fernandez-Castaño,81,14.08,29,206
101,102,102,Sergio Garcia,59,14.07,19,135
102,103,103,Luke Donald,71,14.02,30,214
103,104,104,Luke Guthrie,84,13.83,35,253
104,105,105,Derek Ernst,75,13.79,32,232
105,106,106,Alex Prugh,84,13.77,34,247
106,107,107,Scott Langley,94,13.72,38,277
107,108,108,Jim Herman,88,13.68,32,234
108,109,109,Kyle Reifers,96,13.67,38,278
109,110,110,Daniel Berger,97,13.64,39,286
110,111,111,Jhonattan Vegas,90,13.62,41,301
111,112,112,Chez Reavie,56,13.56,16,118
112,113,113,Kevin Chappell,86,13.52,33,244
113,114,114,Ricky Barnes,82,13.43,36,268
114,115,115,Bryce Molder,91,13.39,30,224
115,116,116,Harris English,105,13.37,44,329
116,117,117,Mark Wilson,89,13.36,37,277
117,118,118,Jason Bohn,95,13.33,28,210
118,T119,T119,Retief Goosen,81,13.28,32,241
119,T119,T119,Vijay Singh,78,13.28,36,271
120,121,121,Hunter Mahan,88,13.24,36,272
121,122,122,Francesco Molinari,56,13.21,14,106
122,123,123,Ryan Moore,81,13.19,24,182
123,124,124,Brian Davis,86,13.14,31,236
124,125,125,Kevin Streelman,95,13.13,26,198
125,126,126,Blayne Barber,76,13.1,30,229
126,127,127,Jimmy Walker,89,13.09,36,275
127,128,128,Greg Chalmers,58,13.08,17,130
128,129,129,Brendon de Jonge,106,13.07,40,306
129,130,130,Bo Van Pelt,81,13.04,30,230
130,131,131,Nick Taylor,91,13.03,43,330
131,132,132,David Hearn,97,12.93,38,294
132,133,133,Ken Duke,93,12.65,31,245
133,134,134,Greg Owen,58,12.58,20,159
134,135,135,Robert Streb,110,12.53,47,375
135,T136,T136,Ernie Els,57,12.5,20,160
136,T136,T136,Billy Horschel,99,12.5,30,240
137,138,138,Russell Henley,87,12.33,28,227
138,139,139,Robert Allenby,63,12.27,20,163
139,140,140,Ben Martin,93,12.25,31,253
140,141,141,Rickie Fowler,76,12.24,24,196
141,142,142,Adam Scott,51,12.21,16,131
142,T143,T143,Colt Knost,90,12.2,25,205
143,T143,T143,Nicholas Thompson,90,12.2,25,205
144,145,145,Johnson Wagner,68,12.11,23,190
145,T146,T146,Eric Axley,57,12.0,21,175
146,T146,T146,Mark Hubbard,79,12.0,24,200
147,148,148,William McGirt,103,11.86,35,295
148,T149,T149,Justin Leonard,61,11.81,17,144
149,T149,T149,John Peterson,84,11.81,28,237
150,151,151,David Toms,62,11.72,15,128
151,152,152,K.J. Choi,66,11.71,24,205
152,153,153,Steve Wheatcroft,87,11.67,30,257
153,154,154,John Huh,102,11.63,30,258
154,155,155,Jon Curran,83,11.54,24,208
155,156,156,Troy Merritt,91,11.4,31,272
156,157,157,Jamie Donaldson,50,11.38,14,123
157,158,158,Chad Collins,79,11.21,25,223
158,159,159,John Senden,80,11.18,17,152
159,160,160,Cameron Tringale,96,11.16,25,224
160,T161,T161,Chad Campbell,97,11.0,33,300
161,T161,T161,Zach Johnson,90,11.0,22,200
162,163,163,Tyrone Van Aswegen,58,10.88,16,147
163,164,164,Billy Hurley III,83,10.87,25,230
164,165,165,Geoff Ogilvy,50,10.77,14,130
165,T166,T166,Heath Slocum,57,10.74,13,121
166,T166,T166,Lee Westwood,56,10.74,13,121
167,168,168,Roger Sloan,56,10.69,17,159
168,169,169,Tim Wilkinson,73,10.5,21,200
169,170,170,Zac Blair,108,10.41,28,269
170,171,171,Andrew Putnam,68,10.38,22,212
171,172,172,Davis Love III,51,10.2,15,147
172,173,173,Steven Alker,62,10.0,14,140
173,174,174,Byron Smith,59,9.94,18,181
174,175,175,Ian Poulter,68,9.87,15,152
175,176,176,Jim Renner,68,9.72,21,216
176,177,177,Chris Stroud,84,9.59,21,219
177,178,178,Bill Lunde,50,9.38,12,128
178,T179,T179,Graham DeLaet,65,9.25,16,173
179,T179,T179,Spencer Levin,99,9.25,21,227
180,181,181,Lucas Glover,79,9.01,21,233
181,182,182,Fabián Gómez,83,8.98,22,245
182,183,183,J.J. Henry,94,8.75,23,263
183,184,184,Brian Stuard,97,8.29,18,217
