,GIR_Percentage_-_200_yards_RANK THIS WEEK,GIR_Percentage_-_200_yards_RANK LAST WEEK,GIR_Percentage_-_200_yards_PLAYER NAME,GIR_Percentage_-_200_yards_ROUNDS,GIR_Percentage_-_200_yards_%,GIR_Percentage_-_200_yards_GREENS HIT,GIR_Percentage_-_200_yards_TOTAL HOLES,GIR_Percentage_-_200_yards_RELATIVE TO PAR
0,1,1,Henrik Stenson,63,63.51,94,148,-0.10
1,2,2,Willy Wilcox,58,60.27,44,73,-0.09
2,3,3,Jim Herman,88,59.41,101,170,-0.06
3,4,4,Michael Putnam,87,57.69,90,156,-0.03
4,5,5,Justin Rose,69,57.63,68,118,-0.19
5,6,6,Graham DeLaet,65,57.43,58,101,-0.09
6,7,7,Paul Casey,87,57.05,89,156,-0.03
7,8,8,Jason Day,75,56.3,76,135,-0.20
8,9,9,Daniel Berger,97,56.25,108,192,-0.06
9,10,10,Stewart Cink,77,55.91,71,127,-0.07
10,11,11,Lucas Glover,79,55.88,76,136,-0.03
11,12,12,Jonathan Byrd,69,55.36,62,112,-0.15
12,13,13,Robert Streb,110,54.3,120,221,-0.18
13,14,14,Greg Owen,58,54.05,40,74,+0.05
14,15,15,Bubba Watson,71,53.97,68,126,-0.10
15,16,16,Webb Simpson,81,53.75,86,160,-0.08
16,17,17,John Merrick,78,53.49,69,129,-0.01
17,18,18,Justin Thomas,106,53.2,108,203,-0.01
18,T19,T19,Jason Bohn,95,52.86,120,227,-0.13
19,T19,T19,Patrick Rodgers,57,52.86,37,70,-0.08
20,21,21,Johnson Wagner,68,52.8,66,125,E
21,22,22,Alex Prugh,84,52.67,79,150,-0.08
22,23,23,Davis Love III,51,52.63,50,95,-0.08
23,24,24,Jason Gore,76,52.5,63,120,-0.10
24,25,25,Jimmy Walker,89,52.29,80,153,-0.14
25,26,26,Derek Ernst,75,52.17,60,115,-0.05
26,27,27,Charlie Beljan,76,52.0,52,100,-0.02
27,28,28,Bill Lunde,50,51.95,40,77,-0.13
28,29,29,Byron Smith,59,51.69,46,89,-0.13
29,30,30,Chez Reavie,56,51.4,55,107,-0.02
30,31,31,Colt Knost,90,50.93,110,216,-0.10
