,Left_Rough_Proximity_RANK THIS WEEK,Left_Rough_Proximity_RANK LAST WEEK,Left_Rough_Proximity_PLAYER NAME,Left_Rough_Proximity_ROUNDS,Left_Rough_Proximity_AVG,Left_Rough_Proximity_ATTEMPTS,Left_Rough_Proximity_TOTAL DISTANCE (FEET),Left_Rough_Proximity_RELATIVE TO PAR
44,T44,T44,Robert Garrigus,70,"41' 7""",118,4907.583,18.0
45,T44,T44,Patrick Reed,103,"41' 7""",151,6276.3330000000005,2.0
46,T44,T44,Chris Stroud,84,"41' 7""",107,4449.333,23.0
47,T44,T44,Tyrone Van Aswegen,58,"41' 7""",65,2704.917,7.0
48,49,49,Andres Gonzales,90,"41' 8""",146,6077.4169999999995,18.0
49,T50,T50,Ernie Els,57,"41' 9""",90,3754.0,11.0
50,T50,T50,Jeff Overton,94,"41' 9""",140,5845.8330000000005,11.0
51,T50,T50,Vijay Singh,78,"41' 9""",145,6050.25,7.0
52,T53,T53,Ángel Cabrera,53,"41' 10""",88,3683.917,12.0
53,T53,T53,Davis Love III,51,"41' 10""",80,3348.75,6.0
54,55,55,Seung-Yul Noh,65,"41' 11""",114,4774.5,16.0
55,56,56,Charles Howell III,105,"42' 0""",147,6174.25,-3.0
56,T57,T57,Charlie Beljan,76,"42' 1""",98,4127.25,13.0
57,T57,T57,Justin Leonard,61,"42' 1""",83,3494.167,7.0
58,T59,T59,Chad Campbell,97,"42' 2""",166,6994.3330000000005,22.0
59,T59,T59,Rory Sabbatini,81,"42' 2""",122,5143.833,7.0
60,T59,T59,Scott Stallings,60,"42' 2""",77,3248.917,13.0
61,62,62,Sean O'Hair,86,"42' 3""",143,6039.8330000000005,9.0
62,T63,T63,Jason Bohn,95,"42' 4""",104,4398.917,17.0
63,T63,T63,Jason Gore,76,"42' 4""",96,4065.917,14.0
64,T63,T63,J.B. Holmes,89,"42' 4""",139,5889.5830000000005,16.0
65,T63,T63,Pat Perez,96,"42' 4""",118,4997.167,13.0
66,T63,T63,Justin Thomas,106,"42' 4""",179,7583.6669999999995,17.0
67,68,68,Kevin Streelman,95,"42' 5""",100,4240.667,2.0
68,T69,T69,Luke Donald,71,"42' 6""",119,5057.667,13.0
69,T69,T69,Danny Lee,120,"42' 6""",166,7053.25,17.0
70,T69,T69,Scott Piercy,90,"42' 6""",97,4124.417,4.0
71,T72,T72,James Hahn,94,"42' 8""",109,4654.917,1.0
72,T72,T72,Jason Kokrak,88,"42' 8""",173,7383.1669999999995,8.0
73,T72,T72,Steve Wheatcroft,87,"42' 8""",118,5036.333,25.0
74,T75,T75,Brice Garnett,81,"42' 9""",92,3934.0,6.0
75,T75,T75,Kyle Reifers,96,"42' 9""",121,5174.333,3.0
76,T77,T77,Roberto Castro,54,"42' 10""",56,2397.083,6.0
77,T77,T77,Brian Harman,90,"42' 10""",121,5181.333,11.0
78,T77,T77,Hideki Matsuyama,95,"42' 10""",110,4707.5,10.0
79,T77,T77,Hudson Swafford,97,"42' 10""",132,5655.5830000000005,8.0
80,81,81,Gary Woodland,81,"43' 0""",86,3697.833,8.0
81,82,82,Jonas Blixt,78,"43' 1""",94,4053.0,17.0
82,T83,T83,Steven Bowditch,103,"43' 2""",216,9320.5,10.0
83,T83,T83,Jhonattan Vegas,90,"43' 2""",149,6430.0830000000005,8.0
84,T85,T85,Retief Goosen,81,"43' 3""",122,5275.75,6.0
85,T85,T85,Patrick Rodgers,57,"43' 3""",83,3589.25,12.0
86,T87,T87,Keegan Bradley,87,"43' 4""",89,3853.333,12.0
87,T87,T87,Hunter Mahan,88,"43' 4""",138,5977.25,11.0
88,T87,T87,Cameron Percy,72,"43' 4""",111,4805.75,22.0
89,T87,T87,Brendon Todd,96,"43' 4""",109,4727.083,4.0
90,T91,T91,Graham DeLaet,65,"43' 5""",85,3690.833,13.0
91,T91,T91,Lucas Glover,79,"43' 5""",119,5165.333,21.0
92,T91,T91,Marc Leishman,74,"43' 5""",107,4642.583,6.0
93,94,94,Stewart Cink,77,"43' 6""",133,5783.9169999999995,24.0
94,T95,T95,Jon Curran,83,"43' 7""",123,5359.5,33.0
95,T95,T95,Boo Weekley,79,"43' 7""",113,4922.917,19.0
96,T97,T97,Brian Davis,86,"43' 8""",108,4714.0,24.0
97,T97,T97,Billy Hurley III,83,"43' 8""",129,5629.8330000000005,25.0
98,T97,T97,Daniel Summerhays,101,"43' 8""",166,7250.9169999999995,13.0
99,T100,T100,Ken Duke,93,"43' 9""",94,4110.083,12.0
100,T100,T100,Fabián Gómez,83,"43' 9""",112,4897.167,30.0
101,102,102,Robert Allenby,63,"43' 10""",106,4645.0,26.0
102,103,103,Bill Lunde,50,"43' 11""",52,2285.583,21.0
103,T104,T104,Scott Langley,94,"44' 0""",111,4879.667,13.0
104,T104,T104,Tim Wilkinson,73,"44' 0""",104,4578.75,19.0
105,T106,T106,Oscar Fraustro,58,"44' 1""",67,2953.167,10.0
106,T106,T106,Matt Kuchar,97,"44' 1""",162,7140.4169999999995,14.0
107,T108,T108,Ben Martin,93,"44' 2""",123,5430.8330000000005,26.0
108,T108,T108,John Merrick,78,"44' 2""",79,3491.75,4.0
109,110,110,Mark Hubbard,79,"44' 3""",88,3893.667,24.0
110,T111,T111,Chris Kirk,76,"44' 4""",92,4082.167,19.0
111,T111,T111,Willy Wilcox,58,"44' 4""",48,2127.5,5.0
112,T113,T113,Gonzalo Fernandez-Castaño,81,"44' 5""",78,3464.25,15.0
113,T113,T113,Ian Poulter,68,"44' 5""",71,3153.833,14.0
114,T115,T115,Dustin Johnson,75,"44' 7""",107,4769.833,21.0
115,T115,T115,Spencer Levin,99,"44' 7""",118,5258.5,24.0
116,T115,T115,Jim Renner,68,"44' 7""",106,4723.333,19.0
117,T115,T115,Nick Watney,91,"44' 7""",126,5614.5,20.0
118,T119,T119,Kevin Kisner,104,"44' 8""",153,6828.75,22.0
119,T119,T119,Scott Pinckney,88,"44' 8""",94,4196.25,15.0
120,T119,T119,Lee Westwood,56,"44' 8""",62,2768.167,14.0
121,T122,T122,Scott Brown,97,"44' 9""",130,5813.6669999999995,22.0
122,T122,T122,Alex Prugh,84,"44' 9""",124,5553.8330000000005,20.0
123,T122,T122,Bubba Watson,71,"44' 9""",125,5597.9169999999995,1.0
124,125,125,Kevin Na,98,"44' 10""",142,6365.25,1.0
125,T126,T126,Jason Dufner,76,"44' 11""",81,3637.917,7.0
126,T126,T126,Derek Fathauer,81,"44' 11""",140,6282.6669999999995,16.0
127,T126,T126,Luke Guthrie,84,"44' 11""",130,5838.3330000000005,14.0
128,T126,T126,William McGirt,103,"44' 11""",156,7006.0830000000005,19.0
129,T126,T126,Byron Smith,59,"44' 11""",73,3279.083,8.0
130,131,131,Henrik Stenson,63,"45' 0""",76,3420.583,2.0
131,132,132,Chez Reavie,56,"45' 1""",44,1985.4170000000001,6.0
132,133,133,Cameron Tringale,96,"45' 2""",97,4384.667,9.0
133,134,134,Webb Simpson,81,"45' 3""",112,5065.333,22.0
134,135,135,David Lingmerth,90,"45' 4""",122,5532.4169999999995,10.0
135,136,136,Kevin Chappell,86,"45' 5""",121,5490.5830000000005,13.0
136,137,137,Morgan Hoffmann,85,"45' 7""",128,5835.3330000000005,11.0
137,138,138,Zac Blair,108,"45' 8""",110,5022.167,17.0
138,T139,T139,Daniel Berger,97,"45' 9""",117,5352.25,2.0
139,T139,T139,Billy Horschel,99,"45' 9""",141,6456.0,16.0
140,T139,T139,Colt Knost,90,"45' 9""",83,3793.917,26.0
141,142,142,Matt Every,73,"45' 11""",137,6285.4169999999995,11.0
142,T143,T143,Matt Jones,89,"46' 1""",118,5434.6669999999995,4.0
143,T143,T143,D.A. Points,72,"46' 1""",129,5942.4169999999995,20.0
144,145,145,Heath Slocum,57,"46' 3""",52,2405.583,17.0
145,T146,T146,Aaron Baddeley,76,"46' 4""",102,4727.25,14.0
146,T146,T146,Erik Compton,86,"46' 4""",135,6258.3330000000005,13.0
147,T146,T146,J.J. Henry,94,"46' 4""",142,6581.9169999999995,25.0
148,T146,T146,Bo Van Pelt,81,"46' 4""",118,5472.1669999999995,29.0
149,T150,T150,Jim Herman,88,"46' 6""",102,4740.75,18.0
150,T150,T150,Charley Hoffman,97,"46' 6""",115,5344.5,10.0
151,152,152,Ryo Ishikawa,90,"46' 7""",128,5962.4169999999995,14.0
152,T153,T153,Adam Hadwin,95,"46' 8""",116,5415.5830000000005,5.0
153,T153,T153,Robert Streb,110,"46' 8""",162,7561.4169999999995,28.0
154,T153,T153,Andrew Svoboda,80,"46' 8""",149,6956.5,29.0
155,156,156,Brandt Snedeker,98,"46' 9""",158,7383.75,26.0
156,T157,T157,Russell Henley,87,"46' 10""",138,6465.75,36.0
157,T157,T157,Carlos Ortiz,100,"46' 10""",162,7582.5830000000005,7.0
158,T159,T159,Ricky Barnes,82,"46' 11""",119,5582.5,14.0
159,T159,T159,Chesson Hadley,101,"46' 11""",187,8769.083,31.0
160,T159,T159,David Toms,62,"46' 11""",33,1547.75,8.0
161,T162,T162,Sangmoon Bae,98,"47' 2""",156,7352.6669999999995,22.0
162,T162,T162,Jonathan Byrd,69,"47' 2""",79,3724.0,13.0
163,T162,T162,Whee Kim,71,"47' 2""",83,3914.167,11.0
164,T162,T162,Bryce Molder,91,"47' 2""",81,3823.833,11.0
165,166,166,Michael Thompson,83,"47' 4""",149,7051.0830000000005,33.0
166,T167,T167,David Hearn,97,"47' 8""",114,5438.25,3.0
167,T167,T167,Jimmy Walker,89,"47' 8""",129,6153.4169999999995,26.0
168,169,169,Zach Johnson,90,"47' 10""",111,5313.25,20.0
169,170,170,Troy Merritt,91,"47' 11""",94,4507.667,16.0
170,171,171,Sam Saunders,83,"48' 2""",87,4189.0,7.0
171,172,172,Andrew Putnam,68,"48' 4""",109,5265.5830000000005,30.0
172,173,173,Andres Romero,69,"48' 5""",108,5229.667,11.0
173,174,174,John Senden,80,"48' 6""",76,3686.833,19.0
174,T175,T175,K.J. Choi,66,"48' 10""",89,4347.917,17.0
175,T175,T175,John Huh,102,"48' 10""",118,5759.4169999999995,28.0
176,177,177,Sergio Garcia,59,"48' 11""",64,3132.167,14.0
177,178,178,Francesco Molinari,56,"49' 1""",51,2502.25,6.0
178,179,179,Roger Sloan,56,"49' 6""",59,2920.333,18.0
179,180,180,Jonathan Randolph,72,"49' 10""",131,6523.4169999999995,20.0
180,181,181,Padraig Harrington,60,"50' 1""",105,5254.5830000000005,16.0
181,182,182,John Peterson,84,"50' 4""",112,5641.25,17.0
182,183,183,Greg Chalmers,58,"51' 5""",54,2774.833,12.0
183,184,184,Phil Mickelson,70,"53' 5""",120,6414.8330000000005,5.0
