,Approaches_from_100-125_yards_RANK THIS WEEK,Approaches_from_100-125_yards_RANK LAST WEEK,Approaches_from_100-125_yards_PLAYER NAME,Approaches_from_100-125_yards_ROUNDS,Approaches_from_100-125_yards_AVG,Approaches_from_100-125_yards_TOTAL DISTANCE (FEET),Approaches_from_100-125_yards_# OF ATTEMPTS,Approaches_from_100-125_yards_RELATIVE TO PAR
115,T116,T116,Mark Hubbard,79,"20' 1""",1891.25,94,-12
116,T116,T116,Bill Lunde,50,"20' 1""",1425.4170000000001,71,-5
117,T116,T116,Troy Merritt,91,"20' 1""",2471.417,123,-12
118,T116,T116,Jim Renner,68,"20' 1""",1724.8329999999999,86,+9
119,T120,T120,Sergio Garcia,59,"20' 2""",887.0,44,-16
120,T120,T120,Martin Laird,77,"20' 2""",1836.5829999999999,91,-9
121,T122,T122,Jonas Blixt,78,"20' 3""",1501.4170000000001,74,-4
122,T122,T122,Fabián Gómez,83,"20' 3""",2555.5,126,-18
123,T122,T122,Sam Saunders,83,"20' 3""",1924.75,95,-5
124,T125,T125,Jamie Donaldson,50,"20' 4""",833.1669999999999,41,-10
125,T125,T125,Sung Joon Park,79,"20' 4""",2235.5,110,-7
126,T125,T125,John Senden,80,"20' 4""",1220.667,60,-2
127,T125,T125,Andrew Svoboda,80,"20' 4""",2279.917,112,-2
128,T129,T129,Keegan Bradley,87,"20' 5""",1796.4170000000001,88,-10
129,T129,T129,Robert Garrigus,70,"20' 5""",2019.75,99,-6
130,T129,T129,Billy Horschel,99,"20' 5""",2691.667,132,-16
131,T129,T129,Scott Pinckney,88,"20' 5""",2550.667,125,-20
132,T129,T129,Patrick Reed,103,"20' 5""",2221.333,109,-7
133,T129,T129,Hudson Swafford,97,"20' 5""",2780.75,136,-24
134,135,135,Jason Kokrak,88,"20' 6""",2481.167,121,-12
135,136,136,Charlie Beljan,76,"20' 7""",1766.8329999999999,86,+2
136,T137,T137,Derek Fathauer,81,"20' 8""",1962.75,95,-3
137,T137,T137,Brooks Koepka,84,"20' 8""",2126.583,103,-13
138,T137,T137,Pat Perez,96,"20' 8""",2110.25,102,-5
139,140,140,Blayne Barber,76,"20' 9""",1890.0,91,-2
140,T141,T141,Derek Ernst,75,"20' 10""",2105.417,101,-9
141,T141,T141,Jason Gore,76,"20' 10""",2082.25,100,-14
142,T141,T141,Russell Henley,87,"20' 10""",2103.75,101,-21
143,T141,T141,Morgan Hoffmann,85,"20' 10""",1899.25,91,-6
144,T145,T145,Luke Donald,71,"20' 11""",1527.0,73,-10
145,T145,T145,Rickie Fowler,76,"20' 11""",1838.4170000000001,88,-12
146,T145,T145,Davis Love III,51,"20' 11""",1233.0,59,-1
147,T145,T145,Carlos Ortiz,100,"20' 11""",2403.583,115,-18
148,T149,T149,Andres Romero,69,"21' 0""",1383.75,66,-5
149,T149,T149,Camilo Villegas,83,"21' 0""",2076.167,99,E
150,T151,T151,Scott Brown,97,"21' 1""",2845.333,135,-31
