,Average_Approach_Distance_-_Par_RANK THIS WEEK,Average_Approach_Distance_-_Par_RANK LAST WEEK,Average_Approach_Distance_-_Par_PLAYER NAME,Average_Approach_Distance_-_Par_ROUNDS,Average_Approach_Distance_-_Par_AVG (YARDS),Average_Approach_Distance_-_Par_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Par_NUMBER OF APPROACH SHOTS
0,1,1,Patrick Rodgers,57,1569,28474710.0,5.04
1,2,2,Jason Day,75,1575,35497980.0,6.26
2,3,3,Dustin Johnson,75,1577,32819630.0,5.78
3,4,4,Cameron Percy,72,1581,36881630.0,6.48
4,5,5,Heath Slocum,57,1583,25239570.0,4.43
5,6,6,Roger Sloan,56,1584,25265180.0,4.43
6,T7,T7,James Hahn,94,1585,50315380.0,8.82
7,T7,T7,Brian Harman,90,1585,51024670.0,8.94
8,9,9,Eric Axley,57,1588,28808360.0,5.04
9,10,10,David Lingmerth,90,1590,48209410.0,8.42
10,11,11,Charlie Beljan,76,1591,33626190.0,5.87
11,12,12,J.B. Holmes,89,1593,40315890.0,7.03
12,T13,T13,Davis Love III,51,1594,28345390.0,4.94
13,T13,T13,Greg Owen,58,1594,26749290.0,4.66
14,T15,T15,Jonas Blixt,78,1595,33188360.0,5.78
15,T15,T15,Derek Fathauer,81,1595,42101730.0,7.33
16,17,17,Nicholas Thompson,90,1596,44934270.0,7.82
17,18,18,Brooks Koepka,84,1598,41374140.0,7.19
18,19,19,Sung Joon Park,79,1599,44148350.0,7.67
19,20,20,Derek Ernst,75,1600,41190870.0,7.15
20,21,21,Johnson Wagner,68,1601,38954120.0,6.76
21,22,22,Tim Wilkinson,73,1603,39195670.0,6.79
22,T23,T23,Robert Garrigus,70,1604,34356300.0,5.95
23,T23,T23,Boo Weekley,79,1604,43722790.0,7.57
24,T25,T25,J.J. Henry,94,1605,53087500.0,9.19
25,T25,T25,Justin Thomas,106,1605,61480590.0,10.64
26,T27,T27,Brice Garnett,81,1606,41916020.0,7.25
27,T27,T27,Seung-Yul Noh,65,1606,34579700.0,5.98
28,T27,T27,Ryan Palmer,80,1606,35664400.0,6.17
29,T27,T27,Adam Scott,51,1606,19941870.0,3.45
30,T31,T31,Oscar Fraustro,58,1607,25796930.0,4.46
31,T31,T31,Scott Pinckney,88,1607,48432580.0,8.37
32,T31,T31,Nick Taylor,91,1607,52930020.0,9.15
33,T34,T34,Charley Hoffman,97,1609,49191890.0,8.49
34,T34,T34,Tom Hoge,83,1609,42222360.0,7.29
35,T36,T36,Blayne Barber,76,1610,41083650.0,7.09
36,T36,T36,Roberto Castro,54,1610,24348460.0,4.2
