,GIR_Percentage_from_Other_than_Fairway_RANK THIS WEEK,GIR_Percentage_from_Other_than_Fairway_RANK LAST WEEK,GIR_Percentage_from_Other_than_Fairway_PLAYER NAME,GIR_Percentage_from_Other_than_Fairway_ROUNDS,GIR_Percentage_from_Other_than_Fairway_%,GIR_Percentage_from_Other_than_Fairway_GREENS HIT,GIR_Percentage_from_Other_than_Fairway_# OF HOLES
0,1,1,Willy Wilcox,58,61.64,143,232
1,2,2,Jason Day,75,60.58,272,449
2,3,3,Stewart Cink,77,60.3,278,461
3,4,4,Martin Flores,95,59.23,324,547
4,5,5,John Peterson,84,59.21,225,380
5,6,6,Nicholas Thompson,90,58.56,219,374
6,7,7,Derek Ernst,75,58.24,205,352
7,8,8,Tony Finau,106,57.93,391,675
8,9,9,Jason Kokrak,88,57.87,309,534
9,10,10,Henrik Stenson,63,57.48,146,254
10,T11,T11,Jim Herman,88,56.44,228,404
11,T11,T11,Dustin Johnson,75,56.44,254,450
12,13,13,Brendan Steele,88,56.36,257,456
13,14,14,Charles Howell III,105,56.32,392,696
14,15,15,Greg Owen,58,56.23,185,329
15,16,16,Hudson Swafford,97,56.08,272,485
16,17,17,Brooks Koepka,84,55.97,272,486
17,18,18,Johnson Wagner,68,55.56,200,360
18,19,19,Bubba Watson,71,55.53,236,425
19,20,20,Boo Weekley,79,54.95,222,404
20,21,21,Shawn Stefani,94,54.93,273,497
21,22,22,Paul Casey,87,54.83,227,414
22,23,23,Brendon de Jonge,106,54.74,277,506
23,24,24,Justin Thomas,106,54.71,337,616
24,25,25,Bill Haas,89,54.52,241,442
25,26,26,Ryo Ishikawa,90,54.48,292,536
26,27,27,Ángel Cabrera,53,54.41,179,329
27,28,28,William McGirt,103,54.33,251,462
28,29,29,Michael Putnam,87,54.29,247,455
29,30,30,Blayne Barber,76,54.28,203,374
30,31,31,Byron Smith,59,54.21,174,321
31,32,32,Justin Rose,69,54.17,182,336
32,33,33,John Senden,80,54.11,191,353
33,34,34,James Hahn,94,54.08,285,527
34,T35,T35,Jonathan Byrd,69,54.02,168,311
35,T35,T35,Charl Schwartzel,67,54.02,188,348
36,37,37,Rory Sabbatini,81,53.91,241,447
37,38,38,Charley Hoffman,97,53.89,298,553
38,39,39,Louis Oosthuizen,68,53.7,196,365
39,40,40,Nick Watney,91,53.66,264,492
40,41,41,Jason Gore,76,53.43,179,335
41,42,42,Oscar Fraustro,58,53.31,153,287
42,43,43,Lucas Glover,79,53.27,212,398
43,44,44,Vijay Singh,78,53.12,230,433
44,45,45,Carlos Ortiz,100,52.89,284,537
