,Approach__125_yards_RTP_Score_RANK THIS WEEK,Approach__125_yards_RTP_Score_RANK LAST WEEK,Approach__125_yards_RTP_Score_PLAYER NAME,Approach__125_yards_RTP_Score_ROUNDS,Approach__125_yards_RTP_Score_AVG RTP
0,1,1,Francesco Molinari,56,-0.27699999999999997
1,2,2,Jimmy Walker,89,-0.272
2,3,3,Sergio Garcia,59,-0.256
3,4,4,Justin Rose,69,-0.255
4,5,5,Greg Owen,58,-0.25
5,6,6,Adam Scott,51,-0.247
6,7,7,J.B. Holmes,89,-0.24600000000000002
7,8,8,Zach Johnson,90,-0.245
8,9,9,Ryan Moore,81,-0.243
9,10,10,Jamie Donaldson,50,-0.242
10,11,11,Dustin Johnson,75,-0.24100000000000002
11,12,12,Matt Kuchar,97,-0.23800000000000002
12,13,13,K.J. Choi,66,-0.233
13,14,14,Matt Jones,89,-0.22399999999999998
14,T15,T15,Jason Bohn,95,-0.223
15,T15,T15,Henrik Stenson,63,-0.223
16,17,17,Vijay Singh,78,-0.218
17,18,18,Scott Piercy,90,-0.21600000000000003
18,19,19,Michael Putnam,87,-0.215
19,20,20,Paul Casey,87,-0.213
20,21,21,Brandt Snedeker,98,-0.212
21,22,22,Rickie Fowler,76,-0.207
22,23,23,Jason Day,75,-0.205
23,24,24,William McGirt,103,-0.19899999999999998
24,25,25,Jonathan Byrd,69,-0.198
25,26,26,Kevin Na,98,-0.19699999999999998
26,T27,T27,Zac Blair,108,-0.196
27,T27,T27,Greg Chalmers,58,-0.196
28,29,29,David Lingmerth,90,-0.195
29,T30,T30,Hideki Matsuyama,95,-0.193
30,T30,T30,Sean O'Hair,86,-0.193
31,32,32,Chris Stroud,84,-0.192
32,T33,T33,Jerry Kelly,79,-0.19
33,T33,T33,Rory Sabbatini,81,-0.19
34,35,35,Jon Curran,83,-0.18899999999999997
35,36,36,Russell Henley,87,-0.187
36,T37,T37,David Hearn,97,-0.185
37,T37,T37,Colt Knost,90,-0.185
38,T37,T37,Justin Thomas,106,-0.185
39,T37,T37,David Toms,62,-0.185
40,T37,T37,Steve Wheatcroft,87,-0.185
41,42,42,Scott Brown,97,-0.183
42,T43,T43,Brendon de Jonge,106,-0.18100000000000002
43,T43,T43,Brendon Todd,96,-0.18100000000000002
44,45,45,James Hahn,94,-0.179
45,46,46,Mark Wilson,89,-0.17800000000000002
46,47,47,Chad Collins,79,-0.177
47,48,48,Cameron Tringale,96,-0.17600000000000002
48,49,49,Whee Kim,71,-0.175
49,50,50,Kevin Kisner,104,-0.172
50,51,51,Mark Hubbard,79,-0.171
51,52,52,Scott Langley,94,-0.17
52,53,53,Nicholas Thompson,90,-0.16899999999999998
53,54,54,George McNeill,93,-0.168
54,55,55,Lucas Glover,79,-0.16699999999999998
55,T56,T56,Steven Bowditch,103,-0.165
56,T56,T56,Kyle Reifers,96,-0.165
57,T56,T56,Shawn Stefani,94,-0.165
58,59,59,John Huh,102,-0.16399999999999998
59,T60,T60,Cameron Percy,72,-0.162
60,T60,T60,Ian Poulter,68,-0.162
61,T60,T60,Jordan Spieth,91,-0.162
62,T63,T63,Stewart Cink,77,-0.16
63,T63,T63,Martin Flores,95,-0.16
64,T63,T63,Daniel Summerhays,101,-0.16
65,T66,T66,Ryo Ishikawa,90,-0.159
66,T66,T66,John Peterson,84,-0.159
67,68,68,Tom Hoge,83,-0.157
68,69,69,Ken Duke,93,-0.156
69,70,70,Willy Wilcox,58,-0.154
