,GIR_Percentage_-_100_yards_RANK THIS WEEK,GIR_Percentage_-_100_yards_RANK LAST WEEK,GIR_Percentage_-_100_yards_PLAYER NAME,GIR_Percentage_-_100_yards_ROUNDS,GIR_Percentage_-_100_yards_%,GIR_Percentage_-_100_yards_GREENS HIT,GIR_Percentage_-_100_yards_TOTAL HOLES,GIR_Percentage_-_100_yards_RELATIVE TO PAR
0,1,1,Jim Herman,88,70.65,816,1155,-0.16
1,2,2,Willy Wilcox,58,70.02,432,617,-0.19
2,3,3,Stewart Cink,77,69.8,691,990,-0.17
3,4,4,Paul Casey,87,69.22,650,939,-0.2
4,5,5,Henrik Stenson,63,68.68,432,629,-0.21
5,6,6,Byron Smith,59,68.16,441,647,-0.14
6,7,7,Russell Knox,96,67.91,876,1290,-0.18
7,8,8,Chez Reavie,56,67.75,502,741,-0.18
8,9,9,Lucas Glover,79,67.57,725,1073,-0.12
9,10,10,Greg Owen,58,66.89,394,589,-0.19
10,11,11,Justin Rose,69,66.81,453,678,-0.21
11,T12,T12,Whee Kim,71,66.78,567,849,-0.21
12,T12,T12,Johnson Wagner,68,66.78,571,855,-0.18
13,14,14,Ben Martin,93,66.58,767,1152,-0.22
14,15,15,J.J. Henry,94,66.52,773,1162,-0.14
15,16,16,Jim Furyk,71,66.5,530,797,-0.2
16,17,17,Francesco Molinari,56,66.3,427,644,-0.15
17,18,18,Justin Thomas,106,66.16,866,1309,-0.18
18,19,19,Jason Gore,76,66.12,564,853,-0.21
19,20,20,Michael Putnam,87,66.06,650,984,-0.13
20,21,21,Bill Lunde,50,66.05,356,539,-0.13
21,22,22,Shawn Stefani,94,65.8,810,1231,-0.18
22,23,23,Bill Haas,89,65.7,680,1035,-0.14
23,24,24,John Peterson,84,65.66,759,1156,-0.18
24,25,25,Chad Campbell,97,65.56,908,1385,-0.17
25,T26,T26,Alex Prugh,84,65.54,698,1065,-0.17
26,T26,T26,Hudson Swafford,97,65.54,795,1213,-0.2
27,28,28,Jason Bohn,95,65.42,840,1284,-0.23
28,29,29,Daniel Berger,97,65.39,767,1173,-0.15
29,30,30,Jason Day,75,65.15,471,723,-0.21
30,31,31,Hideki Matsuyama,95,65.13,648,995,-0.21
31,32,32,David Hearn,97,65.11,838,1287,-0.22
32,33,33,Spencer Levin,99,65.06,812,1248,-0.18
33,34,34,Kevin Streelman,95,65.02,660,1015,-0.18
34,35,35,Jason Dufner,76,64.95,467,719,-0.15
35,36,36,Martin Flores,95,64.84,745,1149,-0.17
36,37,37,Charles Howell III,105,64.82,899,1387,-0.17
37,T38,T38,Jonathan Byrd,69,64.79,495,764,-0.19
38,T38,T38,Brendan Steele,88,64.79,690,1065,-0.19
39,40,40,Bo Van Pelt,81,64.74,626,967,-0.19
40,41,41,Nicholas Thompson,90,64.63,689,1066,-0.18
41,42,42,Brice Garnett,81,64.62,630,975,-0.16
42,43,43,Scott Piercy,90,64.61,776,1201,-0.2
43,44,44,Steven Alker,62,64.59,498,771,-0.2
44,T45,T45,Zach Johnson,90,64.53,666,1032,-0.2
45,T45,T45,Pat Perez,96,64.53,784,1215,-0.21
46,47,47,Adam Scott,51,64.44,290,450,-0.13
