,Fairway_Approach_RTP_Score_RANK THIS WEEK,Fairway_Approach_RTP_Score_RANK LAST WEEK,Fairway_Approach_RTP_Score_PLAYER NAME,Fairway_Approach_RTP_Score_ROUNDS,Fairway_Approach_RTP_Score_AVG RTP
0,1,1,Jason Day,75,-0.2
1,2,2,Justin Rose,69,-0.183
2,3,3,Jordan Spieth,91,-0.17600000000000002
3,4,4,Robert Streb,110,-0.165
4,5,5,Bubba Watson,71,-0.16399999999999998
5,6,6,Henrik Stenson,63,-0.158
6,7,7,Hideki Matsuyama,95,-0.152
7,T8,T8,Dustin Johnson,75,-0.146
8,T8,T8,Justin Thomas,106,-0.146
9,10,10,J.B. Holmes,89,-0.145
10,11,11,Jimmy Walker,89,-0.14400000000000002
11,12,12,Willy Wilcox,58,-0.14300000000000002
12,13,13,Rickie Fowler,76,-0.142
13,14,14,Sergio Garcia,59,-0.14
14,15,15,Zach Johnson,90,-0.135
15,16,16,Russell Henley,87,-0.13
16,17,17,Matt Kuchar,97,-0.129
17,18,18,Paul Casey,87,-0.127
18,T19,T19,Danny Lee,120,-0.122
19,T19,T19,Lee Westwood,56,-0.122
20,21,21,Matt Jones,89,-0.12
21,T22,T22,Kevin Na,98,-0.11800000000000001
22,T22,T22,Patrick Rodgers,57,-0.11800000000000001
23,T24,T24,Jason Bohn,95,-0.11599999999999999
24,T24,T24,Brendon Todd,96,-0.11599999999999999
25,26,26,Jonathan Byrd,69,-0.115
26,27,27,Brooks Koepka,84,-0.114
27,28,28,Aaron Baddeley,76,-0.113
28,29,29,Whee Kim,71,-0.11199999999999999
29,T30,T30,Steven Alker,62,-0.111
30,T30,T30,Daniel Berger,97,-0.111
31,T30,T30,Scott Piercy,90,-0.111
32,T33,T33,Steven Bowditch,103,-0.11
33,T33,T33,Tom Hoge,83,-0.11
34,T33,T33,Patrick Reed,103,-0.11
35,T33,T33,Webb Simpson,81,-0.11
36,T37,T37,Kevin Kisner,104,-0.109
37,T37,T37,Hudson Swafford,97,-0.109
38,T39,T39,Kevin Chappell,86,-0.10800000000000001
39,T39,T39,K.J. Choi,66,-0.10800000000000001
40,T39,T39,Jim Furyk,71,-0.10800000000000001
41,T39,T39,Ryan Moore,81,-0.10800000000000001
42,T43,T43,Shawn Stefani,94,-0.107
43,T43,T43,Steve Wheatcroft,87,-0.107
44,T45,T45,David Hearn,97,-0.106
45,T45,T45,Ben Martin,93,-0.106
46,47,47,Billy Horschel,99,-0.105
47,T48,T48,Chris Kirk,76,-0.10300000000000001
48,T48,T48,Brandt Snedeker,98,-0.10300000000000001
49,T48,T48,Daniel Summerhays,101,-0.10300000000000001
50,T51,T51,Harris English,105,-0.102
51,T51,T51,George McNeill,93,-0.102
52,T53,T53,Keegan Bradley,87,-0.10099999999999999
53,T53,T53,William McGirt,103,-0.10099999999999999
54,T53,T53,Nick Taylor,91,-0.10099999999999999
55,56,56,Ian Poulter,68,-0.1
56,T57,T57,Alex Prugh,84,-0.099
57,T57,T57,Chris Stroud,84,-0.099
58,T59,T59,Blayne Barber,76,-0.098
59,T59,T59,Stewart Cink,77,-0.098
60,T59,T59,Russell Knox,96,-0.098
61,T62,T62,Bryce Molder,91,-0.09699999999999999
