,Right_Rough_Proximity_RANK THIS WEEK,Right_Rough_Proximity_RANK LAST WEEK,Right_Rough_Proximity_PLAYER NAME,Right_Rough_Proximity_ROUNDS,Right_Rough_Proximity_AVG,Right_Rough_Proximity_ATTEMPTS,Right_Rough_Proximity_TOTAL DISTANCE (FEET),Right_Rough_Proximity_RELATIVE TO PAR
0,1,1,Bubba Watson,71,"34' 8""",120,4164.333,-9.00
1,2,2,Jim Furyk,71,"36' 9""",86,3158.167,+4.00
2,3,3,Eric Axley,57,"37' 11""",84,3188.25,+11.00
3,4,4,William McGirt,103,"38' 6""",139,5355.9169999999995,+21.00
4,5,5,Charley Hoffman,97,"39' 0""",169,6595.75,+14.00
5,6,6,Dustin Johnson,75,"39' 1""",120,4685.667,-3.00
6,T7,T7,Jordan Spieth,91,"39' 2""",118,4621.417,-4.00
7,T7,T7,Nicholas Thompson,90,"39' 2""",110,4307.0,+20.00
8,9,9,Billy Hurley III,83,"39' 4""",101,3974.583,+13.00
9,10,10,Chez Reavie,56,"39' 5""",74,2917.333,+15.00
10,11,11,Greg Chalmers,58,"39' 10""",76,3028.083,+9.00
11,12,12,Ryo Ishikawa,90,"39' 11""",147,5862.0,+6.00
12,13,13,Jason Bohn,95,"40' 1""",106,4252.667,+9.00
13,14,14,Stewart Cink,77,"40' 3""",109,4383.583,-5.00
14,T15,T15,Blayne Barber,76,"40' 4""",99,3993.667,+6.00
15,T15,T15,Scott Langley,94,"40' 4""",166,6691.1669999999995,+17.00
16,T17,T17,Patrick Rodgers,57,"40' 5""",106,4280.833,+12.00
17,T17,T17,Lee Westwood,56,"40' 5""",59,2386.917,+13.00
18,T19,T19,Robert Allenby,63,"40' 6""",57,2308.333,+4.00
19,T19,T19,Shawn Stefani,94,"40' 6""",146,5908.5830000000005,+15.00
20,21,21,Morgan Hoffmann,85,"40' 7""",148,6001.0,+1.00
21,22,22,Chesson Hadley,101,"40' 8""",147,5975.25,+28.00
22,23,23,Jon Curran,83,"40' 10""",85,3473.583,+8.00
23,24,24,Steven Bowditch,103,"40' 11""",164,6709.1669999999995,+12.00
24,25,25,Jim Renner,68,"41' 0""",110,4505.417,+24.00
25,T26,T26,Kevin Kisner,104,"41' 1""",152,6244.0,+16.00
26,T26,T26,Andrew Putnam,68,"41' 1""",103,4227.417,+11.00
27,28,28,Brendon Todd,96,"41' 3""",118,4868.167,+13.00
28,T29,T29,Jason Gore,76,"41' 4""",87,3596.0,+12.00
29,T29,T29,Carl Pettersson,106,"41' 4""",167,6900.8330000000005,+23.00
30,T31,T31,Ángel Cabrera,53,"41' 5""",81,3353.25,+15.00
31,T31,T31,J.B. Holmes,89,"41' 5""",134,5547.3330000000005,+10.00
32,33,33,Jason Kokrak,88,"41' 6""",158,6553.75,+1.00
33,34,34,Danny Lee,120,"41' 8""",144,5997.25,+15.00
34,35,35,Hideki Matsuyama,95,"41' 10""",125,5229.75,+10.00
35,T36,T36,Oscar Fraustro,58,"41' 11""",90,3769.083,+8.00
36,T36,T36,Daniel Summerhays,101,"41' 11""",181,7581.6669999999995,+14.00
37,38,38,Martin Flores,95,"42' 0""",170,7137.75,+11.00
38,T39,T39,Matt Kuchar,97,"42' 1""",105,4417.917,-3.00
39,T39,T39,Brendan Steele,88,"42' 1""",136,5727.4169999999995,+2.00
40,T41,T41,Ben Crane,62,"42' 2""",70,2953.083,+8.00
41,T41,T41,John Merrick,78,"42' 2""",92,3879.917,+23.00
42,43,43,Ricky Barnes,82,"42' 3""",149,6290.0830000000005,+17.00
43,44,44,Louis Oosthuizen,68,"42' 4""",83,3511.417,+5.00
