,Rough_Proximity_RANK THIS WEEK,Rough_Proximity_RANK LAST WEEK,Rough_Proximity_PLAYER NAME,Rough_Proximity_ROUNDS,Rough_Proximity_AVG,Rough_Proximity_TOTAL DISTANCE (INCHES),Rough_Proximity_ATTEMPTS,Rough_Proximity_TOTAL DISTANCE (FEET),Rough_Proximity_RELATIVE TO PAR
0,1,1,Jordan Spieth,91,"37' 7""",100614,223,8384.5,E
1,2,2,Nicholas Thompson,90,"37' 11""",93197,205,7766.4169999999995,+43.00
2,3,3,Jim Furyk,71,"38' 3""",68826,150,5735.5,+3.00
3,4,4,Blayne Barber,76,"39' 4""",108021,229,9001.75,+24.00
4,5,5,Eric Axley,57,"39' 6""",82897,175,6908.0830000000005,+20.00
5,6,6,Bubba Watson,71,"39' 10""",117147,245,9762.25,-8.00
6,7,7,Louis Oosthuizen,68,"40' 1""",83222,173,6935.1669999999995,+6.00
7,8,8,Carl Pettersson,106,"40' 2""",165167,343,13763.917,+35.00
8,9,9,Justin Rose,69,"40' 8""",70225,144,5852.0830000000005,+26.00
9,T10,T10,Martin Flores,95,"41' 0""",166408,338,13867.333,+4.00
10,T10,T10,Shawn Stefani,94,"41' 0""",145018,295,12084.833,+31.00
11,12,12,Jason Bohn,95,"41' 2""",103819,210,8651.583,+26.00
12,T13,T13,Ben Crane,62,"41' 3""",82247,166,6853.9169999999995,+20.00
13,T13,T13,Greg Owen,58,"41' 3""",78654,159,6554.5,+23.00
14,15,15,Brendan Steele,88,"41' 4""",126472,255,10539.333,+13.00
15,16,16,Paul Casey,87,"41' 6""",119936,241,9994.667,+9.00
16,17,17,Chez Reavie,56,"41' 7""",58833,118,4902.75,+21.00
17,T18,T18,Ángel Cabrera,53,"41' 8""",84446,169,7037.1669999999995,+27.00
18,T18,T18,Jason Day,75,"41' 8""",127426,255,10618.833,+1.00
19,T18,T18,Dustin Johnson,75,"41' 8""",113466,227,9455.5,+18.00
20,T18,T18,Patrick Rodgers,57,"41' 8""",94441,189,7870.0830000000005,+24.00
21,T22,T22,Billy Hurley III,83,"41' 9""",115253,230,9604.417,+38.00
22,T22,T22,Scott Langley,94,"41' 9""",138850,277,11570.833,+30.00
23,24,24,Jason Gore,76,"41' 10""",91943,183,7661.9169999999995,+26.00
24,T25,T25,Bill Haas,89,"41' 11""",117787,234,9815.583,+3.00
25,T25,T25,J.B. Holmes,89,"41' 11""",137243,273,11436.917,+26.00
26,T25,T25,William McGirt,103,"41' 11""",148344,295,12362.0,+40.00
27,T28,T28,Stewart Cink,77,"42' 0""",122010,242,10167.5,+19.00
28,T28,T28,Ryan Palmer,80,"42' 0""",108775,216,9064.583,+2.00
29,T30,T30,Brendon de Jonge,106,"42' 1""",154509,306,12875.75,+25.00
30,T30,T30,Charley Hoffman,97,"42' 1""",143283,284,11940.25,+24.00
31,T30,T30,Jason Kokrak,88,"42' 1""",167243,331,13936.917,+9.00
32,T30,T30,Danny Lee,120,"42' 1""",156606,310,13050.5,+32.00
33,34,34,Steven Bowditch,103,"42' 2""",192356,380,16029.667,+22.00
34,T35,T35,Hideki Matsuyama,95,"42' 3""",119247,235,9937.25,+20.00
35,T35,T35,Charl Schwartzel,67,"42' 3""",73461,145,6121.75,+14.00
36,T35,T35,Nick Taylor,91,"42' 3""",167467,330,13955.583,+57.00
37,T35,T35,Brendon Todd,96,"42' 3""",115143,227,9595.25,+17.00
38,39,39,Sung Joon Park,79,"42' 5""",95727,188,7977.25,+18.00
39,T40,T40,Charlie Beljan,76,"42' 6""",114224,224,9518.667,+31.00
40,T40,T40,Jon Curran,83,"42' 6""",105997,208,8833.083,+41.00
41,T40,T40,Martin Laird,77,"42' 6""",128945,253,10745.417,+28.00
42,T40,T40,Patrick Reed,103,"42' 6""",160197,314,13349.75,+7.00
43,T40,T40,Brian Stuard,97,"42' 6""",110666,217,9222.167,+36.00
44,T45,T45,Chris Stroud,84,"42' 7""",111851,219,9320.917,+47.00
45,T45,T45,Lee Westwood,56,"42' 7""",61861,121,5155.083,+27.00
46,T47,T47,Robert Allenby,63,"42' 8""",83440,163,6953.3330000000005,+30.00
47,T47,T47,George McNeill,93,"42' 8""",141852,277,11821.0,+21.00
48,T49,T49,Alex Cejka,94,"42' 9""",143617,280,11968.083,+24.00
49,T49,T49,Kyle Reifers,96,"42' 9""",142502,278,11875.167,+35.00
50,T49,T49,Jim Renner,68,"42' 9""",110745,216,9228.75,+43.00
51,T49,T49,Daniel Summerhays,101,"42' 9""",177991,347,14832.583,+27.00
52,T53,T53,Oscar Fraustro,58,"42' 10""",80667,157,6722.25,+18.00
53,T53,T53,Kevin Kisner,104,"42' 10""",156873,305,13072.75,+38.00
54,T53,T53,Hudson Swafford,97,"42' 10""",140898,274,11741.5,+25.00
55,T56,T56,Morgan Hoffmann,85,"42' 11""",142036,276,11836.333,+12.00
56,T56,T56,Justin Thomas,106,"42' 11""",178350,346,14862.5,+25.00
57,T58,T58,Rickie Fowler,76,"43' 0""",101177,196,8431.417,+25.00
58,T58,T58,Ryo Ishikawa,90,"43' 0""",141893,275,11824.417,+20.00
59,T60,T60,John Merrick,78,"43' 1""",88460,171,7371.6669999999995,+27.00
60,T60,T60,Ryan Moore,81,"43' 1""",94077,182,7839.75,+18.00
61,62,62,Tom Hoge,83,"43' 2""",126974,245,10581.167,+24.00
62,T63,T63,Jonas Blixt,78,"43' 3""",101782,196,8481.833,+27.00
63,T63,T63,Matt Kuchar,97,"43' 3""",138700,267,11558.333,+11.00
64,T63,T63,Scott Stallings,60,"43' 3""",84592,163,7049.3330000000005,+19.00
65,T63,T63,Johnson Wagner,68,"43' 3""",98658,190,8221.5,+23.00
66,T67,T67,Tony Finau,106,"43' 4""",204427,393,17035.583,-2.00
67,T67,T67,Jerry Kelly,79,"43' 4""",98239,189,8186.5830000000005,+11.00
68,T67,T67,Davis Love III,51,"43' 4""",76489,147,6374.0830000000005,+17.00
