,Greens_or_Fringe_in_Regulation_RANK THIS WEEK,Greens_or_Fringe_in_Regulation_RANK LAST WEEK,Greens_or_Fringe_in_Regulation_PLAYER NAME,Greens_or_Fringe_in_Regulation_ROUNDS,Greens_or_Fringe_in_Regulation_%,Greens_or_Fringe_in_Regulation_TOTAL HIT,Greens_or_Fringe_in_Regulation_TOTAL ATTEMPTS,Greens_or_Fringe_in_Regulation_RTP SCORE
0,1,1,Willy Wilcox,58,77.51,572,738,-152.0
1,2,2,Jim Herman,88,76.41,1059,1386,-243.0
2,3,3,Stewart Cink,77,76.18,905,1188,-214.0
3,4,4,Henrik Stenson,63,75.63,599,792,-166.0
4,5,5,Chez Reavie,56,75.44,679,900,-155.0
5,6,6,Paul Casey,87,75.4,855,1134,-232.0
6,7,7,Russell Knox,96,75.03,1175,1566,-289.0
7,8,8,Jim Furyk,71,74.89,701,936,-171.0
8,9,9,Kevin Streelman,95,74.81,983,1314,-233.0
9,T10,T10,Jason Day,75,74.46,764,1026,-268.0
10,T10,T10,Lucas Glover,79,74.46,965,1296,-194.0
11,12,12,Francesco Molinari,56,74.29,575,774,-128.0
12,13,13,Bill Haas,89,74.26,949,1278,-211.0
13,14,14,Greg Owen,58,74.17,534,720,-116.0
14,15,15,Martin Flores,95,73.98,1052,1422,-229.0
15,16,16,Michael Putnam,87,73.94,905,1224,-184.0
16,17,17,Justin Rose,69,73.92,652,882,-203.0
17,18,18,Bubba Watson,71,73.91,745,1008,-238.0
18,19,19,J.J. Henry,94,73.9,1011,1368,-201.0
19,20,20,Johnson Wagner,68,73.88,758,1026,-174.0
20,21,21,Charles Howell III,105,73.85,1316,1782,-317.0
21,22,22,Justin Thomas,106,73.78,1275,1728,-378.0
22,23,23,John Peterson,84,73.67,1021,1386,-234.0
23,24,24,Byron Smith,59,73.64,570,774,-114.0
24,25,25,Hideki Matsuyama,95,73.49,926,1260,-281.0
25,26,26,Shawn Stefani,94,73.48,1164,1584,-311.0
26,27,27,Jason Bohn,95,73.44,1150,1566,-323.0
27,28,28,Ben Martin,93,73.38,1017,1386,-274.0
28,29,29,Spencer Levin,99,73.36,1096,1494,-239.0
29,30,30,Whee Kim,71,73.31,739,1008,-183.0
30,31,31,Webb Simpson,81,73.18,843,1152,-207.0
31,32,32,Alex Prugh,84,73.15,948,1296,-230.0
32,33,33,Jason Dufner,76,73.03,631,864,-131.0
33,34,34,Pat Perez,96,72.96,1090,1494,-289.0
34,35,35,Brendan Steele,88,72.95,998,1368,-275.0
35,T36,T36,Chad Campbell,97,72.89,1194,1638,-273.0
36,T36,T36,Jason Gore,76,72.89,761,1044,-203.0
37,38,38,William McGirt,103,72.79,1271,1746,-296.0
38,39,39,Hudson Swafford,97,72.76,1087,1494,-301.0
39,40,40,Daniel Berger,97,72.74,1086,1493,-273.0
40,41,41,Boo Weekley,79,72.72,877,1206,-220.0
41,42,42,Zach Johnson,90,72.68,915,1259,-250.0
42,43,43,Nick Watney,91,72.63,1059,1458,-248.0
43,44,44,Jason Kokrak,88,72.57,1045,1440,-264.0
44,45,45,David Hearn,97,72.55,1110,1530,-288.0
45,46,46,Blayne Barber,76,72.49,822,1134,-203.0
46,47,47,Roberto Castro,54,72.38,469,648,-112.0
47,48,48,Tony Finau,106,72.34,1198,1656,-350.0
48,49,49,Cameron Percy,72,72.32,755,1044,-200.0
49,50,50,Billy Horschel,99,72.22,949,1314,-259.0
50,T51,T51,George McNeill,93,72.16,1156,1602,-287.0
51,T51,T51,Robert Streb,110,72.16,1247,1728,-363.0
52,53,53,Adam Hadwin,95,72.02,1050,1458,-277.0
53,T54,T54,Russell Henley,87,71.97,868,1206,-249.0
54,T54,T54,Rory Sabbatini,81,71.97,855,1188,-216.0
55,56,56,Chris Stroud,84,71.9,880,1224,-207.0
56,57,57,Dustin Johnson,75,71.81,698,972,-226.0
57,T58,T58,Jonathan Byrd,69,71.79,659,918,-163.0
58,T58,T58,Brice Garnett,81,71.79,827,1152,-179.0
59,T60,T60,Steven Alker,62,71.78,646,900,-165.0
60,T60,T60,Derek Ernst,75,71.78,814,1134,-168.0
61,62,62,Louis Oosthuizen,68,71.75,607,846,-149.0
62,63,63,John Merrick,78,71.74,749,1044,-162.0
63,64,64,John Senden,80,71.68,658,918,-169.0
64,65,65,Bill Lunde,50,71.6,464,648,-90.0
65,66,66,Bo Van Pelt,81,71.54,837,1170,-203.0
66,67,67,Adam Scott,51,71.53,412,576,-99.0
67,68,68,Davis Love III,51,71.43,540,756,-105.0
68,69,69,Mark Hubbard,79,71.4,784,1098,-176.0
69,70,70,Brendon de Jonge,106,71.38,1182,1656,-301.0
70,71,71,Robert Allenby,63,71.35,655,918,-119.0
71,72,72,David Toms,62,71.31,706,990,-152.0
72,73,73,Jerry Kelly,79,71.3,847,1188,-216.0
73,74,74,Scott Piercy,90,71.29,1065,1494,-280.0
74,75,75,Hunter Mahan,88,71.28,834,1170,-208.0
75,76,76,Vijay Singh,78,71.26,885,1242,-218.0
76,77,77,Brooks Koepka,84,71.11,832,1170,-260.0
77,78,78,Graham DeLaet,65,71.09,691,972,-179.0
78,79,79,Scott Langley,94,71.03,1010,1422,-237.0
79,80,80,Harris English,105,71.02,1125,1584,-313.0
80,81,81,Patrick Rodgers,57,71.01,588,828,-166.0
81,T82,T82,Colt Knost,90,70.95,945,1332,-250.0
82,T82,T82,Scott Pinckney,88,70.95,945,1332,-231.0
83,84,84,Mark Wilson,89,70.92,1034,1458,-239.0
84,85,85,John Huh,102,70.91,1136,1602,-262.0
85,86,86,Sam Saunders,83,70.81,803,1134,-211.0
86,T87,T87,Jordan Spieth,91,70.79,841,1188,-288.0
87,T87,T87,Nicholas Thompson,90,70.79,892,1260,-198.0
88,89,89,Kyle Reifers,96,70.69,1018,1440,-240.0
89,90,90,Ryan Palmer,80,70.68,687,972,-189.0
90,91,91,Ángel Cabrera,53,70.63,534,756,-130.0
91,92,92,Martin Laird,77,70.62,928,1314,-243.0
92,93,93,Danny Lee,120,70.61,1271,1800,-363.0
93,94,94,Tom Hoge,83,70.6,826,1170,-235.0
94,95,95,Scott Brown,97,70.58,1029,1458,-270.0
95,96,96,Keegan Bradley,87,70.57,813,1152,-231.0
96,T97,T97,Sergio Garcia,59,70.52,457,648,-136.0
97,T97,T97,Ryo Ishikawa,90,70.52,952,1350,-255.0
98,T97,T97,Jeff Overton,94,70.52,952,1350,-244.0
99,100,100,Carlos Ortiz,100,70.48,1053,1494,-300.0
100,101,101,Chad Collins,79,70.46,799,1134,-182.0
101,T102,T102,Matt Kuchar,97,70.35,975,1386,-283.0
102,T102,T102,David Lingmerth,90,70.35,937,1332,-246.0
103,104,104,Kevin Kisner,104,70.33,1190,1692,-312.0
104,105,105,Geoff Ogilvy,50,70.32,443,630,-89.0
105,106,106,Ryan Moore,81,70.22,771,1098,-219.0
106,107,107,Bryce Molder,91,70.13,972,1386,-253.0
107,108,108,Jimmy Walker,89,70.05,807,1152,-241.0
108,109,109,Jonathan Randolph,72,70.04,706,1008,-150.0
109,110,110,D.A. Points,72,70.02,731,1044,-156.0
110,111,111,James Hahn,94,70.01,983,1404,-266.0
111,112,112,Rickie Fowler,76,69.98,718,1026,-227.0
112,113,113,Tyrone Van Aswegen,58,69.97,529,756,-128.0
113,114,114,Brian Harman,90,69.94,982,1404,-272.0
114,115,115,Gary Woodland,81,69.86,679,972,-173.0
115,116,116,Zac Blair,108,69.82,1106,1584,-253.0
116,117,117,Daniel Summerhays,101,69.79,1118,1602,-312.0
117,118,118,Charl Schwartzel,67,69.78,515,738,-122.0
118,T119,T119,Sean O'Hair,86,69.75,1017,1458,-279.0
119,T119,T119,Nick Taylor,91,69.75,1042,1494,-278.0
120,121,121,Jon Curran,83,69.74,816,1170,-175.0
121,122,122,Michael Thompson,83,69.7,941,1350,-231.0
122,123,123,Alex Cejka,94,69.69,991,1422,-239.0
123,T124,T124,Andres Gonzales,90,69.66,953,1368,-232.0
124,T124,T124,Brendon Todd,96,69.66,953,1368,-259.0
125,126,126,Lee Westwood,56,69.62,401,576,-113.0
126,127,127,Jhonattan Vegas,90,69.52,901,1296,-214.0
127,128,128,Sung Joon Park,79,69.49,788,1134,-145.0
128,129,129,Kevin Chappell,86,69.48,938,1350,-258.0
129,T130,T130,Oscar Fraustro,58,69.44,500,720,-108.0
130,T130,T130,J.B. Holmes,89,69.44,825,1188,-264.0
131,T130,T130,Marc Leishman,74,69.44,675,972,-169.0
132,133,133,Seung-Yul Noh,65,69.34,674,972,-183.0
133,134,134,Luke Guthrie,84,69.28,848,1224,-215.0
134,135,135,Steven Bowditch,103,69.26,1097,1584,-299.0
135,136,136,Luke Donald,71,69.24,673,972,-170.0
136,137,137,Billy Hurley III,83,69.22,785,1134,-164.0
137,138,138,Steve Wheatcroft,87,69.21,897,1296,-251.0
138,139,139,Charlie Beljan,76,69.2,710,1026,-169.0
139,140,140,Matt Jones,89,69.15,834,1206,-243.0
140,141,141,Gonzalo Fernandez-Castaño,81,69.14,784,1134,-172.0
141,142,142,Brian Stuard,97,68.92,980,1422,-231.0
142,143,143,Troy Merritt,91,68.9,1017,1476,-241.0
143,144,144,Andrew Svoboda,80,68.81,867,1260,-201.0
144,145,145,Ernie Els,57,68.8,483,702,-121.0
145,146,146,Camilo Villegas,83,68.69,915,1332,-232.0
146,T147,T147,Chris Kirk,76,68.65,692,1008,-199.0
147,T147,T147,Jim Renner,68,68.65,692,1008,-126.0
148,149,149,K.J. Choi,66,68.62,704,1026,-181.0
149,150,150,Cameron Tringale,96,68.57,975,1422,-237.0
150,151,151,Carl Pettersson,106,68.52,1184,1728,-316.0
151,152,152,Charley Hoffman,97,68.35,935,1368,-266.0
152,153,153,Brandt Snedeker,98,68.3,922,1350,-251.0
153,154,154,Scott Stallings,60,68.25,602,882,-147.0
154,155,155,Ken Duke,93,68.23,958,1404,-226.0
155,156,156,Chesson Hadley,101,68.16,1092,1602,-298.0
156,157,157,Fabián Gómez,83,68.12,846,1242,-210.0
