,SG_Approach-the-Green_RANK THIS WEEK,SG_Approach-the-Green_RANK LAST WEEK,SG_Approach-the-Green_PLAYER NAME,SG_Approach-the-Green_ROUNDS,SG_Approach-the-Green_AVERAGE,SG_Approach-the-Green_TOTAL SG:APP,SG_Approach-the-Green_MEASURED ROUNDS
0,1,1,Henrik Stenson,63,1.244,54.732,44
1,2,2,Jim Furyk,71,1.081,56.199,52
2,3,3,Paul Casey,87,0.991,62.461000000000006,63
3,4,4,Danny Lee,120,0.718,71.791,100
4,5,5,Justin Rose,69,0.6920000000000001,33.923,49
5,6,6,Lucas Glover,79,0.691,49.722,72
6,7,7,Bubba Watson,71,0.684,38.329,56
7,8,8,George McNeill,93,0.645,57.401,89
8,9,9,Hideki Matsuyama,95,0.637,44.617,70
9,10,10,Russell Knox,96,0.622,54.145,87
10,11,11,Jordan Spieth,91,0.618,40.775999999999996,66
11,12,12,Zach Johnson,90,0.605,42.346000000000004,70
12,13,13,Brendan Steele,88,0.6,45.626999999999995,76
13,14,14,Rickie Fowler,76,0.59,33.657,57
14,15,15,Webb Simpson,81,0.5820000000000001,37.224000000000004,64
15,16,16,Dustin Johnson,75,0.579,31.252,54
16,17,17,Luke Donald,71,0.573,30.959,54
17,18,18,Francesco Molinari,56,0.5720000000000001,24.605,43
18,T19,T19,Jason Bohn,95,0.561,48.838,87
19,T19,T19,Stewart Cink,77,0.561,37.025999999999996,66
20,21,21,Ryan Palmer,80,0.529,28.555,54
21,22,22,Daniel Berger,97,0.526,43.68600000000001,83
22,23,23,Tyrone Van Aswegen,58,0.47100000000000003,19.795,42
23,24,24,Sergio Garcia,59,0.46799999999999997,16.837,36
24,25,25,Jason Day,75,0.461,26.26,57
25,26,26,Tom Hoge,83,0.456,29.61,65
26,27,27,Ryo Ishikawa,90,0.436,32.67,75
27,28,28,Bill Haas,89,0.42200000000000004,29.975,71
28,T29,T29,Michael Putnam,87,0.42,28.559,68
29,T29,T29,Vijay Singh,78,0.42,28.96,69
30,31,31,Greg Owen,58,0.40700000000000003,16.27,40
31,32,32,Jason Dufner,76,0.39899999999999997,19.149,48
