,Greens_in_Regulation_Percentage_RANK THIS WEEK,Greens_in_Regulation_Percentage_RANK LAST WEEK,Greens_in_Regulation_Percentage_PLAYER NAME,Greens_in_Regulation_Percentage_ROUNDS,Greens_in_Regulation_Percentage_%,Greens_in_Regulation_Percentage_GREENS HIT,Greens_in_Regulation_Percentage_# HOLES,Greens_in_Regulation_Percentage_RELATIVE/PAR
0,1,1,Henrik Stenson,63,73.52,794,1080,-0.26
1,2,2,Jim Herman,88,73.23,1160,1584,-0.23
2,3,3,Stewart Cink,77,72.94,1011,1386,-0.23
3,4,4,Willy Wilcox,58,72.53,705,972,-0.28
4,5,5,Paul Casey,87,72.36,1068,1476,-0.27
5,6,6,Francesco Molinari,56,71.07,678,954,-0.22
6,T7,T7,Jason Day,75,70.83,918,1296,-0.36
7,T7,T7,Russell Knox,96,70.83,1224,1728,-0.25
8,9,9,Justin Rose,69,70.54,838,1188,-0.31
9,10,10,Lucas Glover,79,70.46,1002,1422,-0.22
10,11,11,Alex Prugh,84,70.14,1010,1440,-0.26
11,12,12,Michael Putnam,87,70.13,1073,1530,-0.22
12,13,13,J.J. Henry,94,69.88,1132,1620,-0.22
13,14,14,Jim Furyk,71,69.79,804,1152,-0.24
14,15,15,Chez Reavie,56,69.64,702,1008,-0.25
15,16,16,Adam Scott,51,69.62,589,846,-0.26
16,17,17,Brooks Koepka,84,69.48,1013,1458,-0.3
17,18,18,Billy Horschel,99,69.33,1173,1692,-0.27
18,19,19,Bubba Watson,71,69.32,836,1206,-0.33
19,20,20,Greg Owen,58,69.25,723,1044,-0.22
20,21,21,Hideki Matsuyama,95,69.2,1121,1620,-0.3
21,22,22,Graham DeLaet,65,69.15,809,1170,-0.27
22,23,23,Robert Streb,110,69.14,1369,1980,-0.29
23,24,24,Jason Dufner,76,69.03,907,1314,-0.24
24,25,25,Kevin Streelman,95,68.99,1130,1638,-0.26
25,26,26,Johnson Wagner,68,68.95,844,1224,-0.25
26,27,27,Justin Thomas,106,68.92,1315,1908,-0.31
27,T28,T28,Jason Bohn,95,68.89,1178,1710,-0.3
28,T28,T28,Byron Smith,59,68.89,682,990,-0.23
29,30,30,Daniel Berger,97,68.84,1202,1746,-0.27
30,31,31,Bill Haas,89,68.8,1065,1548,-0.24
31,32,32,Shawn Stefani,94,68.79,1164,1692,-0.29
32,33,33,Bill Lunde,50,68.72,569,828,-0.21
33,34,34,Ben Martin,93,68.7,1113,1620,-0.27
34,35,35,Chad Campbell,97,68.61,1198,1746,-0.24
35,36,36,Nicholas Thompson,90,68.6,1062,1548,-0.25
36,37,37,Zach Johnson,90,68.58,1074,1566,-0.29
37,38,38,Charles Howell III,105,68.57,1296,1890,-0.26
38,39,39,Hudson Swafford,97,68.54,1172,1710,-0.3
39,40,40,Brendan Steele,88,68.52,1036,1512,-0.3
40,T41,T41,Martin Flores,95,68.32,1119,1638,-0.24
41,T41,T41,John Peterson,84,68.32,1033,1512,-0.25
42,T43,T43,Brice Garnett,81,68.28,971,1422,-0.23
43,T43,T43,Louis Oosthuizen,68,68.28,762,1116,-0.27
44,45,45,Spencer Levin,99,68.27,1192,1746,-0.23
45,46,46,Whee Kim,71,68.2,847,1242,-0.26
46,47,47,David Hearn,97,67.98,1187,1746,-0.27
47,48,48,Pat Perez,96,67.88,1173,1728,-0.29
48,49,49,Jordan Spieth,91,67.87,1075,1584,-0.34
49,50,50,William McGirt,103,67.85,1258,1854,-0.25
50,51,51,Mark Wilson,89,67.84,1038,1530,-0.24
51,52,52,Rory Sabbatini,81,67.83,989,1458,-0.27
52,53,53,Webb Simpson,81,67.81,952,1404,-0.25
53,54,54,Cameron Percy,72,67.78,854,1260,-0.26
54,55,55,Boo Weekley,79,67.72,963,1422,-0.26
55,56,56,John Merrick,78,67.64,901,1332,-0.24
56,T57,T57,Tony Finau,106,67.61,1290,1908,-0.31
57,T57,T57,Scott Pinckney,88,67.61,1071,1584,-0.26
58,59,59,Sergio Garcia,59,67.56,681,1008,-0.29
59,60,60,Keegan Bradley,87,67.53,1021,1512,-0.28
60,61,61,Jason Gore,76,67.52,875,1296,-0.27
61,62,62,Brendon de Jonge,106,67.51,1288,1908,-0.28
62,63,63,Colt Knost,90,67.44,1044,1548,-0.28
63,64,64,Davis Love III,51,67.43,619,918,-0.22
64,65,65,Jonathan Byrd,69,67.35,788,1170,-0.24
65,66,66,Nick Watney,91,67.34,1103,1638,-0.26
66,67,67,Jason Kokrak,88,67.3,1066,1584,-0.27
67,68,68,John Senden,80,67.26,908,1350,-0.27
68,69,69,Russell Henley,87,67.06,1014,1512,-0.29
