,Average_Approach_Distance_-_Bogey_or_Worse_RANK THIS WEEK,Average_Approach_Distance_-_Bogey_or_Worse_RANK LAST WEEK,Average_Approach_Distance_-_Bogey_or_Worse_PLAYER NAME,Average_Approach_Distance_-_Bogey_or_Worse_ROUNDS,Average_Approach_Distance_-_Bogey_or_Worse_AVG (YARDS),Average_Approach_Distance_-_Bogey_or_Worse_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Bogey_or_Worse_NUMBER OF APPROACH SHOTS
0,1,1,Jim Furyk,71,1492,6499150.0,1.21
1,2,2,Tyrone Van Aswegen,58,1506,6126300.0,1.13
2,3,3,Byron Smith,59,1507,6837450.0,1.26
3,4,4,Bill Lunde,50,1508,6243690.0,1.15
4,5,5,Patrick Reed,103,1518,11423340.0,2.09
5,6,6,Ryan Palmer,80,1520,7934770.0,1.45
6,7,7,Bubba Watson,71,1530,6883820.0,1.25
7,8,8,Graham DeLaet,65,1535,8402230.0,1.52
8,9,9,Retief Goosen,81,1539,10967780.0,1.98
9,T10,T10,Aaron Baddeley,76,1544,10508220.0,1.89
10,T10,T10,Bo Van Pelt,81,1544,11172740.0,2.01
11,12,12,Roger Sloan,56,1549,7749410.0,1.39
12,13,13,Adam Hadwin,95,1550,12553610.0,2.25
13,14,14,Robert Streb,110,1552,13521320.0,2.42
14,15,15,Andrew Svoboda,80,1554,14990580.0,2.68
15,T16,T16,Charlie Beljan,76,1555,12260980.0,2.19
16,T16,T16,Billy Horschel,99,1555,11473300.0,2.05
17,T18,T18,Alex Prugh,84,1556,11480940.0,2.05
18,T18,T18,Johnson Wagner,68,1556,8516720.0,1.52
19,20,20,Shawn Stefani,94,1559,14086770.0,2.51
20,21,21,Martin Laird,77,1560,11907780.0,2.12
21,T22,T22,Patrick Rodgers,57,1561,7415820.0,1.32
22,T22,T22,Justin Rose,69,1561,6689290.0,1.19
23,24,24,Steven Bowditch,103,1563,13106370.0,2.33
24,T25,T25,Ricky Barnes,82,1566,10769350.0,1.91
25,T25,T25,Chesson Hadley,101,1566,15390330.0,2.73
26,T25,T25,Lee Westwood,56,1566,6031060.0,1.07
27,28,28,Brian Stuard,97,1567,12863570.0,2.28
28,29,29,Hudson Swafford,97,1570,13223850.0,2.34
29,T30,T30,Blayne Barber,76,1571,10234290.0,1.81
30,T30,T30,Jonas Blixt,78,1571,9615990.0,1.7
31,T30,T30,Jason Bohn,95,1571,12215870.0,2.16
32,T33,T33,Charles Howell III,105,1572,15336820.0,2.71
33,T33,T33,Louis Oosthuizen,68,1572,7358670.0,1.3
34,35,35,Charl Schwartzel,67,1573,7190860.0,1.27
35,T36,T36,Ernie Els,57,1575,6972610.0,1.23
36,T36,T36,Tom Hoge,83,1575,9982040.0,1.76
37,T38,T38,Matt Every,73,1577,11750970.0,2.07
38,T38,T38,Robert Garrigus,70,1577,11186030.0,1.97
