,Total_Hole_Outs_RANK THIS WEEK,Total_Hole_Outs_RANK LAST WEEK,Total_Hole_Outs_PLAYER NAME,Total_Hole_Outs_ROUNDS,Total_Hole_Outs_HOLE OUTS
0,1,1,Steven Bowditch,103,22
1,T2,T2,Kevin Kisner,104,21
2,T2,T2,William McGirt,103,21
3,4,4,Danny Lee,120,20
4,5,5,Sean O'Hair,86,19
5,T6,T6,Scott Brown,97,18
6,T6,T6,John Huh,102,18
7,T6,T6,Robert Streb,110,18
8,T9,T9,Ken Duke,93,17
9,T9,T9,Troy Merritt,91,17
10,T9,T9,Patrick Reed,103,17
11,T12,T12,Daniel Berger,97,16
12,T12,T12,Alex Cejka,94,16
13,T12,T12,Derek Fathauer,81,16
14,T12,T12,Gonzalo Fernandez-Castaño,81,16
15,T12,T12,Morgan Hoffmann,85,16
16,T12,T12,Jeff Overton,94,16
17,T12,T12,Pat Perez,96,16
18,T12,T12,Jordan Spieth,91,16
19,T12,T12,Shawn Stefani,94,16
20,T12,T12,Boo Weekley,79,16
21,T22,T22,Tony Finau,106,15
22,T22,T22,Adam Hadwin,95,15
23,T22,T22,J.B. Holmes,89,15
24,T22,T22,Max Homa,78,15
25,T22,T22,Dustin Johnson,75,15
26,T22,T22,John Peterson,84,15
27,T22,T22,Brandt Snedeker,98,15
28,T22,T22,Nick Watney,91,15
29,T30,T30,Ricky Barnes,82,14
30,T30,T30,Chad Campbell,97,14
31,T30,T30,Jason Kokrak,88,14
32,T30,T30,David Lingmerth,90,14
33,T30,T30,Andres Romero,69,14
34,T30,T30,Sam Saunders,83,14
35,T30,T30,Justin Thomas,106,14
36,T37,T37,Sangmoon Bae,98,13
37,T37,T37,Zac Blair,108,13
38,T37,T37,Chad Collins,79,13
39,T37,T37,Erik Compton,86,13
40,T37,T37,Jason Dufner,76,13
41,T37,T37,Harris English,105,13
42,T37,T37,Martin Flores,95,13
43,T37,T37,Robert Garrigus,70,13
44,T37,T37,Ryo Ishikawa,90,13
45,T37,T37,Ben Martin,93,13
46,T37,T37,Phil Mickelson,70,13
47,T37,T37,Kevin Na,98,13
48,T37,T37,Scott Piercy,90,13
49,T37,T37,Brian Stuard,97,13
50,T37,T37,Daniel Summerhays,101,13
51,T37,T37,Jhonattan Vegas,90,13
52,T37,T37,Steve Wheatcroft,87,13
53,T54,T54,Steven Alker,62,12
54,T54,T54,Blayne Barber,76,12
55,T54,T54,Jonas Blixt,78,12
56,T54,T54,Brian Davis,86,12
57,T54,T54,Brendon de Jonge,106,12
58,T54,T54,Andres Gonzales,90,12
59,T54,T54,Chris Kirk,76,12
60,T54,T54,Russell Knox,96,12
61,T54,T54,Scott Langley,94,12
62,T54,T54,Carl Pettersson,106,12
63,T54,T54,Scott Pinckney,88,12
64,T54,T54,Chris Stroud,84,12
65,T54,T54,Bo Van Pelt,81,12
66,T67,T67,Eric Axley,57,11
67,T67,T67,Aaron Baddeley,76,11
68,T67,T67,Jason Bohn,95,11
69,T67,T67,Jonathan Byrd,69,11
70,T67,T67,Rickie Fowler,76,11
71,T67,T67,Jim Furyk,71,11
