,Average_Distance_after_Going_for_it_Shot_RANK THIS WEEK,Average_Distance_after_Going_for_it_Shot_RANK LAST WEEK,Average_Distance_after_Going_for_it_Shot_PLAYER NAME,Average_Distance_after_Going_for_it_Shot_ROUNDS,Average_Distance_after_Going_for_it_Shot_AVG,Average_Distance_after_Going_for_it_Shot_TOTAL DIST AFTER GFG SHOT,Average_Distance_after_Going_for_it_Shot_TOTAL GFG SHOTS
0,1,1,Jim Furyk,71,19.2,47695.0,69
1,2,2,Patrick Rodgers,57,19.7,74422.0,105
2,3,3,Alex Prugh,84,20.2,95286.0,131
3,4,4,Hudson Swafford,97,20.4,121167.0,165
4,5,5,Jim Herman,88,20.6,95504.0,129
5,6,6,Brendan Steele,88,20.7,149144.0,200
6,7,7,Adam Scott,51,20.8,51646.0,69
7,8,8,Bubba Watson,71,20.9,132736.0,176
8,9,9,Graham DeLaet,65,21.0,81759.0,108
9,T10,T10,Keegan Bradley,87,21.3,120260.0,157
10,T10,T10,Andrew Putnam,68,21.3,64472.0,84
11,12,12,Dustin Johnson,75,21.4,104645.0,136
12,13,13,Lucas Glover,79,21.8,110500.0,141
13,T14,T14,Martin Laird,77,22.0,121700.0,154
14,T14,T14,Willy Wilcox,58,22.0,60327.0,76
15,T16,T16,Martin Flores,95,22.1,131072.0,165
16,T16,T16,Andres Gonzales,90,22.1,108073.0,136
17,T18,T18,Aaron Baddeley,76,22.2,101438.0,127
18,T18,T18,Chad Campbell,97,22.2,105465.0,132
19,T20,T20,Chris Kirk,76,22.3,81799.0,102
20,T20,T20,Tim Wilkinson,73,22.3,53721.0,67
21,T22,T22,Hideki Matsuyama,95,22.4,128501.0,159
22,T22,T22,Jordan Spieth,91,22.4,109845.0,136
23,T22,T22,Henrik Stenson,63,22.4,85626.0,106
24,T25,T25,Ángel Cabrera,53,22.5,90000.0,111
25,T25,T25,Brooks Koepka,84,22.5,125776.0,155
26,T25,T25,Jonathan Randolph,72,22.5,85063.0,105
27,T28,T28,Robert Allenby,63,22.6,60241.0,74
28,T28,T28,Paul Casey,87,22.6,88556.0,109
29,T28,T28,George McNeill,93,22.6,118198.0,145
30,T28,T28,Rory Sabbatini,81,22.6,103342.0,127
31,T32,T32,Carlos Ortiz,100,22.7,168163.0,206
32,T32,T32,Jhonattan Vegas,90,22.7,137946.0,169
33,34,34,Bill Haas,89,22.8,109343.0,133
34,T35,T35,J.J. Henry,94,22.9,92316.0,112
35,T35,T35,Scott Pinckney,88,22.9,106551.0,129
36,T35,T35,Justin Rose,69,22.9,89185.0,108
37,T35,T35,Gary Woodland,81,22.9,107828.0,131
38,T39,T39,Kevin Chappell,86,23.0,114356.0,138
39,T39,T39,Erik Compton,86,23.0,105026.0,127
40,T39,T39,Charles Howell III,105,23.0,190983.0,231
41,T42,T42,Justin Thomas,106,23.1,195785.0,235
42,T42,T42,Camilo Villegas,83,23.1,110418.0,133
43,T44,T44,Jonas Blixt,78,23.2,59176.0,71
44,T44,T44,Roberto Castro,54,23.2,48420.0,58
45,T44,T44,Charley Hoffman,97,23.2,152048.0,182
46,T44,T44,Davis Love III,51,23.2,55892.0,67
47,48,48,J.B. Holmes,89,23.3,143459.0,171
48,T49,T49,Steven Bowditch,103,23.4,167380.0,199
49,T49,T49,Scott Brown,97,23.4,121497.0,144
50,T49,T49,K.J. Choi,66,23.4,57215.0,68
51,T49,T49,Jimmy Walker,89,23.4,116386.0,138
52,T53,T53,Brice Garnett,81,23.5,86460.0,102
53,T53,T53,Sam Saunders,83,23.5,119419.0,141
54,55,55,Chad Collins,79,23.6,71323.0,84
55,T56,T56,Russell Henley,87,23.7,115298.0,135
56,T56,T56,Matt Jones,89,23.7,148193.0,174
57,T56,T56,Chez Reavie,56,23.7,72567.0,85
58,T59,T59,Jason Kokrak,88,23.8,170787.0,199
59,T59,T59,Ryan Palmer,80,23.8,89862.0,105
60,T59,T59,Michael Putnam,87,23.8,112035.0,131
61,T62,T62,Brian Harman,90,23.9,131876.0,153
62,T62,T62,Nick Taylor,91,23.9,148790.0,173
63,T64,T64,Alex Cejka,94,24.0,105305.0,122
64,T64,T64,Louis Oosthuizen,68,24.0,88049.0,102
65,T64,T64,John Senden,80,24.0,102634.0,119
66,T64,T64,Andrew Svoboda,80,24.0,99294.0,115
67,T68,T68,Daniel Berger,97,24.1,165126.0,190
68,T68,T68,Oscar Fraustro,58,24.1,65196.0,75
69,T68,T68,James Hahn,94,24.1,110385.0,127
70,T68,T68,Carl Pettersson,106,24.1,156290.0,180
71,T68,T68,Webb Simpson,81,24.1,113469.0,131
72,T68,T68,Scott Stallings,60,24.1,95633.0,110
73,T68,T68,Johnson Wagner,68,24.1,73621.0,85
74,T68,T68,Nick Watney,91,24.1,131935.0,152
75,T76,T76,Jason Day,75,24.2,139328.0,160
76,T76,T76,Russell Knox,96,24.2,108243.0,124
77,T76,T76,Patrick Reed,103,24.2,130013.0,149
78,T79,T79,Brendon de Jonge,106,24.3,145094.0,166
79,T79,T79,Colt Knost,90,24.3,77062.0,88
80,T79,T79,Spencer Levin,99,24.3,119083.0,136
81,T79,T79,Ben Martin,93,24.3,111958.0,128
82,T79,T79,Michael Thompson,83,24.3,111170.0,127
83,T79,T79,Boo Weekley,79,24.3,119970.0,137
84,T85,T85,Stewart Cink,77,24.4,84178.0,96
85,T85,T85,Tony Finau,106,24.4,222348.0,253
