,Going_for_the_Green_-_Hit_Green_Pct._RANK THIS WEEK,Going_for_the_Green_-_Hit_Green_Pct._RANK LAST WEEK,Going_for_the_Green_-_Hit_Green_Pct._PLAYER NAME,Going_for_the_Green_-_Hit_Green_Pct._ROUNDS,Going_for_the_Green_-_Hit_Green_Pct._%,Going_for_the_Green_-_Hit_Green_Pct._SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._ATTEMPTS,Going_for_the_Green_-_Hit_Green_Pct._RTP-SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._RTP-NOT GOING FOR THE GRN
0,1,1,Alex Prugh,84,34.35,45,131,-42,42 Under
1,2,2,Hudson Swafford,97,32.73,54,165,-58,58 Under
2,3,3,Ben Martin,93,32.03,41,128,-38,38 Under
3,4,4,Lucas Glover,79,30.5,43,141,-42,42 Under
4,T5,T5,Tony Finau,106,30.43,77,253,-81,81 Under
5,T5,T5,Adam Scott,51,30.43,21,69,-21,21 Under
6,7,7,Brooks Koepka,84,30.32,47,155,-55,55 Under
7,8,8,Paul Casey,87,30.28,33,109,-35,35 Under
8,9,9,Willy Wilcox,58,30.26,23,76,-26,26 Under
9,10,10,Jason Day,75,30.0,48,160,-53,53 Under
10,11,11,Bubba Watson,71,29.55,52,176,-55,55 Under
11,12,12,Patrick Rodgers,57,29.52,31,105,-31,31 Under
12,13,13,Jim Herman,88,29.46,38,129,-39,39 Under
13,14,14,Chris Kirk,76,29.41,30,102,-30,30 Under
14,15,15,Roger Sloan,56,28.95,22,76,-21,21 Under
15,16,16,Carlos Ortiz,100,28.64,59,206,-60,60 Under
16,17,17,Camilo Villegas,83,28.57,38,133,-38,38 Under
17,18,18,Scott Langley,94,28.44,31,109,-30,30 Under
18,19,19,Seung-Yul Noh,65,28.43,29,102,-30,30 Under
19,20,20,Colt Knost,90,28.41,25,88,-26,26 Under
20,21,21,Sam Saunders,83,28.37,40,141,-41,41 Under
21,22,22,Johnson Wagner,68,28.24,24,85,-27,27 Under
22,23,23,Billy Horschel,99,27.75,48,173,-51,51 Under
23,24,24,J.J. Henry,94,27.68,31,112,-33,33 Under
24,25,25,Jim Furyk,71,27.54,19,69,-18,18 Under
25,26,26,Brendan Steele,88,27.5,55,200,-52,52 Under
26,27,27,Steve Wheatcroft,87,27.13,35,129,-41,41 Under
27,28,28,Stewart Cink,77,27.08,26,96,-23,23 Under
28,29,29,Charlie Beljan,76,26.77,34,127,-31,31 Under
29,30,30,Jonas Blixt,78,26.76,19,71,-20,20 Under
30,31,31,Keegan Bradley,87,26.75,42,157,-41,41 Under
31,T32,T32,Russell Henley,87,26.67,36,135,-36,36 Under
32,T32,T32,Tyrone Van Aswegen,58,26.67,16,60,-16,16 Under
33,34,34,Russell Knox,96,26.61,33,124,-31,31 Under
34,35,35,Nick Watney,91,25.66,39,152,-37,37 Under
35,36,36,Carl Pettersson,106,25.56,46,180,-50,50 Under
36,37,37,Justin Thomas,106,25.53,60,235,-63,63 Under
37,38,38,Martin Flores,95,25.45,42,165,-36,36 Under
38,39,39,Tom Hoge,83,25.42,30,118,-31,31 Under
39,T40,T40,Aaron Baddeley,76,25.2,32,127,-35,35 Under
40,T40,T40,Rory Sabbatini,81,25.2,32,127,-36,36 Under
41,T42,T42,Luke Donald,71,25.0,18,72,-15,15 Under
42,T42,T42,Padraig Harrington,60,25.0,22,88,-20,20 Under
43,44,44,Jhonattan Vegas,90,24.85,42,169,-49,49 Under
44,45,45,Ryan Palmer,80,24.76,26,105,-29,29 Under
45,46,46,Ernie Els,57,24.72,22,89,-22,22 Under
46,47,47,Chez Reavie,56,24.71,21,85,-22,22 Under
47,48,48,Alex Cejka,94,24.59,30,122,-26,26 Under
48,49,49,Ken Duke,93,24.55,27,110,-28,28 Under
49,50,50,Webb Simpson,81,24.43,32,131,-37,37 Under
50,51,51,Erik Compton,86,24.41,31,127,-34,34 Under
51,T52,T52,Ángel Cabrera,53,24.32,27,111,-29,29 Under
52,T52,T52,Adam Hadwin,95,24.32,36,148,-38,38 Under
53,54,54,Charles Howell III,105,24.24,56,231,-56,56 Under
54,55,55,J.B. Holmes,89,23.98,41,171,-44,44 Under
55,56,56,Kevin Chappell,86,23.91,33,138,-35,35 Under
56,57,57,Davis Love III,51,23.88,16,67,-17,17 Under
57,58,58,Jonathan Randolph,72,23.81,25,105,-21,21 Under
58,T59,T59,Ryan Moore,81,23.76,24,101,-25,25 Under
59,T59,T59,Bo Van Pelt,81,23.76,24,101,-23,23 Under
60,61,61,Michael Thompson,83,23.62,30,127,-33,33 Under
61,T62,T62,Jonathan Byrd,69,23.53,20,85,-19,19 Under
62,T62,T62,K.J. Choi,66,23.53,16,68,-17,17 Under
63,T62,T62,Justin Leonard,61,23.53,8,34,-9,9 Under
64,65,65,Kevin Streelman,95,23.49,39,166,-42,42 Under
65,66,66,George McNeill,93,23.45,34,145,-36,36 Under
66,67,67,Martin Laird,77,23.38,36,154,-36,36 Under
67,T68,T68,Cameron Percy,72,23.36,25,107,-28,28 Under
68,T68,T68,Boo Weekley,79,23.36,32,137,-33,33 Under
69,70,70,Robert Streb,110,23.32,45,193,-48,48 Under
70,71,71,Bill Haas,89,23.31,31,133,-33,33 Under
71,72,72,Retief Goosen,81,23.26,30,129,-27,27 Under
72,73,73,Jimmy Walker,89,23.19,32,138,-30,30 Under
73,T74,T74,Eric Axley,57,23.08,15,65,-16,16 Under
74,T74,T74,Jon Curran,83,23.08,12,52,-12,12 Under
75,76,76,Scott Brown,97,22.92,33,144,-28,28 Under
76,77,77,Dustin Johnson,75,22.79,31,136,-36,36 Under
77,78,78,Bryce Molder,91,22.78,18,79,-20,20 Under
78,79,79,Hideki Matsuyama,95,22.64,36,159,-39,39 Under
79,80,80,Andrew Putnam,68,22.62,19,84,-15,15 Under
80,T81,T81,Jason Gore,76,22.55,23,102,-27,27 Under
81,T81,T81,Louis Oosthuizen,68,22.55,23,102,-26,26 Under
82,83,83,Roberto Castro,54,22.41,13,58,-16,16 Under
83,84,84,Harris English,105,22.4,43,192,-46,46 Under
84,T85,T85,Ben Crane,62,22.22,10,45,-11,11 Under
85,T85,T85,Lee Westwood,56,22.22,14,63,-11,11 Under
86,87,87,Daniel Berger,97,22.11,42,190,-42,42 Under
87,88,88,Derek Ernst,75,21.97,29,132,-31,31 Under
88,89,89,Vijay Singh,78,21.9,30,137,-29,29 Under
89,90,90,Scott Stallings,60,21.82,24,110,-24,24 Under
90,91,91,Scott Pinckney,88,21.71,28,129,-30,30 Under
91,92,92,Brendon de Jonge,106,21.69,36,166,-36,36 Under
92,93,93,Jason Kokrak,88,21.61,43,199,-45,45 Under
93,T94,T94,Brice Garnett,81,21.57,22,102,-24,24 Under
94,T94,T94,Brian Harman,90,21.57,33,153,-33,33 Under
95,96,96,Rickie Fowler,76,21.49,26,121,-29,29 Under
96,97,97,Mark Hubbard,79,21.43,21,98,-20,20 Under
97,98,98,Scott Piercy,90,21.34,35,164,-41,41 Under
