,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
0,1,1,Jason Day,75,72.5,116,160,-123,+16.00
1,2,2,Justin Thomas,106,70.64,166,235,-178,-7.00
2,3,3,Justin Leonard,61,70.59,24,34,-26,-17.00
3,4,4,Aaron Baddeley,76,66.14,84,127,-92,-3.00
4,5,5,Brendon Todd,96,65.63,63,96,-67,-29.00
5,6,6,Jon Curran,83,65.38,34,52,-36,-13.00
6,7,7,Heath Slocum,57,65.31,32,49,-32,-5.00
7,8,8,Brooks Koepka,84,65.16,101,155,-118,+13.00
8,9,9,Ben Martin,93,64.84,83,128,-86,-5.00
9,10,10,Michael Thompson,83,64.57,82,127,-87,-3.00
10,11,11,Russell Knox,96,64.52,80,124,-82,-10.00
11,12,12,Mark Hubbard,79,64.29,63,98,-65,-14.00
12,13,13,Hideki Matsuyama,95,64.15,102,159,-109,-16.00
13,14,14,Seung-Yul Noh,65,63.73,65,102,-70,E
14,15,15,Morgan Hoffmann,85,63.41,104,164,-111,-3.00
15,16,16,Webb Simpson,81,63.36,83,131,-91,-7.00
16,17,17,Kevin Na,98,63.3,69,109,-72,-24.00
17,18,18,Justin Rose,69,62.96,68,108,-70,-13.00
18,19,19,Tim Wilkinson,73,62.69,42,67,-44,-8.00
19,T20,T20,Keegan Bradley,87,62.42,98,157,-104,-18.00
20,T20,T20,Hudson Swafford,97,62.42,103,165,-109,-4.00
21,22,22,Camilo Villegas,83,62.41,83,133,-86,-1.00
22,23,23,Adam Scott,51,62.32,43,69,-48,-5.00
23,24,24,Erik Compton,86,62.2,79,127,-87,+9.00
24,25,25,Chad Campbell,97,62.12,82,132,-85,-29.00
25,26,26,Roberto Castro,54,62.07,36,58,-41,-11.00
26,27,27,Jim Herman,88,62.02,80,129,-85,-4.00
27,28,28,Jonathan Randolph,72,61.9,65,105,-67,-10.00
28,29,29,Roger Sloan,56,61.84,47,76,-47,+10.00
29,30,30,Dustin Johnson,75,61.76,84,136,-92,-7.00
30,31,31,Sam Saunders,83,61.7,87,141,-91,-13.00
31,T32,T32,Paul Casey,87,61.47,67,109,-73,-13.00
32,T32,T32,Scott Langley,94,61.47,67,109,-71,-29.00
33,T34,T34,Derek Ernst,75,61.36,81,132,-86,+8.00
34,T34,T34,Bubba Watson,71,61.36,108,176,-118,+3.00
35,36,36,Graham DeLaet,65,61.11,66,108,-72,-3.00
36,37,37,Alex Prugh,84,61.07,80,131,-85,-7.00
37,38,38,Matt Kuchar,97,60.9,95,156,-104,-33.00
38,T39,T39,Tony Finau,106,60.87,154,253,-164,+1.00
39,T39,T39,Jimmy Walker,89,60.87,84,138,-86,-16.00
40,T41,T41,Brian Harman,90,60.78,93,153,-97,-14.00
41,T41,T41,Chris Kirk,76,60.78,62,102,-64,-10.00
42,43,43,Chad Collins,79,60.71,51,84,-54,-17.00
43,44,44,Derek Fathauer,81,60.68,71,117,-79,-2.00
44,45,45,Boo Weekley,79,60.58,83,137,-87,-12.00
45,46,46,Jonas Blixt,78,60.56,43,71,-46,-11.00
46,47,47,Zach Johnson,90,60.55,66,109,-69,-28.00
47,48,48,Matt Jones,89,60.34,105,174,-113,-15.00
48,49,49,Jordan Spieth,91,60.29,82,136,-89,-18.00
49,50,50,Lucas Glover,79,60.28,85,141,-91,E
50,51,51,J.B. Holmes,89,60.23,103,171,-111,E
51,T52,T52,Ricky Barnes,82,60.0,63,105,-66,-1.00
