,Approaches_from__275_yards_RANK THIS WEEK,Approaches_from__275_yards_RANK LAST WEEK,Approaches_from__275_yards_PLAYER NAME,Approaches_from__275_yards_ROUNDS,Approaches_from__275_yards_AVG,Approaches_from__275_yards_TOTAL DISTANCE (FEET),Approaches_from__275_yards_# OF ATTEMPTS,Approaches_from__275_yards_RELATIVE TO PAR
0,1,1,Brendan Steele,88,"58' 3""",1048.917,18,-12
1,2,2,Hudson Swafford,97,"64' 1""",640.75,10,-9
2,3,3,Ryo Ishikawa,90,"64' 8""",840.5830000000001,13,-6
3,4,4,Tony Finau,106,"69' 4""",1247.25,18,-11
4,5,5,Tim Wilkinson,73,"70' 5""",211.25,3,-2
5,6,6,Bubba Watson,71,"71' 8""",501.417,7,-4
6,7,7,Aaron Baddeley,76,"72' 0""",575.9169999999999,8,-6
7,8,8,Heath Slocum,57,"72' 3""",216.667,3,-3
8,9,9,Andrew Putnam,68,"72' 4""",868.25,12,-7
9,10,10,Ryan Palmer,80,"72' 8""",508.667,7,E
10,11,11,Tyrone Van Aswegen,58,"73' 0""",657.0,9,-6
11,12,12,Jim Herman,88,"73' 5""",1101.167,15,-10
12,13,13,Nick Taylor,91,"74' 7""",1044.417,14,-11
13,14,14,Lucas Glover,79,"74' 8""",746.3330000000001,10,-2
14,15,15,Marc Leishman,74,"75' 5""",1055.917,14,-5
15,T16,T16,Andres Gonzales,90,"76' 3""",1525.0,20,-8
16,T16,T16,Charles Howell III,105,"76' 3""",1524.5,20,-12
17,18,18,Mark Hubbard,79,"76' 7""",1608.5,21,-11
18,19,19,Charlie Beljan,76,"76' 9""",767.4169999999999,10,-6
19,20,20,Chris Kirk,76,"76' 10""",614.6669999999999,8,-4
20,21,21,Roger Sloan,56,"77' 0""",847.4169999999999,11,-6
21,22,22,Alex Prugh,84,"77' 2""",771.6669999999999,10,-8
22,23,23,Brendon de Jonge,106,"77' 6""",2323.833,30,-14
23,24,24,Steven Bowditch,103,"77' 11""",1480.8329999999999,19,-9
24,25,25,Carlos Ortiz,100,"78' 0""",1637.5829999999999,21,-8
25,26,26,John Merrick,78,"78' 3""",1174.25,15,-8
26,27,27,Stewart Cink,77,"78' 5""",313.66700000000003,4,E
27,28,28,Henrik Stenson,63,"79' 1""",1107.417,14,-7
28,29,29,Brooks Koepka,84,"79' 7""",796.1669999999999,10,-4
29,30,30,Retief Goosen,81,"79' 9""",1196.333,15,-7
30,T31,T31,William McGirt,103,"80' 5""",643.4169999999999,8,-4
31,T31,T31,Justin Thomas,106,"80' 5""",1608.5829999999999,20,-13
32,T33,T33,Graham DeLaet,65,"80' 11""",1456.25,18,-8
33,T33,T33,Kevin Na,98,"80' 11""",1214.25,15,-9
34,35,35,Martin Laird,77,"81' 0""",2186.833,27,-7
35,36,36,Max Homa,78,"82' 0""",1476.4170000000001,18,-11
36,37,37,Brice Garnett,81,"82' 1""",1231.167,15,-5
37,38,38,Jeff Overton,94,"82' 2""",1479.0829999999999,18,-8
38,39,39,D.A. Points,72,"82' 7""",908.5830000000001,11,-5
39,T40,T40,J.B. Holmes,89,"82' 9""",910.0830000000001,11,-5
40,T40,T40,Camilo Villegas,83,"82' 9""",744.5,9,-2
41,42,42,Tom Hoge,83,"83' 3""",1081.833,13,-9
42,43,43,Patrick Rodgers,57,"83' 4""",333.25,4,-1
43,44,44,Jhonattan Vegas,90,"83' 7""",1754.5,21,-8
44,45,45,Daniel Berger,97,"83' 10""",1509.4170000000001,18,-11
45,46,46,Nicholas Thompson,90,"83' 11""",755.0,9,-5
46,47,47,John Peterson,84,"84' 0""",3023.75,36,-18
47,48,48,Kevin Kisner,104,"84' 6""",2365.917,28,-13
48,T49,T49,Chad Collins,79,"84' 8""",1185.75,14,-7
49,T49,T49,Sergio Garcia,59,"84' 8""",1439.8329999999999,17,-11
50,T51,T51,Paul Casey,87,"84' 9""",847.4169999999999,10,-8
51,T51,T51,Erik Compton,86,"84' 9""",1610.5,19,-10
52,53,53,Brian Harman,90,"85' 1""",1276.333,15,-7
53,54,54,Jimmy Walker,89,"85' 2""",1107.333,13,-6
54,55,55,George McNeill,93,"85' 4""",2304.667,27,-10
55,56,56,Eric Axley,57,"85' 9""",772.0830000000001,9,-2
56,57,57,Charl Schwartzel,67,"85' 11""",1202.667,14,-6
57,58,58,Jamie Donaldson,50,"86' 1""",516.5,6,-4
58,59,59,Bo Van Pelt,81,"86' 3""",776.0830000000001,9,-6
59,60,60,Keegan Bradley,87,"86' 6""",1384.1670000000001,16,-9
60,61,61,Mark Wilson,89,"87' 2""",784.3330000000001,9,-3
61,62,62,Justin Rose,69,"87' 4""",961.0830000000001,11,-7
62,T63,T63,Francesco Molinari,56,"87' 7""",262.75,3,-1
63,T63,T63,Cameron Percy,72,"87' 7""",1663.4170000000001,19,-15
64,65,65,Bill Haas,89,"87' 8""",1754.0,20,-3
65,T66,T66,Gonzalo Fernandez-Castaño,81,"87' 9""",1141.0,13,-2
66,T66,T66,Byron Smith,59,"87' 9""",614.3330000000001,7,-6
67,68,68,Rickie Fowler,76,"87' 11""",791.3330000000001,9,-5
