,Approaches_from_inside_100_yards_Rgh_RANK THIS WEEK,Approaches_from_inside_100_yards_Rgh_RANK LAST WEEK,Approaches_from_inside_100_yards_Rgh_PLAYER NAME,Approaches_from_inside_100_yards_Rgh_ROUNDS,Approaches_from_inside_100_yards_Rgh_AVG,Approaches_from_inside_100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_Rgh_# OF ATTEMPTS,Approaches_from_inside_100_yards_Rgh_RELATIVE TO PAR
0,1,1,Jamie Donaldson,50,"14' 10""",207.667,14,+3
1,2,2,Tim Wilkinson,73,"16' 9""",452.417,27,-1
2,3,3,Ken Duke,93,"16' 11""",422.5,25,-1
3,4,4,Blayne Barber,76,"17' 5""",608.1669999999999,35,+9
4,5,5,Jordan Spieth,91,"18' 4""",549.6669999999999,30,+4
5,6,6,Jason Gore,76,"18' 5""",387.083,21,+5
6,7,7,Rickie Fowler,76,"18' 8""",466.5,25,+2
7,8,8,Eric Axley,57,"18' 10""",301.66700000000003,16,-2
8,9,9,Sam Saunders,83,"19' 1""",324.83299999999997,17,+8
9,10,10,Brendan Steele,88,"19' 8""",492.417,25,-4
10,11,11,Sung Joon Park,79,"20' 0""",400.25,20,+4
11,12,12,Jim Renner,68,"20' 1""",541.3330000000001,27,+8
12,13,13,Scott Brown,97,"20' 2""",745.6669999999999,37,+4
13,T14,T14,John Merrick,78,"20' 3""",405.0,20,+2
14,T14,T14,Louis Oosthuizen,68,"20' 3""",384.0,19,-3
15,16,16,John Peterson,84,"20' 4""",467.917,23,+4
16,17,17,Ben Crane,62,"20' 8""",454.083,22,E
17,18,18,Chesson Hadley,101,"20' 11""",754.0830000000001,36,+6
18,19,19,Morgan Hoffmann,85,"21' 0""",819.5830000000001,39,+5
19,20,20,Scott Langley,94,"21' 1""",757.5,36,E
20,21,21,Seung-Yul Noh,65,"21' 2""",486.917,23,+3
21,22,22,Stewart Cink,77,"21' 6""",473.333,22,+6
22,T23,T23,Chad Campbell,97,"21' 7""",756.8330000000001,35,+7
23,T23,T23,George McNeill,93,"21' 7""",474.5,22,+3
24,T23,T23,Bubba Watson,71,"21' 7""",1055.667,49,-12
25,T26,T26,Jason Dufner,76,"21' 8""",303.75,14,E
26,T26,T26,Sean O'Hair,86,"21' 8""",605.9169999999999,28,-2
27,T28,T28,Jonathan Byrd,69,"21' 9""",434.5,20,E
28,T28,T28,Luke Guthrie,84,"21' 9""",629.6669999999999,29,+1
29,30,30,Retief Goosen,81,"21' 10""",502.583,23,+6
30,T31,T31,Zac Blair,108,"21' 11""",590.75,27,+5
31,T31,T31,Colt Knost,90,"21' 11""",350.083,16,+5
32,T31,T31,Cameron Percy,72,"21' 11""",526.4169999999999,24,-2
33,T34,T34,Roberto Castro,54,"22' 0""",154.083,7,+2
34,T34,T34,Mark Hubbard,79,"22' 0""",483.75,22,+5
35,T34,T34,Matt Kuchar,97,"22' 0""",880.0830000000001,40,+6
