,Par_5_Going_for_the_Green_RANK THIS WEEK,Par_5_Going_for_the_Green_RANK LAST WEEK,Par_5_Going_for_the_Green_PLAYER NAME,Par_5_Going_for_the_Green_ROUNDS,Par_5_Going_for_the_Green_%,Par_5_Going_for_the_Green_ATTEMPTS,Par_5_Going_for_the_Green_NON-ATTEMPTS
0,1,1,Bubba Watson,71,73.81,124,44
1,2,2,Ángel Cabrera,53,70.45,93,39
2,3,3,Patrick Rodgers,57,68.46,89,41
3,4,4,Jason Day,75,68.09,128,60
4,5,5,Tony Finau,106,68.03,200,94
5,6,6,Charl Schwartzel,67,67.69,88,42
6,7,7,Jason Kokrak,88,66.67,164,82
7,8,8,Jhonattan Vegas,90,66.22,149,76
8,9,9,Sergio Garcia,59,66.07,74,38
9,10,10,Charlie Beljan,76,65.36,117,62
10,11,11,Carlos Ortiz,100,65.17,174,93
11,12,12,Justin Thomas,106,64.38,197,109
12,13,13,Brooks Koepka,84,63.5,127,73
13,14,14,Matt Jones,89,62.95,141,83
14,15,15,Brendan Steele,88,62.69,163,97
15,16,16,Steven Bowditch,103,62.36,169,102
16,17,17,Charles Howell III,105,62.19,199,121
17,18,18,Sam Saunders,83,61.84,128,79
18,19,19,J.B. Holmes,89,61.79,131,81
19,20,20,Martin Flores,95,61.67,148,92
20,21,21,Ernie Els,57,60.61,80,52
21,22,22,Morgan Hoffmann,85,60.28,129,85
22,23,23,Gonzalo Fernandez-Castaño,81,60.2,118,78
23,24,24,Harris English,105,60.07,161,107
24,25,25,Adam Scott,51,60.0,60,40
25,T26,T26,Robert Garrigus,70,59.77,104,70
26,T26,T26,Dustin Johnson,75,59.77,104,70
27,28,28,Henrik Stenson,63,59.72,86,58
28,29,29,Gary Woodland,81,59.3,102,70
29,30,30,Marc Leishman,74,59.26,96,66
30,31,31,Derek Ernst,75,59.04,111,77
31,32,32,Keegan Bradley,87,58.65,122,86
32,33,33,Daniel Berger,97,58.56,154,109
33,34,34,Roger Sloan,56,58.54,72,51
34,T35,T35,Geoff Ogilvy,50,58.47,69,49
35,T35,T35,Willy Wilcox,58,58.47,69,49
36,37,37,Andres Romero,69,58.43,104,74
37,38,38,Justin Rose,69,58.23,92,66
38,39,39,Hideki Matsuyama,95,57.52,130,96
39,40,40,Max Homa,78,57.44,112,83
40,41,41,Charley Hoffman,97,57.32,141,105
41,42,42,Jimmy Walker,89,57.14,112,84
42,T43,T43,Billy Horschel,99,56.67,136,104
43,T43,T43,Phil Mickelson,70,56.67,102,78
44,45,45,Vijay Singh,78,56.54,121,93
45,46,46,Graham DeLaet,65,56.47,96,74
46,47,47,John Senden,80,56.4,97,75
47,48,48,Webb Simpson,81,56.25,108,84
48,49,49,Shawn Stefani,94,56.07,157,123
49,50,50,Brian Harman,90,56.03,130,102
50,51,51,Louis Oosthuizen,68,56.0,84,66
51,52,52,Martin Laird,77,55.98,131,103
52,53,53,Aaron Baddeley,76,55.94,113,89
53,54,54,Scott Piercy,90,55.91,142,112
54,55,55,Kevin Streelman,95,55.88,133,105
55,56,56,Boo Weekley,79,55.77,116,92
56,57,57,Hudson Swafford,97,55.64,143,114
57,58,58,John Peterson,84,55.47,137,110
58,59,59,Rickie Fowler,76,55.43,102,82
59,60,60,Sean O'Hair,86,55.3,146,118
60,61,61,Scott Stallings,60,55.23,95,77
61,62,62,Retief Goosen,81,54.72,116,96
