,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
0,1,1,Bubba Watson,71,24.17,29,120
1,2,2,Stewart Cink,77,22.94,25,109
2,3,3,Jason Kokrak,88,22.15,35,158
3,4,4,Brendan Steele,88,22.06,30,136
4,5,5,Keegan Bradley,87,21.88,21,96
5,6,6,D.A. Points,72,21.19,25,118
6,7,7,Tony Finau,106,20.26,47,232
7,8,8,Dustin Johnson,75,20.0,24,120
8,9,9,Paul Casey,87,19.81,21,106
9,10,10,Brian Harman,90,19.7,26,132
10,11,11,Rory Sabbatini,81,19.51,24,123
11,12,12,Jordan Spieth,91,19.49,23,118
12,13,13,Brooks Koepka,84,19.38,25,129
13,14,14,Pat Perez,96,18.66,25,134
14,15,15,Boo Weekley,79,18.58,21,113
15,T16,T16,Webb Simpson,81,18.56,18,97
16,T16,T16,Justin Thomas,106,18.56,31,167
17,18,18,Shawn Stefani,94,18.49,27,146
18,19,19,John Merrick,78,18.48,17,92
19,20,20,Sergio Garcia,59,18.31,13,71
20,T21,T21,Francesco Molinari,56,18.18,10,55
21,T21,T21,Adam Scott,51,18.18,12,66
22,23,23,Brandt Snedeker,98,18.11,23,127
23,24,24,Matt Kuchar,97,18.1,19,105
24,25,25,Jonathan Byrd,69,18.09,17,94
25,26,26,Scott Brown,97,18.01,29,161
26,27,27,Max Homa,78,18.0,27,150
27,28,28,Russell Henley,87,17.98,16,89
28,29,29,Gary Woodland,81,17.95,21,117
29,30,30,J.B. Holmes,89,17.91,24,134
30,31,31,Patrick Reed,103,17.79,29,163
31,32,32,Ryo Ishikawa,90,17.69,26,147
32,33,33,Morgan Hoffmann,85,17.57,26,148
33,34,34,Scott Stallings,60,17.44,15,86
34,35,35,Bill Haas,89,17.36,21,121
35,36,36,Phil Mickelson,70,17.31,18,104
36,37,37,Ben Crane,62,17.14,12,70
37,38,38,Chris Kirk,76,17.02,16,94
38,39,39,Patrick Rodgers,57,16.98,18,106
39,40,40,Jason Day,75,16.94,21,124
40,41,41,Hudson Swafford,97,16.9,24,142
41,42,42,Louis Oosthuizen,68,16.87,14,83
42,T43,T43,Robert Garrigus,70,16.82,18,107
43,T43,T43,Ryan Palmer,80,16.82,18,107
44,T45,T45,Jonas Blixt,78,16.67,17,102
45,T45,T45,Oscar Fraustro,58,16.67,15,90
46,T45,T45,Jim Herman,88,16.67,22,132
47,48,48,Sean O'Hair,86,16.55,23,139
48,49,49,Andres Romero,69,16.5,17,103
49,50,50,Scott Pinckney,88,16.47,28,170
50,51,51,Kevin Kisner,104,16.45,25,152
51,52,52,Alex Prugh,84,16.26,20,123
52,53,53,Seung-Yul Noh,65,16.22,18,111
53,54,54,Carlos Ortiz,100,16.13,25,155
54,55,55,Jason Gore,76,16.09,14,87
55,56,56,Padraig Harrington,60,16.07,18,112
56,57,57,Charl Schwartzel,67,16.0,12,75
57,58,58,Charley Hoffman,97,15.98,27,169
58,T59,T59,Robert Allenby,63,15.79,9,57
59,T59,T59,Erik Compton,86,15.79,18,114
60,T59,T59,John Senden,80,15.79,12,76
61,62,62,Camilo Villegas,83,15.76,26,165
62,63,63,Derek Fathauer,81,15.72,25,159
63,64,64,Colt Knost,90,15.57,19,122
64,65,65,Robert Streb,110,15.49,33,213
65,66,66,Nicholas Thompson,90,15.45,17,110
