,Average_Going_for_it_Shot_Distance_in_Yards_RANK THIS WEEK,Average_Going_for_it_Shot_Distance_in_Yards_RANK LAST WEEK,Average_Going_for_it_Shot_Distance_in_Yards_PLAYER NAME,Average_Going_for_it_Shot_Distance_in_Yards_EVENTS,Average_Going_for_it_Shot_Distance_in_Yards_AVG,Average_Going_for_it_Shot_Distance_in_Yards_DISTANCE (IN INCHES),Average_Going_for_it_Shot_Distance_in_Yards_ATTEMPTS
0,1,1,Justin Leonard,22,240.9,294872.0,34
1,2,2,Charlie Beljan,27,243.0,1111036.0,127
2,3,3,Ben Crane,22,243.4,394363.0,45
3,4,4,Camilo Villegas,27,244.3,1169644.0,133
4,5,5,Alex Prugh,27,244.5,1153054.0,131
5,6,6,Adam Scott,15,244.6,607521.0,69
6,7,7,J.J. Henry,30,246.4,993495.0,112
7,8,8,Heath Slocum,22,246.7,435148.0,49
8,T9,T9,Patrick Rodgers,17,246.8,932880.0,105
9,T9,T9,Byron Smith,21,246.8,684212.0,77
10,11,11,Jim Furyk,19,247.1,613815.0,69
11,12,12,Jim Herman,27,247.2,1148205.0,129
12,13,13,Sam Saunders,28,247.4,1255725.0,141
13,14,14,Alex Cejka,30,247.5,1087218.0,122
14,15,15,Aaron Baddeley,25,247.8,1132845.0,127
15,16,16,Hudson Swafford,30,248.3,1474671.0,165
16,17,17,Stewart Cink,23,248.4,858492.0,96
17,18,18,K.J. Choi,19,248.7,608863.0,68
18,T19,T19,Lucas Glover,26,248.8,1262723.0,141
19,T19,T19,Roger Sloan,20,248.8,680843.0,76
20,21,21,Scott Langley,28,249.1,977359.0,109
21,22,22,Nicholas Thompson,31,249.6,799701.0,89
22,T23,T23,Ricky Barnes,27,249.8,944413.0,105
23,T23,T23,Bill Lunde,18,249.8,548481.0,61
24,25,25,Andres Gonzales,28,250.0,1223897.0,136
25,26,26,Brooks Koepka,23,250.2,1395897.0,155
26,27,27,Johnson Wagner,23,250.3,765939.0,85
27,28,28,Martin Flores,30,250.4,1487405.0,165
28,29,29,Steven Alker,22,250.5,613285.0,68
29,T30,T30,Ernie Els,18,250.7,803159.0,89
30,T30,T30,Brian Stuard,31,250.7,839300.0,93
31,32,32,Erik Compton,28,251.0,1147645.0,127
32,33,33,Jason Gore,26,251.1,922046.0,102
33,34,34,Eric Axley,21,251.2,587726.0,65
34,35,35,Davis Love III,18,251.3,606188.0,67
35,T36,T36,Blayne Barber,26,251.6,960095.0,106
36,T36,T36,Graham DeLaet,22,251.6,978401.0,108
37,T38,T38,Roberto Castro,16,251.7,525580.0,58
38,T38,T38,James Hahn,28,251.7,1150911.0,127
39,T38,T38,Dustin Johnson,21,251.7,1232561.0,136
40,T38,T38,Tim Wilkinson,28,251.7,607219.0,67
41,42,42,Spencer Levin,31,251.9,1233160.0,136
42,T43,T43,Ryo Ishikawa,28,252.0,1242812.0,137
43,T43,T43,John Merrick,27,252.0,907287.0,100
44,T45,T45,Ryan Palmer,22,252.1,953095.0,105
45,T45,T45,Willy Wilcox,17,252.1,689713.0,76
46,T47,T47,Jason Day,20,252.4,1454082.0,160
47,T47,T47,D.A. Points,26,252.4,772275.0,85
48,49,49,Tyrone Van Aswegen,20,252.5,545410.0,60
49,50,50,Andrew Putnam,23,252.6,763999.0,84
50,T51,T51,Charles Howell III,30,252.7,2101614.0,231
51,T51,T51,Scott Piercy,28,252.7,1491926.0,164
52,T51,T51,Vijay Singh,23,252.7,1246114.0,137
53,T51,T51,Chris Stroud,28,252.7,1018890.0,112
54,T51,T51,Andrew Svoboda,30,252.7,1046288.0,115
55,56,56,Chad Campbell,30,252.8,1201088.0,132
56,57,57,Boo Weekley,24,252.9,1247317.0,137
57,T58,T58,Tom Hoge,26,253.2,1075398.0,118
58,T58,T58,Jhonattan Vegas,27,253.2,1540535.0,169
59,60,60,Brian Harman,29,253.3,1395027.0,153
60,T61,T61,Robert Garrigus,25,253.5,1095074.0,120
61,T61,T61,Cameron Percy,23,253.5,976660.0,107
62,T61,T61,Justin Thomas,30,253.5,2144765.0,235
63,T64,T64,Chad Collins,24,253.6,766851.0,84
64,T64,T64,Harris English,29,253.6,1752793.0,192
65,T66,T66,Derek Fathauer,27,253.8,1068795.0,117
66,T66,T66,Brice Garnett,29,253.8,931783.0,102
67,T68,T68,Jonas Blixt,26,254.0,649212.0,71
68,T68,T68,Retief Goosen,25,254.0,1179771.0,129
69,T70,T70,Luke Donald,20,254.2,658867.0,72
70,T70,T70,Chesson Hadley,30,254.2,1646910.0,180
71,T72,T72,Seung-Yul Noh,21,254.3,933822.0,102
72,T72,T72,Brendon Todd,27,254.3,878964.0,96
73,T74,T74,Adam Hadwin,30,254.5,1356047.0,148
74,T74,T74,Carlos Ortiz,30,254.5,1887235.0,206
75,T74,T74,Jeff Overton,30,254.5,1190947.0,130
76,77,77,Nick Watney,28,254.6,1393306.0,152
77,T78,T78,Colt Knost,29,254.9,807514.0,88
78,T78,T78,Jonathan Randolph,25,254.9,963508.0,105
79,T80,T80,Hideki Matsuyama,25,255.1,1459920.0,159
80,T80,T80,Charl Schwartzel,19,255.1,918349.0,100
81,T82,T82,Robert Allenby,25,255.2,679962.0,74
82,T82,T82,Russell Knox,28,255.2,1139089.0,124
83,T84,T84,Ángel Cabrera,19,255.4,1020530.0,111
84,T84,T84,Oscar Fraustro,21,255.4,689627.0,75
85,T86,T86,Ken Duke,30,255.7,1012636.0,110
86,T86,T86,Jason Kokrak,28,255.7,1831497.0,199
87,T88,T88,Steven Bowditch,32,255.8,1832438.0,199
88,T88,T88,Chez Reavie,19,255.8,782666.0,85
89,90,90,Zac Blair,34,255.9,939706.0,102
90,T91,T91,Andres Romero,24,256.1,1124594.0,122
91,T91,T91,Nick Taylor,28,256.1,1594899.0,173
92,T91,T91,Michael Thompson,27,256.1,1170668.0,127
93,T94,T94,Jon Curran,28,256.2,479656.0,52
94,T94,T94,Rory Sabbatini,25,256.2,1171539.0,127
95,96,96,Billy Hurley III,28,256.4,599861.0,65
96,T97,T97,Kevin Chappell,26,256.6,1274758.0,138
97,T97,T97,William McGirt,30,256.6,1117671.0,121
98,99,99,Paul Casey,24,256.7,1007104.0,109
99,100,100,Derek Ernst,26,256.8,1220206.0,132
100,T101,T101,Troy Merritt,29,257.0,1110405.0,120
101,T101,T101,Mark Wilson,28,257.0,888348.0,96
102,T103,T103,Brian Davis,31,257.1,823891.0,89
103,T103,T103,Michael Putnam,28,257.1,1212613.0,131
104,T103,T103,Brendan Steele,24,257.1,1851171.0,200
105,T103,T103,Jimmy Walker,24,257.1,1277327.0,138
106,107,107,Kyle Reifers,31,257.2,1277719.0,138
107,108,108,Tony Finau,31,257.3,2343231.0,253
108,T109,T109,Francesco Molinari,16,257.4,583766.0,63
109,T109,T109,Pat Perez,26,257.4,1269404.0,137
110,T111,T111,Gonzalo Fernandez-Castaño,28,257.5,1223662.0,132
111,T111,T111,George McNeill,27,257.5,1344325.0,145
112,T111,T111,Steve Wheatcroft,28,257.5,1195740.0,129
113,114,114,Greg Owen,19,257.6,612045.0,66
114,T115,T115,Daniel Berger,31,257.7,1762694.0,190
115,T115,T115,Scott Pinckney,27,257.7,1196676.0,129
116,T115,T115,Bo Van Pelt,28,257.7,936838.0,101
117,T115,T115,Bubba Watson,19,257.7,1632647.0,176
118,119,119,Carl Pettersson,32,257.9,1671089.0,180
119,120,120,Martin Laird,24,258.0,1430158.0,154
120,121,121,Matt Every,26,258.1,994284.0,107
121,T122,T122,Whee Kim,23,258.2,715739.0,77
122,T122,T122,Sean O'Hair,26,258.2,1598682.0,172
123,T124,T124,Sangmoon Bae,30,258.3,1571471.0,169
124,T124,T124,Justin Rose,20,258.3,1004164.0,108
125,T124,T124,Webb Simpson,22,258.3,1217947.0,131
126,T124,T124,Brandt Snedeker,27,258.3,1125263.0,121
127,128,128,Bryce Molder,26,258.5,735107.0,79
128,T129,T129,Jonathan Byrd,22,258.6,791297.0,85
129,T129,T129,David Hearn,30,258.6,977633.0,105
130,T131,T131,Jamie Donaldson,16,258.7,502977.0,54
131,T131,T131,Luke Guthrie,27,258.7,987161.0,106
132,T131,T131,Max Homa,27,258.7,1219998.0,131
133,T131,T131,Chris Kirk,21,258.7,950089.0,102
134,T131,T131,Ian Poulter,19,258.7,661211.0,71
135,T131,T131,Scott Stallings,19,258.7,1024254.0,110
136,T131,T131,Daniel Summerhays,29,258.7,1387701.0,149
137,138,138,Matt Kuchar,25,258.8,1453523.0,156
138,139,139,J.B. Holmes,25,258.9,1593613.0,171
139,T140,T140,David Lingmerth,28,259.0,1128398.0,121
