,Approaches_from_150-175_yards_RANK THIS WEEK,Approaches_from_150-175_yards_RANK LAST WEEK,Approaches_from_150-175_yards_PLAYER NAME,Approaches_from_150-175_yards_ROUNDS,Approaches_from_150-175_yards_AVG,Approaches_from_150-175_yards_TOTAL DISTANCE (FEET),Approaches_from_150-175_yards_# OF ATTEMPTS,Approaches_from_150-175_yards_RELATIVE TO PAR
0,1,1,Jason Gore,76,"23' 1""",3734.167,162,-9
1,2,2,Ben Martin,93,"23' 4""",5618.4169999999995,241,-28
2,3,3,Paul Casey,87,"23' 6""",3905.5,166,-11
3,4,4,Tyrone Van Aswegen,58,"23' 8""",3214.25,136,-7
4,5,5,Byron Smith,59,"23' 9""",2823.5,119,-2
5,6,6,Keegan Bradley,87,"23' 10""",4297.417,180,-20
6,T7,T7,Whee Kim,71,"24' 0""",3934.333,164,-19
7,T7,T7,Webb Simpson,81,"24' 0""",3936.417,164,-13
8,T7,T7,Henrik Stenson,63,"24' 0""",2714.583,113,-13
9,T10,T10,Spencer Levin,99,"24' 1""",5996.5830000000005,249,-28
10,T10,T10,Ian Poulter,68,"24' 1""",3690.583,153,-18
11,12,12,Marc Leishman,74,"24' 2""",3380.333,140,-16
12,13,13,Tom Hoge,83,"24' 5""",4274.167,175,-8
13,T14,T14,Luke Donald,71,"24' 7""",3342.167,136,-19
14,T14,T14,Russell Knox,96,"24' 7""",6397.0,260,-22
15,T14,T14,John Peterson,84,"24' 7""",5608.4169999999995,228,-13
16,T17,T17,David Hearn,97,"24' 10""",5858.8330000000005,236,-17
17,T17,T17,Justin Thomas,106,"24' 10""",6160.0830000000005,248,-8
18,19,19,Ryan Moore,81,"24' 11""",4538.0,182,-9
19,20,20,Hideki Matsuyama,95,"25' 0""",4670.25,187,-8
20,21,21,Zach Johnson,90,"25' 1""",5535.0830000000005,221,-26
21,22,22,Chez Reavie,56,"25' 2""",4004.417,159,-7
22,T23,T23,Danny Lee,120,"25' 4""",7417.3330000000005,293,-24
23,T23,T23,Brendan Steele,88,"25' 4""",5502.6669999999995,217,-15
24,T23,T23,Kevin Streelman,95,"25' 4""",5146.417,203,-10
25,26,26,Fabián Gómez,83,"25' 6""",4738.5,186,-17
26,T27,T27,Alex Cejka,94,"25' 7""",5322.0830000000005,208,-15
27,T27,T27,Francesco Molinari,56,"25' 7""",3530.417,138,-3
28,T27,T27,Rory Sabbatini,81,"25' 7""",4035.75,158,-16
29,T30,T30,Blayne Barber,76,"25' 8""",4463.583,174,-14
30,T30,T30,Lucas Glover,79,"25' 8""",5560.75,217,-3
31,T30,T30,William McGirt,103,"25' 8""",7315.4169999999995,285,-20
32,T30,T30,Bo Van Pelt,81,"25' 8""",4670.333,182,-17
33,34,34,Jordan Spieth,91,"25' 9""",4348.583,169,-20
34,35,35,Scott Piercy,90,"25' 10""",5763.0830000000005,223,-12
35,36,36,George McNeill,93,"25' 11""",6657.9169999999995,257,-14
36,37,37,Brian Stuard,97,"26' 0""",6341.6669999999995,244,-13
37,T38,T38,Jason Bohn,95,"26' 1""",6541.5830000000005,251,-21
38,T38,T38,Jim Herman,88,"26' 1""",6212.9169999999995,238,-19
39,T38,T38,Willy Wilcox,58,"26' 1""",3207.5,123,-8
40,T41,T41,Billy Horschel,99,"26' 2""",5157.583,197,-13
41,T41,T41,Shawn Stefani,94,"26' 2""",6651.0830000000005,254,-10
42,T43,T43,Billy Hurley III,83,"26' 3""",4853.75,185,-10
43,T43,T43,David Lingmerth,90,"26' 3""",4744.0,181,-12
44,T43,T43,Michael Putnam,87,"26' 3""",5376.6669999999995,205,-5
45,T43,T43,Sam Saunders,83,"26' 3""",4594.167,175,-4
46,T47,T47,Jim Furyk,71,"26' 4""",4029.667,153,-7
47,T47,T47,Boo Weekley,79,"26' 4""",4694.417,178,-11
48,T49,T49,Steven Alker,62,"26' 5""",4463.0,169,-20
49,T49,T49,Graham DeLaet,65,"26' 5""",4467.333,169,-10
50,T49,T49,Charley Hoffman,97,"26' 5""",4774.333,181,-21
51,T49,T49,Ryo Ishikawa,90,"26' 5""",5314.25,201,-11
52,T49,T49,Jason Kokrak,88,"26' 5""",5015.917,190,-9
53,T49,T49,Jimmy Walker,89,"26' 5""",3460.917,131,-12
54,T55,T55,Chad Collins,79,"26' 6""",4474.667,169,-5
55,T55,T55,Daniel Summerhays,101,"26' 6""",6627.0830000000005,250,-21
56,T57,T57,Jason Day,75,"26' 7""",2683.667,101,-10
57,T57,T57,Harris English,105,"26' 7""",6706.5830000000005,252,-20
58,T57,T57,Pat Perez,96,"26' 7""",6611.4169999999995,249,-15
59,T57,T57,Chris Stroud,84,"26' 7""",4921.917,185,-14
60,T61,T61,Kevin Chappell,86,"26' 8""",5842.9169999999995,219,-7
61,T61,T61,Rickie Fowler,76,"26' 8""",3968.333,149,-7
62,T61,T61,Bubba Watson,71,"26' 8""",2670.0,100,-19
63,T64,T64,Scott Brown,97,"26' 9""",5459.6669999999995,204,-6
64,T64,T64,Justin Rose,69,"26' 9""",3155.5,118,-7
65,T66,T66,Steven Bowditch,103,"26' 10""",5319.0,198,-3
66,T66,T66,Jason Dufner,76,"26' 10""",3329.25,124,-1
67,T66,T66,Ernie Els,57,"26' 10""",2576.333,96,E
68,T66,T66,Cameron Percy,72,"26' 10""",4190.5,156,-13
69,T66,T66,Carl Pettersson,106,"26' 10""",6862.6669999999995,256,-15
70,T71,T71,Gonzalo Fernandez-Castaño,81,"26' 11""",4973.0,185,-11
71,T71,T71,Chris Kirk,76,"26' 11""",4039.75,150,-15
72,T71,T71,Ryan Palmer,80,"26' 11""",3522.667,131,-6
73,T71,T71,Jim Renner,68,"26' 11""",4442.667,165,-3
