,Approach_200-225_yards_RTP_RANK THIS WEEK,Approach_200-225_yards_RTP_RANK LAST WEEK,Approach_200-225_yards_RTP_PLAYER NAME,Approach_200-225_yards_RTP_ROUNDS,Approach_200-225_yards_RTP_AVG RTP
0,1,1,Patrick Rodgers,57,-.238
1,2,2,Dustin Johnson,75,-.176
2,3,3,Robert Streb,110,-.171
3,4,4,Seung-Yul Noh,65,-.160
4,5,5,Webb Simpson,81,-.149
5,6,6,Bubba Watson,71,-.140
6,7,7,Lee Westwood,56,-.132
7,8,8,Justin Rose,69,-.126
8,T9,T9,Charl Schwartzel,67,-.120
9,T9,T9,Jhonattan Vegas,90,-.120
10,11,11,Jonathan Byrd,69,-.119
11,12,12,Jason Day,75,-.118
12,13,13,Hudson Swafford,97,-.114
13,14,14,Jason Gore,76,-.111
14,15,15,Martin Laird,77,-.110
15,16,16,Jordan Spieth,91,-.108
16,17,17,Aaron Baddeley,76,-.106
17,18,18,Geoff Ogilvy,50,-.096
18,19,19,Brendan Steele,88,-.095
19,20,20,Justin Thomas,106,-.090
20,21,21,Adam Scott,51,-.088
21,22,22,Tony Finau,106,-.083
22,T23,T23,Jim Furyk,71,-.080
23,T23,T23,Andres Gonzales,90,-.080
24,25,25,Vijay Singh,78,-.078
25,26,26,Stewart Cink,77,-.077
26,27,27,Danny Lee,120,-.072
27,28,28,Willy Wilcox,58,-.071
28,T29,T29,Davis Love III,51,-.070
29,T29,T29,Michael Thompson,83,-.070
30,31,31,Byron Smith,59,-.066
31,32,32,Sergio Garcia,59,-.065
32,33,33,Kevin Chappell,86,-.063
33,34,34,Ben Martin,93,-.056
34,35,35,Robert Garrigus,70,-.055
35,36,36,Matt Jones,89,-.054
36,37,37,Graham DeLaet,65,-.052
37,38,38,Sam Saunders,83,-.051
38,39,39,Henrik Stenson,63,-.050
39,40,40,Camilo Villegas,83,-.047
40,41,41,Lucas Glover,79,-.039
41,T42,T42,Adam Hadwin,95,-.038
42,T42,T42,Charles Howell III,105,-.038
43,T42,T42,Carlos Ortiz,100,-.038
44,T42,T42,Ryan Palmer,80,-.038
45,T46,T46,Keegan Bradley,87,-.037
46,T46,T46,Jason Kokrak,88,-.037
47,48,48,Gary Woodland,81,-.035
48,49,49,Russell Knox,96,-.034
49,T50,T50,Derek Ernst,75,-.033
50,T50,T50,Matt Kuchar,97,-.033
51,T52,T52,Ernie Els,57,-.032
52,T52,T52,D.A. Points,72,-.032
53,54,54,Kevin Kisner,104,-.031
54,T55,T55,Blayne Barber,76,-.030
55,T55,T55,Brendon Todd,96,-.030
56,T55,T55,Boo Weekley,79,-.030
57,58,58,Brian Stuard,97,-.029
58,59,59,Bo Van Pelt,81,-.027
59,60,60,J.J. Henry,94,-.025
60,T61,T61,Bryce Molder,91,-.024
61,T61,T61,Brandt Snedeker,98,-.024
62,T63,T63,Harris English,105,-.023
63,T63,T63,Shawn Stefani,94,-.023
64,T63,T63,Nick Taylor,91,-.023
65,T66,T66,Sangmoon Bae,98,-.022
66,T66,T66,Troy Merritt,91,-.022
67,68,68,Whee Kim,71,-.021
68,69,69,Brooks Koepka,84,-.020
69,T70,T70,Paul Casey,87,-.019
70,T70,T70,Bill Lunde,50,-.019
71,T70,T70,Ryan Moore,81,-.019
72,73,73,Luke Guthrie,84,-.018
73,T74,T74,Eric Axley,57,-.017
74,T74,T74,Roger Sloan,56,-.017
75,T74,T74,Steve Wheatcroft,87,-.017
76,77,77,Daniel Summerhays,101,-.016
77,78,78,Heath Slocum,57,-.015
78,79,79,Max Homa,78,-.012
79,T80,T80,Tom Hoge,83,-.011
80,T80,T80,Chris Kirk,76,-.011
81,T82,T82,Russell Henley,87,-.010
82,T82,T82,Chris Stroud,84,-.010
83,T82,T82,Andrew Svoboda,80,-.010
84,85,85,Billy Horschel,99,-.008
85,T86,T86,Spencer Levin,99,-.007
86,T86,T86,Scott Piercy,90,-.007
87,T86,T86,Cameron Tringale,96,-.007
88,89,89,John Huh,102,-.006
89,T90,T90,Charlie Beljan,76,E
90,T90,T90,Daniel Berger,97,E
91,T90,T90,Jonas Blixt,78,E
92,T90,T90,Martin Flores,95,E
93,T90,T90,Brice Garnett,81,E
94,T90,T90,Retief Goosen,81,E
