,Birdie_or_Better_Percentage_-_Fairway_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Fairway_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Fairway_PLAYER NAME,Birdie_or_Better_Percentage_-_Fairway_ROUNDS,Birdie_or_Better_Percentage_-_Fairway_%,Birdie_or_Better_Percentage_-_Fairway_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Fairway_TOTAL HOLES
56,57,57,Jason Bohn,95,23.35,298,1276
57,58,58,Ernie Els,57,23.27,111,477
58,59,59,Michael Thompson,83,23.18,226,975
59,60,60,Charley Hoffman,97,23.17,222,958
60,61,61,Fabián Gómez,83,23.15,213,920
61,62,62,Harris English,105,23.08,262,1135
62,63,63,Vijay Singh,78,22.95,201,876
63,64,64,Jonathan Byrd,69,22.93,158,689
64,65,65,Ryan Palmer,80,22.89,149,651
65,66,66,Cameron Percy,72,22.88,173,756
66,67,67,Sam Saunders,83,22.8,194,851
67,T68,T68,Pat Perez,96,22.77,260,1142
68,T68,T68,Brandt Snedeker,98,22.77,222,975
69,70,70,David Lingmerth,90,22.74,229,1007
70,71,71,Alex Prugh,84,22.73,220,968
71,T72,T72,Stewart Cink,77,22.71,196,863
72,T72,T72,Luke Guthrie,84,22.71,201,885
73,T74,T74,Graham DeLaet,65,22.67,170,750
74,T74,T74,Brian Harman,90,22.67,236,1041
75,T74,T74,Camilo Villegas,83,22.67,209,922
76,77,77,Rory Sabbatini,81,22.66,191,843
77,78,78,Lucas Glover,79,22.64,223,985
78,79,79,Andrew Putnam,68,22.6,153,677
79,T80,T80,Brendon Todd,96,22.59,241,1067
80,T80,T80,Bo Van Pelt,81,22.59,197,872
81,T82,T82,James Hahn,94,22.57,232,1028
82,T82,T82,Webb Simpson,81,22.57,197,873
83,84,84,Daniel Summerhays,101,22.56,261,1157
84,85,85,Andres Romero,69,22.46,146,650
85,86,86,Sangmoon Bae,98,22.45,251,1118
86,T87,T87,K.J. Choi,66,22.44,171,762
87,T87,T87,Chris Kirk,76,22.44,164,731
88,89,89,Jim Furyk,71,22.43,166,740
89,90,90,Nick Watney,91,22.42,245,1093
90,91,91,Jonas Blixt,78,22.4,151,674
91,92,92,Greg Owen,58,22.39,116,518
92,93,93,Steven Alker,62,22.36,161,720
93,94,94,Derek Fathauer,81,22.35,177,792
94,95,95,Marc Leishman,74,22.29,144,646
95,96,96,Seung-Yul Noh,65,22.22,148,666
96,97,97,Brendon de Jonge,106,22.2,278,1252
97,T98,T98,Jerry Kelly,79,22.11,205,927
98,T98,T98,William McGirt,103,22.11,297,1343
99,T98,T98,George McNeill,93,22.11,270,1221
100,T101,T101,Russell Knox,96,22.09,277,1254
101,T101,T101,Geoff Ogilvy,50,22.09,95,430
102,T101,T101,Carl Pettersson,106,22.09,275,1245
103,104,104,Jason Kokrak,88,22.08,212,960
104,105,105,Morgan Hoffmann,85,22.06,186,843
105,106,106,Bryce Molder,91,22.01,236,1072
106,107,107,Charl Schwartzel,67,21.95,115,524
107,108,108,Colt Knost,90,21.94,235,1071
108,109,109,Jeff Overton,94,21.9,210,959
109,110,110,Ángel Cabrera,53,21.83,112,513
110,111,111,Adam Hadwin,95,21.82,245,1123
111,112,112,Sean O'Hair,86,21.78,232,1065
112,113,113,Ricky Barnes,82,21.77,172,790
113,114,114,Chad Campbell,97,21.76,272,1250
114,115,115,Jim Herman,88,21.73,236,1086
115,116,116,Greg Chalmers,58,21.72,101,465
116,117,117,Tyrone Van Aswegen,58,21.71,117,539
117,118,118,Hunter Mahan,88,21.7,174,802
118,119,119,Martin Laird,77,21.68,209,964
119,120,120,Chez Reavie,56,21.64,158,730
120,121,121,Cameron Tringale,96,21.62,235,1087
121,122,122,Scott Brown,97,21.6,229,1060
122,123,123,Retief Goosen,81,21.53,160,743
123,124,124,Scott Pinckney,88,21.49,210,977
124,125,125,Chad Collins,79,21.45,184,858
125,126,126,Andres Gonzales,90,21.41,209,976
126,T127,T127,Andrew Svoboda,80,21.4,196,916
127,T127,T127,Johnson Wagner,68,21.4,165,771
128,129,129,Kevin Kisner,104,21.35,275,1288
129,T130,T130,Mark Hubbard,79,21.21,179,844
130,T130,T130,Byron Smith,59,21.21,116,547
131,132,132,Roger Sloan,56,21.15,110,520
132,133,133,Louis Oosthuizen,68,21.09,128,607
133,T134,T134,John Merrick,78,21.04,170,808
134,T134,T134,Kyle Reifers,96,21.04,227,1079
135,136,136,Ken Duke,93,21.01,229,1090
136,137,137,Jhonattan Vegas,90,21.0,184,876
137,138,138,Gary Woodland,81,20.99,140,667
138,139,139,John Huh,102,20.96,263,1255
139,140,140,Scott Langley,94,20.85,220,1055
140,141,141,Kevin Streelman,95,20.84,213,1022
141,T142,T142,Martin Flores,95,20.82,202,970
142,T142,T142,Robert Garrigus,70,20.82,143,687
143,144,144,Max Homa,78,20.81,159,764
144,T145,T145,Scott Stallings,60,20.8,136,654
145,T145,T145,Mark Wilson,89,20.8,229,1101
146,147,147,Charles Howell III,105,20.7,249,1203
147,148,148,Nicholas Thompson,90,20.63,202,979
148,T149,T149,Jason Dufner,76,20.59,133,646
149,T149,T149,Brian Stuard,97,20.59,231,1122
150,151,151,Luke Donald,71,20.58,142,690
151,152,152,Spencer Levin,99,20.56,243,1182
152,153,153,Derek Ernst,75,20.48,171,835
153,154,154,Bill Haas,89,20.45,191,934
154,155,155,Zac Blair,108,20.42,253,1239
155,156,156,Troy Merritt,91,20.4,223,1093
156,157,157,Eric Axley,57,20.3,110,542
157,158,158,Brian Davis,86,20.19,195,966
158,T159,T159,Alex Cejka,94,20.17,214,1061
159,T159,T159,Brice Garnett,81,20.17,171,848
160,161,161,Bill Lunde,50,20.12,98,487
161,162,162,John Peterson,84,19.92,211,1059
162,163,163,Gonzalo Fernandez-Castaño,81,19.91,168,844
163,164,164,D.A. Points,72,19.86,143,720
164,165,165,Roberto Castro,54,19.76,98,496
165,166,166,Michael Putnam,87,19.64,174,886
166,167,167,Francesco Molinari,56,19.62,123,627
167,168,168,Jonathan Randolph,72,19.48,134,688
168,169,169,Oscar Fraustro,58,19.45,99,509
169,170,170,Davis Love III,51,19.4,110,567
170,171,171,Justin Leonard,61,19.32,153,792
171,172,172,Padraig Harrington,60,19.27,111,576
172,173,173,Ben Crane,62,19.23,140,728
173,174,174,J.J. Henry,94,19.1,196,1026
174,175,175,Jon Curran,83,18.88,172,911
175,176,176,Jamie Donaldson,50,18.75,75,400
176,177,177,David Toms,62,18.73,153,817
177,178,178,Heath Slocum,57,18.57,101,544
178,179,179,Tim Wilkinson,73,18.47,142,769
179,180,180,Matt Every,73,18.42,119,646
180,181,181,Robert Allenby,63,18.4,129,701
181,182,182,Billy Hurley III,83,18.28,153,837
182,183,183,Jim Renner,68,17.84,129,723
183,184,184,Sung Joon Park,79,17.28,150,868
