,Approach__275_yards_RTP_RANK THIS WEEK,Approach__275_yards_RTP_RANK LAST WEEK,Approach__275_yards_RTP_PLAYER NAME,Approach__275_yards_RTP_ROUNDS,Approach__275_yards_RTP_AVG RTP
0,1,1,Heath Slocum,57,-1.000
1,2,2,Hudson Swafford,97,-.900
2,3,3,Byron Smith,59,-.857
3,T4,T4,Paul Casey,87,-.800
4,T4,T4,Dustin Johnson,75,-.800
5,T4,T4,Alex Prugh,84,-.800
6,7,7,Cameron Percy,72,-.789
7,8,8,Nick Taylor,91,-.786
8,9,9,Jason Day,75,-.778
9,10,10,Matt Jones,89,-.765
10,11,11,Danny Lee,120,-.760
11,T12,T12,Aaron Baddeley,76,-.750
12,T12,T12,Brendon Todd,96,-.750
13,T12,T12,Johnson Wagner,68,-.750
14,T12,T12,Willy Wilcox,58,-.750
15,16,16,Scott Stallings,60,-.727
16,17,17,Geoff Ogilvy,50,-.714
17,18,18,Derek Ernst,75,-.700
18,T19,T19,Tom Hoge,83,-.692
19,T19,T19,Billy Horschel,99,-.692
20,T21,T21,Ángel Cabrera,53,-.667
21,T21,T21,Jamie Donaldson,50,-.667
22,T21,T21,Jim Herman,88,-.667
23,T21,T21,Hunter Mahan,88,-.667
24,T21,T21,Brendan Steele,88,-.667
25,T21,T21,Tyrone Van Aswegen,58,-.667
26,T21,T21,Bo Van Pelt,81,-.667
27,T21,T21,Tim Wilkinson,73,-.667
28,29,29,Daniel Summerhays,101,-.654
29,30,30,Justin Thomas,106,-.650
30,31,31,Sergio Garcia,59,-.647
31,32,32,Justin Rose,69,-.636
32,33,33,Ben Martin,93,-.625
33,T34,T34,Whee Kim,71,-.615
34,T34,T34,Sam Saunders,83,-.615
35,T36,T36,Daniel Berger,97,-.611
36,T36,T36,Tony Finau,106,-.611
37,T36,T36,Max Homa,78,-.611
38,T36,T36,Sung Joon Park,79,-.611
39,T40,T40,Charlie Beljan,76,-.600
40,T40,T40,Chad Campbell,97,-.600
41,T40,T40,Jason Dufner,76,-.600
42,T40,T40,Luke Guthrie,84,-.600
43,T40,T40,Charles Howell III,105,-.600
44,T40,T40,Davis Love III,51,-.600
45,T40,T40,Bill Lunde,50,-.600
46,T40,T40,Kevin Na,98,-.600
47,T48,T48,Phil Mickelson,70,-.583
48,T48,T48,Andrew Putnam,68,-.583
49,50,50,Zac Blair,108,-.579
50,T51,T51,Kevin Chappell,86,-.571
51,T51,T51,Morgan Hoffmann,85,-.571
52,T51,T51,Greg Owen,58,-.571
53,T51,T51,Webb Simpson,81,-.571
54,T51,T51,Bubba Watson,71,-.571
55,T56,T56,Keegan Bradley,87,-.563
56,T56,T56,Michael Thompson,83,-.563
57,T58,T58,Ernie Els,57,-.556
58,T58,T58,Rickie Fowler,76,-.556
59,T58,T58,Jordan Spieth,91,-.556
60,T58,T58,Nicholas Thompson,90,-.556
61,62,62,Adam Hadwin,95,-.550
62,63,63,Shawn Stefani,94,-.548
63,T64,T64,Zach Johnson,90,-.545
64,T64,T64,Troy Merritt,91,-.545
65,T64,T64,Roger Sloan,56,-.545
66,67,67,John Merrick,78,-.533
67,68,68,Erik Compton,86,-.526
68,69,69,Mark Hubbard,79,-.524
69,T70,T70,Greg Chalmers,58,-.500
70,T70,T70,Chad Collins,79,-.500
71,T70,T70,Ben Crane,62,-.500
72,T70,T70,Chris Kirk,76,-.500
73,T70,T70,Russell Knox,96,-.500
74,T70,T70,Matt Kuchar,97,-.500
75,T70,T70,Justin Leonard,61,-.500
76,T70,T70,William McGirt,103,-.500
77,T70,T70,Bryce Molder,91,-.500
78,T70,T70,John Peterson,84,-.500
79,T70,T70,Chez Reavie,56,-.500
80,T70,T70,Patrick Reed,103,-.500
81,T70,T70,Vijay Singh,78,-.500
82,T70,T70,Henrik Stenson,63,-.500
83,T70,T70,David Toms,62,-.500
84,85,85,Kevin Streelman,95,-.476
85,T86,T86,Jason Bohn,95,-.474
86,T86,T86,Steven Bowditch,103,-.474
87,T86,T86,John Senden,80,-.474
88,89,89,Ken Duke,93,-.471
89,T90,T90,Brendon de Jonge,106,-.467
90,T90,T90,Retief Goosen,81,-.467
91,T90,T90,Brian Harman,90,-.467
92,T90,T90,Brandt Snedeker,98,-.467
93,94,94,Kevin Kisner,104,-.464
94,T95,T95,Ryo Ishikawa,90,-.462
95,T95,T95,Jason Kokrak,88,-.462
96,T95,T95,Ryan Moore,81,-.462
97,T95,T95,Rory Sabbatini,81,-.462
98,T95,T95,Jimmy Walker,89,-.462
99,100,100,Cameron Tringale,96,-.458
100,T101,T101,J.B. Holmes,89,-.455
