,GIR_Percentage_from_Fairway_RANK THIS WEEK,GIR_Percentage_from_Fairway_RANK LAST WEEK,GIR_Percentage_from_Fairway_PLAYER NAME,GIR_Percentage_from_Fairway_ROUNDS,GIR_Percentage_from_Fairway_%,GIR_Percentage_from_Fairway_GREENS HIT,GIR_Percentage_from_Fairway_# OF HOLES
0,1,1,Adam Scott,51,84.86,342,403
1,2,2,Jim Herman,88,83.13,685,824
2,3,3,Stewart Cink,77,82.42,511,620
3,4,4,Paul Casey,87,82.05,608,741
4,5,5,Charles Howell III,105,81.49,625,767
5,6,6,Brooks Koepka,84,81.47,532,653
6,7,7,Harris English,105,81.44,680,835
7,8,8,Alex Prugh,84,81.33,562,691
8,9,9,Lucas Glover,79,81.2,570,702
9,10,10,Robert Streb,110,81.15,749,923
10,T11,T11,Justin Rose,69,81.14,482,594
11,T11,T11,Bo Van Pelt,81,81.14,542,668
12,13,13,Russell Knox,96,81.1,738,910
13,14,14,J.J. Henry,94,81.08,613,756
14,15,15,Michael Putnam,87,80.99,588,726
15,16,16,Jason Dufner,76,80.38,557,693
16,17,17,Tyrone Van Aswegen,58,80.35,323,402
17,18,18,Jordan Spieth,91,80.26,622,775
18,19,19,Sergio Garcia,59,80.25,378,471
19,20,20,Seung-Yul Noh,65,80.24,402,501
20,21,21,Russell Henley,87,80.21,612,763
21,22,22,Byron Smith,59,80.04,357,446
22,23,23,Martin Flores,95,80.0,576,720
23,24,24,J.B. Holmes,89,79.91,517,647
24,25,25,Francesco Molinari,56,79.9,457,572
25,26,26,Charley Hoffman,97,79.84,610,764
26,27,27,Daniel Berger,97,79.83,657,823
27,28,28,Bubba Watson,71,79.81,427,535
28,29,29,Hideki Matsuyama,95,79.76,662,830
29,30,30,Jim Furyk,71,79.71,495,621
30,31,31,Whee Kim,71,79.69,463,581
31,32,32,Jimmy Walker,89,79.62,504,633
32,33,33,Greg Owen,58,79.42,386,486
33,34,34,Scott Pinckney,88,79.36,592,746
34,35,35,Louis Oosthuizen,68,79.35,415,523
35,36,36,Henrik Stenson,63,79.32,468,590
36,37,37,Scott Stallings,60,79.18,384,485
37,38,38,Patrick Reed,103,79.13,603,762
38,39,39,Jason Day,75,79.12,451,570
39,40,40,Patrick Rodgers,57,79.1,333,421
40,41,41,Rory Sabbatini,81,79.09,537,679
41,42,42,Billy Horschel,99,79.05,668,845
42,43,43,Tom Hoge,83,79.04,513,649
43,44,44,Carlos Ortiz,100,79.0,632,800
44,45,45,Lee Westwood,56,78.95,345,437
45,46,46,Brendan Steele,88,78.94,566,717
46,T47,T47,Justin Thomas,106,78.93,678,859
47,T47,T47,Mark Wilson,89,78.93,603,764
48,49,49,Keegan Bradley,87,78.87,601,762
49,50,50,Spencer Levin,99,78.86,735,932
50,51,51,Robert Allenby,63,78.81,409,519
51,52,52,Willy Wilcox,58,78.68,406,516
52,53,53,Dustin Johnson,75,78.65,442,562
53,54,54,Nick Watney,91,78.63,607,772
54,55,55,Andres Gonzales,90,78.56,546,695
55,56,56,Kevin Streelman,95,78.51,687,875
56,57,57,Matt Kuchar,97,78.42,654,834
57,58,58,Bill Haas,89,78.4,599,764
58,59,59,Brice Garnett,81,78.37,529,675
59,60,60,Chad Campbell,97,78.18,695,889
60,61,61,Bill Lunde,50,78.13,318,407
61,62,62,Hunter Mahan,88,78.12,532,681
62,63,63,Ryan Palmer,80,78.11,471,603
63,64,64,Chez Reavie,56,78.04,437,560
64,65,65,Ben Martin,93,78.02,646,828
65,66,66,Martin Laird,77,77.99,489,627
66,67,67,Danny Lee,120,77.94,834,1070
67,68,68,Cameron Percy,72,77.89,458,588
68,69,69,Vijay Singh,78,77.88,507,651
69,70,70,Tony Finau,106,77.81,624,802
70,71,71,Padraig Harrington,60,77.8,340,437
71,T72,T72,Shawn Stefani,94,77.74,632,813
72,T72,T72,Gary Woodland,81,77.74,454,584
73,74,74,Boo Weekley,79,77.73,541,696
74,75,75,David Hearn,97,77.7,676,870
75,76,76,Hudson Swafford,97,77.68,651,838
76,77,77,Steven Bowditch,103,77.62,607,782
77,78,78,Scott Piercy,90,77.48,578,746
78,79,79,Graham DeLaet,65,77.39,462,597
79,80,80,Marc Leishman,74,77.34,413,534
80,81,81,Ian Poulter,68,77.33,440,569
81,82,82,Pat Perez,96,77.3,681,881
82,83,83,Mark Hubbard,79,77.22,549,711
83,84,84,Kyle Reifers,96,77.19,609,789
84,85,85,Blayne Barber,76,77.17,507,657
85,T86,T86,Aaron Baddeley,76,77.12,401,520
86,T86,T86,Johnson Wagner,68,77.12,455,590
87,88,88,Adam Hadwin,95,77.07,652,846
88,89,89,Roberto Castro,54,77.02,352,457
89,90,90,Jamie Donaldson,50,76.94,307,399
90,91,91,Ryo Ishikawa,90,76.91,533,693
91,T92,T92,Geoff Ogilvy,50,76.9,313,407
92,T92,T92,Jhonattan Vegas,90,76.9,516,671
93,94,94,Davis Love III,51,76.89,356,463
94,95,95,Zach Johnson,90,76.86,671,873
95,96,96,K.J. Choi,66,76.76,426,555
96,97,97,William McGirt,103,76.64,748,976
97,98,98,Jason Kokrak,88,76.56,529,691
98,99,99,Camilo Villegas,83,76.55,483,631
99,100,100,Rickie Fowler,76,76.53,476,622
100,T101,T101,Chad Collins,79,76.5,537,702
101,T101,T101,Chris Kirk,76,76.5,485,634
102,103,103,Jeff Overton,94,76.49,576,753
103,104,104,Luke Donald,71,76.48,452,591
104,T105,T105,Kevin Na,98,76.44,636,832
105,T105,T105,Nick Taylor,91,76.44,545,713
106,107,107,Chris Stroud,84,76.39,576,754
107,108,108,Jason Bohn,95,76.35,723,947
108,109,109,Roger Sloan,56,76.33,329,431
109,110,110,Brendon de Jonge,106,76.26,739,969
110,T111,T111,John Merrick,78,76.24,536,703
111,T111,T111,Steve Wheatcroft,87,76.24,555,728
112,113,113,Erik Compton,86,76.2,541,710
113,T114,T114,Jonathan Randolph,72,76.16,409,537
114,T114,T114,Andrew Svoboda,80,76.16,492,646
115,116,116,Brian Harman,90,76.14,619,813
116,117,117,Sam Saunders,83,76.11,548,720
117,118,118,Ernie Els,57,76.1,347,456
118,119,119,Steven Alker,62,76.05,454,597
119,120,120,Fabián Gómez,83,76.03,536,705
120,121,121,Jim Renner,68,75.99,402,529
121,T122,T122,Chesson Hadley,101,75.97,610,803
122,T122,T122,Webb Simpson,81,75.97,566,745
123,124,124,Charlie Beljan,76,75.96,477,628
124,125,125,John Peterson,84,75.95,600,790
125,126,126,Charl Schwartzel,67,75.74,409,540
126,127,127,Jonas Blixt,78,75.73,465,614
127,T128,T128,Ryan Moore,81,75.62,580,767
128,T128,T128,Brandt Snedeker,98,75.62,611,808
129,130,130,Jonathan Byrd,69,75.55,448,593
130,131,131,Ángel Cabrera,53,75.54,315,417
131,132,132,Kevin Kisner,104,75.51,734,972
132,133,133,John Senden,80,75.43,531,704
133,134,134,James Hahn,94,75.35,593,787
134,135,135,Daniel Summerhays,101,75.17,654,870
135,T136,T136,Scott Langley,94,75.16,596,793
136,T136,T136,Brendon Todd,96,75.16,690,918
137,138,138,Ricky Barnes,82,75.13,441,587
138,139,139,George McNeill,93,75.12,625,832
139,140,140,Kevin Chappell,86,75.1,576,767
140,141,141,Matt Jones,89,74.93,535,714
141,142,142,Morgan Hoffmann,85,74.89,489,653
142,143,143,David Lingmerth,90,74.88,620,828
143,144,144,Jon Curran,83,74.86,554,740
144,145,145,Andrew Putnam,68,74.75,367,491
145,146,146,Michael Thompson,83,74.73,491,657
146,147,147,Nicholas Thompson,90,74.67,613,821
147,148,148,Luke Guthrie,84,74.66,501,671
148,149,149,Derek Fathauer,81,74.55,413,554
149,150,150,Bryce Molder,91,74.54,603,809
150,151,151,Colt Knost,90,74.53,635,852
151,152,152,D.A. Points,72,74.32,408,549
152,153,153,Alex Cejka,94,74.3,607,817
153,154,154,Sung Joon Park,79,74.22,521,702
154,155,155,Derek Ernst,75,73.97,469,634
155,156,156,Scott Brown,97,73.94,627,848
156,T157,T157,Troy Merritt,91,73.87,588,796
157,T157,T157,Sean O'Hair,86,73.87,537,727
158,159,159,Gonzalo Fernandez-Castaño,81,73.51,480,653
159,160,160,Robert Garrigus,70,73.41,381,519
160,161,161,Andres Romero,69,73.35,355,484
161,162,162,Billy Hurley III,83,73.31,530,723
162,163,163,Zac Blair,108,73.27,721,984
163,164,164,Retief Goosen,81,73.16,447,611
164,165,165,Sangmoon Bae,98,73.15,602,823
165,166,166,Jason Gore,76,73.13,490,670
166,167,167,Cameron Tringale,96,73.1,674,922
167,168,168,Carl Pettersson,106,73.0,638,874
168,169,169,Jerry Kelly,79,72.77,564,775
169,170,170,Ken Duke,93,72.74,611,840
170,171,171,Max Homa,78,72.51,422,582
171,172,172,Phil Mickelson,70,72.46,400,552
172,173,173,John Huh,102,72.31,705,975
173,174,174,Tim Wilkinson,73,72.28,451,624
174,175,175,Brian Davis,86,72.15,557,772
175,176,176,Oscar Fraustro,58,71.77,333,464
176,177,177,Brian Stuard,97,71.75,645,899
177,178,178,Heath Slocum,57,71.35,366,513
178,179,179,Eric Axley,57,71.13,303,426
179,T180,T180,Greg Chalmers,58,71.06,334,470
180,T180,T180,Matt Every,73,71.06,361,508
181,182,182,David Toms,62,70.93,427,602
182,183,183,Ben Crane,62,70.62,387,548
183,184,184,Justin Leonard,61,69.82,428,613
