,Approaches_from__200_yards_RANK THIS WEEK,Approaches_from__200_yards_RANK LAST WEEK,Approaches_from__200_yards_PLAYER NAME,Approaches_from__200_yards_ROUNDS,Approaches_from__200_yards_AVG,Approaches_from__200_yards_TOTAL DISTANCE (FEET),Approaches_from__200_yards_# OF ATTEMPTS,Approaches_from__200_yards_RELATIVE TO PAR
0,1,1,Hudson Swafford,97,"41' 9""",10303.5,247,-62
1,2,2,Lucas Glover,79,"44' 6""",8627.25,194,-39
2,3,3,Seung-Yul Noh,65,"44' 7""",5746.5830000000005,129,-32
3,4,4,Jim Herman,88,"45' 1""",9911.5,220,-36
4,5,5,Jim Furyk,71,"45' 2""",7043.5,156,-32
5,6,6,Henrik Stenson,63,"45' 3""",8469.333,187,-33
6,7,7,Stewart Cink,77,"45' 5""",6492.3330000000005,143,-18
7,8,8,Heath Slocum,57,"45' 6""",4958.5,109,-17
8,9,9,Jason Bohn,95,"45' 8""",12507.667,274,-41
9,T10,T10,Daniel Berger,97,"45' 10""",11598.333,253,-54
10,T10,T10,Paul Casey,87,"45' 10""",8704.75,190,-29
11,T10,T10,Brooks Koepka,84,"45' 10""",8388.5,183,-29
12,13,13,Dustin Johnson,75,"45' 11""",7211.6669999999995,157,-40
13,14,14,Webb Simpson,81,"46' 1""",10049.5,218,-52
14,15,15,Brian Stuard,97,"46' 2""",10395.583,225,-27
15,T16,T16,Rickie Fowler,76,"46' 4""",8945.75,193,-40
16,T16,T16,Colt Knost,90,"46' 4""",10526.167,227,-26
17,T16,T16,Bubba Watson,71,"46' 4""",8292.333,179,-38
18,19,19,Russell Knox,96,"46' 5""",11779.917,254,-40
19,20,20,Davis Love III,51,"46' 7""",5633.8330000000005,121,-18
20,21,21,D.A. Points,72,"46' 9""",7199.5,154,-25
21,T22,T22,Chris Kirk,76,"47' 2""",7494.6669999999995,159,-32
22,T22,T22,Carlos Ortiz,100,"47' 2""",11927.167,253,-72
23,T24,T24,Keegan Bradley,87,"47' 5""",10239.583,216,-51
24,T24,T24,Jason Day,75,"47' 5""",9109.0,192,-60
25,T24,T24,Boo Weekley,79,"47' 5""",9015.167,190,-42
26,27,27,Justin Rose,69,"47' 6""",8267.75,174,-45
27,28,28,David Toms,62,"47' 8""",8720.083,183,-9
28,29,29,Retief Goosen,81,"47' 9""",8302.583,174,-30
29,30,30,Robert Garrigus,70,"47' 10""",6749.6669999999995,141,-22
30,T31,T31,Charlie Beljan,76,"47' 11""",7282.5830000000005,152,-28
31,T31,T31,Ryo Ishikawa,90,"47' 11""",9624.833,201,-19
32,33,33,Jordan Spieth,91,"48' 1""",10292.667,214,-57
33,34,34,Jimmy Walker,89,"48' 2""",8809.167,183,-38
34,35,35,Phil Mickelson,70,"48' 3""",7617.25,158,-24
35,36,36,James Hahn,94,"48' 4""",9040.667,187,-16
36,37,37,Troy Merritt,91,"48' 5""",11030.333,228,-21
37,38,38,Derek Ernst,75,"48' 6""",8534.333,176,-42
38,39,39,Kevin Kisner,104,"48' 7""",14427.5,297,-49
39,T40,T40,Martin Laird,77,"48' 8""",10846.833,223,-57
40,T40,T40,Danny Lee,120,"48' 8""",16095.25,331,-66
41,T42,T42,Nick Taylor,91,"48' 9""",12002.25,246,-42
42,T42,T42,Johnson Wagner,68,"48' 9""",7120.8330000000005,146,-23
43,T44,T44,Michael Putnam,87,"48' 10""",9227.25,189,-25
44,T44,T44,Patrick Rodgers,57,"48' 10""",5812.6669999999995,119,-34
45,T46,T46,Harris English,105,"48' 11""",12618.667,258,-43
46,T46,T46,Justin Leonard,61,"48' 11""",7290.5,149,-4
47,T48,T48,Kevin Chappell,86,"49' 0""",10479.5,214,-48
48,T48,T48,Matt Every,73,"49' 0""",7248.75,148,-12
49,T48,T48,Bo Van Pelt,81,"49' 0""",7843.1669999999995,160,-33
50,51,51,Chez Reavie,56,"49' 1""",7357.75,150,-21
51,52,52,Chad Collins,79,"49' 2""",8552.75,174,-22
52,T53,T53,Tyrone Van Aswegen,58,"49' 5""",4894.75,99,-12
53,T53,T53,Willy Wilcox,58,"49' 5""",5730.9169999999995,116,-36
54,T55,T55,Alex Cejka,94,"49' 6""",11673.0,236,-22
55,T55,T55,Andres Gonzales,90,"49' 6""",11035.0,223,-35
56,T55,T55,Hideki Matsuyama,95,"49' 6""",11334.25,229,-43
57,T55,T55,Brandt Snedeker,98,"49' 6""",10994.25,222,-26
58,T59,T59,Graham DeLaet,65,"49' 7""",7888.75,159,-44
59,T59,T59,Luke Guthrie,84,"49' 7""",9413.75,190,-30
60,T59,T59,Bryce Molder,91,"49' 7""",10061.75,203,-25
61,T59,T59,Brendan Steele,88,"49' 7""",12942.333,261,-48
62,T59,T59,Jhonattan Vegas,90,"49' 7""",10317.083,208,-49
63,T64,T64,Tom Hoge,83,"49' 8""",8540.417,172,-30
64,T64,T64,Jim Renner,68,"49' 8""",7354.3330000000005,148,-15
65,T64,T64,Nicholas Thompson,90,"49' 8""",9182.833,185,-1
66,T67,T67,Rory Sabbatini,81,"49' 9""",9608.083,193,-12
67,T67,T67,Tim Wilkinson,73,"49' 9""",7408.3330000000005,149,-11
68,T69,T69,Louis Oosthuizen,68,"49' 11""",7486.25,150,-26
69,T69,T69,Robert Streb,110,"49' 11""",14572.333,292,-82
70,T71,T71,Ryan Palmer,80,"50' 0""",6602.5830000000005,132,-17
71,T71,T71,Alex Prugh,84,"50' 0""",10055.583,201,-39
72,T71,T71,Patrick Reed,103,"50' 0""",11394.0,228,-41
73,74,74,Tony Finau,106,"50' 2""",12589.833,251,-49
74,T75,T75,Zach Johnson,90,"50' 4""",11270.083,224,-32
75,T75,T75,Jason Kokrak,88,"50' 4""",10927.5,217,-45
76,T75,T75,Scott Pinckney,88,"50' 4""",9969.917,198,-37
77,T75,T75,Gary Woodland,81,"50' 4""",8754.333,174,-26
78,T79,T79,Erik Compton,86,"50' 5""",11044.667,219,-25
79,T79,T79,Mark Hubbard,79,"50' 5""",9478.583,188,-37
80,T79,T79,Brendon Todd,96,"50' 5""",12259.25,243,-39
81,82,82,Roberto Castro,54,"50' 6""",5300.25,105,-12
82,T83,T83,Brian Harman,90,"50' 7""",11589.333,229,-33
83,T83,T83,Daniel Summerhays,101,"50' 7""",12699.333,251,-46
84,T83,T83,Justin Thomas,106,"50' 7""",15014.25,297,-80
85,T83,T83,Mark Wilson,89,"50' 7""",11533.083,228,-14
86,T87,T87,Brian Davis,86,"50' 8""",10590.833,209,-13
87,T87,T87,Nick Watney,91,"50' 8""",11596.167,229,-43
88,T89,T89,Robert Allenby,63,"50' 10""",6911.0830000000005,136,-5
89,T89,T89,Spencer Levin,99,"50' 10""",13056.25,257,-30
90,T89,T89,John Merrick,78,"50' 10""",8844.083,174,-24
91,T92,T92,Bill Lunde,50,"50' 11""",4987.333,98,-18
92,T92,T92,Pat Perez,96,"50' 11""",12112.667,238,-37
93,T92,T92,Vijay Singh,78,"50' 11""",9271.0,182,-39
94,T92,T92,Andrew Svoboda,80,"50' 11""",8758.667,172,-27
95,T96,T96,Oscar Fraustro,58,"51' 0""",5813.8330000000005,114,-9
96,T96,T96,Chesson Hadley,101,"51' 0""",13471.75,264,-41
97,T96,T96,Morgan Hoffmann,85,"51' 0""",11369.667,223,-32
98,T96,T96,Byron Smith,59,"51' 0""",5253.6669999999995,103,-21
99,T96,T96,Shawn Stefani,94,"51' 0""",13466.583,264,-55
100,T101,T101,Sangmoon Bae,98,"51' 1""",13184.667,258,-43
101,T101,T101,Chad Campbell,97,"51' 1""",12923.333,253,-38
102,T103,T103,Steven Bowditch,103,"51' 2""",13043.667,255,-48
103,T103,T103,Jason Dufner,76,"51' 2""",6953.8330000000005,136,-22
104,T103,T103,William McGirt,103,"51' 2""",14028.75,274,-36
105,106,106,David Hearn,97,"51' 3""",12100.667,236,-17
106,T107,T107,Brice Garnett,81,"51' 4""",8065.1669999999995,157,-23
107,T107,T107,J.J. Henry,94,"51' 4""",9957.583,194,-22
108,T107,T107,Kevin Na,98,"51' 4""",11505.583,224,-29
109,T110,T110,Ernie Els,57,"51' 5""",6583.5830000000005,128,-19
110,T110,T110,Jason Gore,76,"51' 5""",7812.0,152,-32
111,T110,T110,David Lingmerth,90,"51' 5""",11457.75,223,-24
112,T110,T110,Scott Piercy,90,"51' 5""",12645.333,246,-33
