,GIR_Percentage_-_125-150_yards_RANK THIS WEEK,GIR_Percentage_-_125-150_yards_RANK LAST WEEK,GIR_Percentage_-_125-150_yards_PLAYER NAME,GIR_Percentage_-_125-150_yards_ROUNDS,GIR_Percentage_-_125-150_yards_%,GIR_Percentage_-_125-150_yards_GREENS HIT,GIR_Percentage_-_125-150_yards_TOTAL HOLES,GIR_Percentage_-_125-150_yards_RELATIVE TO PAR
0,1,1,Francesco Molinari,56,83.19,94,113,-0.16
1,2,2,Stewart Cink,77,82.38,159,193,-0.19
2,3,3,John Peterson,84,81.11,219,270,-0.16
3,4,4,Tyrone Van Aswegen,58,81.06,107,132,-0.28
4,5,5,Paul Casey,87,79.55,175,220,-0.28
5,6,6,Ryo Ishikawa,90,79.52,198,249,-0.27
6,7,7,J.J. Henry,94,79.51,229,288,-0.18
7,8,8,Chad Campbell,97,79.48,213,268,-0.15
8,9,9,Jim Herman,88,79.4,212,267,-0.16
9,10,10,Roberto Castro,54,78.57,88,112,-0.18
10,11,11,Louis Oosthuizen,68,78.32,112,143,-0.14
11,12,12,Bo Van Pelt,81,78.24,169,216,-0.2
12,13,13,Chris Stroud,84,77.62,163,210,-0.2
13,14,14,Mark Wilson,89,77.25,180,233,-0.28
14,15,15,Jeff Overton,94,77.23,173,224,-0.28
15,16,16,Luke Donald,71,76.81,106,138,-0.2
16,17,17,Jason Bohn,95,76.75,175,228,-0.25
17,18,18,Jim Furyk,71,76.64,105,137,-0.21
18,19,19,James Hahn,94,76.59,193,252,-0.21
19,20,20,Johnson Wagner,68,76.54,137,179,-0.26
20,21,21,Bill Haas,89,76.02,149,196,-0.24
21,22,22,Willy Wilcox,58,75.97,117,154,-0.23
22,23,23,Spencer Levin,99,75.88,195,257,-0.26
23,24,24,Alex Cejka,94,75.79,191,252,-0.29
24,25,25,Russell Knox,96,75.74,206,272,-0.26
25,26,26,Jonathan Byrd,69,75.32,119,158,-0.26
26,27,27,Jon Curran,83,75.29,131,174,-0.22
27,28,28,Chez Reavie,56,75.14,130,173,-0.19
28,29,29,Graham DeLaet,65,75.0,120,160,-0.24
29,30,30,Byron Smith,59,74.85,125,167,-0.13
30,31,31,Nicholas Thompson,90,74.8,187,250,-0.22
31,32,32,Bryce Molder,91,74.78,172,230,-0.23
32,33,33,Alex Prugh,84,74.77,166,222,-0.2
33,T34,T34,Lucas Glover,79,74.73,207,277,-0.14
34,T34,T34,Mark Hubbard,79,74.73,136,182,-0.15
35,36,36,Hudson Swafford,97,74.62,194,260,-0.25
36,37,37,D.A. Points,72,74.51,114,153,-0.3
37,38,38,Camilo Villegas,83,74.41,157,211,-0.26
38,39,39,Greg Owen,58,74.4,93,125,-0.24
39,40,40,Chad Collins,79,74.23,144,194,-0.24
40,41,41,Steven Alker,62,74.07,120,162,-0.25
41,T42,T42,Harris English,105,74.05,214,289,-0.24
42,T42,T42,Andres Romero,69,74.05,117,158,-0.31
43,44,44,Justin Rose,69,74.0,111,150,-0.23
44,45,45,Sam Saunders,83,73.76,149,202,-0.19
45,46,46,John Merrick,78,73.74,132,179,-0.27
46,47,47,David Hearn,97,73.68,196,266,-0.27
47,48,48,Scott Piercy,90,73.64,190,258,-0.25
48,49,49,David Toms,62,73.51,111,151,-0.25
49,50,50,Brice Garnett,81,73.39,160,218,-0.23
50,51,51,Pat Perez,96,73.36,179,244,-0.3
51,52,52,Boo Weekley,79,73.25,167,228,-0.19
52,53,53,Ángel Cabrera,53,73.02,92,126,-0.17
53,54,54,Robert Streb,110,72.89,207,284,-0.26
54,55,55,Carl Pettersson,106,72.85,212,291,-0.25
55,56,56,William McGirt,103,72.78,230,316,-0.2
56,57,57,Hideki Matsuyama,95,72.77,163,224,-0.29
57,58,58,Tim Wilkinson,73,72.68,133,183,-0.18
58,59,59,Steve Wheatcroft,87,72.57,164,226,-0.27
59,60,60,Brendon Todd,96,72.55,148,204,-0.28
60,61,61,Adam Hadwin,95,72.41,189,261,-0.23
61,62,62,John Huh,102,72.36,178,246,-0.29
62,63,63,Danny Lee,120,72.12,194,269,-0.3
63,64,64,Eric Axley,57,72.03,103,143,-0.22
64,65,65,Gary Woodland,81,72.0,108,150,-0.27
65,66,66,Zach Johnson,90,71.96,154,214,-0.22
66,67,67,Jim Renner,68,71.91,128,178,-0.21
67,68,68,Jonathan Randolph,72,71.88,115,160,-0.23
68,69,69,Ben Crane,62,71.83,102,142,-0.16
69,70,70,Jason Gore,76,71.82,130,181,-0.32
70,71,71,Scott Pinckney,88,71.78,173,241,-0.16
71,72,72,Ken Duke,93,71.77,178,248,-0.22
72,73,73,Brian Harman,90,71.74,165,230,-0.19
73,74,74,Kevin Streelman,95,71.7,152,212,-0.21
74,75,75,Martin Flores,95,71.6,179,250,-0.21
75,76,76,Jamie Donaldson,50,71.55,83,116,-0.19
76,77,77,Cameron Tringale,96,71.49,158,221,-0.2
77,78,78,Kyle Reifers,96,71.43,180,252,-0.17
78,T79,T79,Sung Joon Park,79,71.36,142,199,-0.16
79,T79,T79,Cameron Percy,72,71.36,147,206,-0.2
80,81,81,Bill Lunde,50,71.32,92,129,-0.15
81,T82,T82,Scott Langley,94,71.3,159,223,-0.2
82,T82,T82,Troy Merritt,91,71.3,159,223,-0.22
83,T84,T84,Kevin Kisner,104,71.13,207,291,-0.26
84,T84,T84,Justin Leonard,61,71.13,101,142,-0.35
85,86,86,John Senden,80,70.95,105,148,-0.26
86,87,87,George McNeill,93,70.89,168,237,-0.24
87,88,88,Tony Finau,106,70.85,226,319,-0.18
88,89,89,Scott Brown,97,70.83,170,240,-0.21
89,90,90,Brendan Steele,88,70.68,176,249,-0.3
90,T91,T91,K.J. Choi,66,70.59,108,153,-0.23
91,T91,T91,Henrik Stenson,63,70.59,72,102,-0.28
92,93,93,Shawn Stefani,94,70.57,187,265,-0.21
93,94,94,Robert Allenby,63,70.55,115,163,-0.15
94,95,95,Billy Hurley III,83,70.44,112,159,-0.28
95,96,96,Whee Kim,71,70.22,125,178,-0.29
96,97,97,Adam Scott,51,70.18,80,114,-0.14
97,98,98,Roger Sloan,56,70.16,87,124,-0.24
