,Putting_from_-__25_RANK THIS WEEK,Putting_from_-__25_RANK LAST WEEK,Putting_from_-__25_PLAYER NAME,Putting_from_-__25_ROUNDS,Putting_from_-__25_% MADE,Putting_from_-__25_ATTEMPTS,Putting_from_-__25_PUTTS MADE
0,1,1,Sergio Garcia,59,10.96,146,16
1,2,2,Matt Jones,89,9.71,278,27
2,3,3,Jason Day,75,8.87,248,22
3,4,4,Fabián Gómez,83,8.62,290,25
4,5,5,Steven Bowditch,103,8.33,324,27
5,6,6,Stewart Cink,77,8.18,330,27
6,7,7,Pat Perez,96,8.12,345,28
7,8,8,Willy Wilcox,58,8.04,199,16
8,9,9,Camilo Villegas,83,8.01,337,27
9,10,10,Billy Horschel,99,7.96,339,27
10,11,11,Lee Westwood,56,7.91,139,11
11,12,12,Sean O'Hair,86,7.87,356,28
12,13,13,Scott Piercy,90,7.58,343,26
13,14,14,Tony Finau,106,7.51,413,31
14,T15,T15,Martin Flores,95,7.35,381,28
15,T15,T15,Rory Sabbatini,81,7.35,272,20
16,17,17,Luke Guthrie,84,7.32,287,21
17,18,18,Zac Blair,108,7.3,411,30
18,T19,T19,Ben Martin,93,7.26,358,26
19,T19,T19,Jordan Spieth,91,7.26,234,17
20,21,21,Geoff Ogilvy,50,7.19,153,11
21,22,22,Matt Kuchar,97,7.0,300,21
22,23,23,Ian Poulter,68,6.91,188,13
23,T24,T24,Jason Dufner,76,6.9,203,14
24,T24,T24,David Toms,62,6.9,203,14
25,26,26,Greg Chalmers,58,6.88,160,11
26,27,27,Andrew Putnam,68,6.75,237,16
27,T28,T28,Brian Davis,86,6.74,282,19
28,T28,T28,Louis Oosthuizen,68,6.74,193,13
29,30,30,Luke Donald,71,6.73,223,15
30,31,31,Jonas Blixt,78,6.67,225,15
31,T32,T32,Adam Hadwin,95,6.65,361,24
32,T32,T32,Troy Merritt,91,6.65,361,24
33,34,34,Charley Hoffman,97,6.57,289,19
34,35,35,Daniel Summerhays,101,6.56,381,25
35,36,36,Andrew Svoboda,80,6.53,337,22
36,T37,T37,Ángel Cabrera,53,6.49,185,12
37,T37,T37,Gary Woodland,81,6.49,231,15
38,39,39,Brian Stuard,97,6.47,278,18
39,40,40,Carlos Ortiz,100,6.46,387,25
40,41,41,John Peterson,84,6.44,326,21
41,42,42,Michael Thompson,83,6.43,373,24
42,43,43,Greg Owen,58,6.37,157,10
43,44,44,Chad Campbell,97,6.29,429,27
44,T45,T45,Ricky Barnes,82,6.28,239,15
45,T45,T45,Danny Lee,120,6.28,366,23
46,T47,T47,James Hahn,94,6.27,303,19
47,T47,T47,Hideki Matsuyama,95,6.27,255,16
48,T47,T47,Nicholas Thompson,90,6.27,303,19
49,50,50,Cameron Tringale,96,6.23,337,21
50,51,51,Steve Wheatcroft,87,6.17,308,19
51,52,52,D.A. Points,72,6.12,245,15
52,53,53,Ben Crane,62,6.11,229,14
53,54,54,Zach Johnson,90,6.08,263,16
54,T55,T55,Brandt Snedeker,98,6.03,315,19
55,T55,T55,Kevin Streelman,95,6.03,315,19
56,57,57,Padraig Harrington,60,6.02,216,13
57,58,58,Ken Duke,93,5.97,318,19
58,59,59,Jim Herman,88,5.9,373,22
59,60,60,Brian Harman,90,5.88,340,20
60,61,61,Kevin Na,98,5.86,273,16
61,T62,T62,Kevin Chappell,86,5.83,309,18
62,T62,T62,Phil Mickelson,70,5.83,206,12
63,T62,T62,Hudson Swafford,97,5.83,412,24
64,T65,T65,Charles Howell III,105,5.82,464,27
65,T65,T65,Mark Hubbard,79,5.82,292,17
66,67,67,Brendon Todd,96,5.78,294,17
67,68,68,Mark Wilson,89,5.77,364,21
68,69,69,Ryo Ishikawa,90,5.76,295,17
69,T70,T70,J.J. Henry,94,5.75,365,21
70,T70,T70,Jason Kokrak,88,5.75,348,20
71,72,72,David Lingmerth,90,5.73,279,16
72,73,73,Bo Van Pelt,81,5.71,280,16
73,74,74,Bryce Molder,91,5.69,334,19
74,75,75,Jason Bohn,95,5.67,353,20
75,76,76,Spencer Levin,99,5.65,372,21
76,77,77,Henrik Stenson,63,5.63,213,12
77,78,78,Patrick Reed,103,5.61,285,16
78,T79,T79,J.B. Holmes,89,5.6,250,14
79,T79,T79,Johnson Wagner,68,5.6,268,15
80,81,81,Andres Gonzales,90,5.59,322,18
81,T82,T82,John Merrick,78,5.58,233,13
82,T82,T82,Ryan Moore,81,5.58,233,13
83,84,84,Chris Stroud,84,5.57,287,16
84,85,85,Erik Compton,86,5.52,290,16
85,86,86,Chesson Hadley,101,5.51,363,20
86,87,87,Carl Pettersson,106,5.49,364,20
87,T88,T88,Robert Streb,110,5.48,438,24
88,T88,T88,Justin Thomas,106,5.48,383,21
89,90,90,Paul Casey,87,5.46,293,16
90,91,91,Russell Henley,87,5.37,335,18
91,T92,T92,Brice Garnett,81,5.36,317,17
92,T92,T92,Roger Sloan,56,5.36,168,9
93,94,94,Gonzalo Fernandez-Castaño,81,5.34,262,14
94,95,95,Steven Alker,62,5.32,188,10
95,96,96,Martin Laird,77,5.29,340,18
96,97,97,Tim Wilkinson,73,5.26,228,12
97,98,98,Andres Romero,69,5.24,229,12
98,99,99,Jhonattan Vegas,90,5.23,363,19
99,T100,T100,Jonathan Byrd,69,5.22,230,12
100,T100,T100,K.J. Choi,66,5.22,230,12
101,102,102,Aaron Baddeley,76,5.21,288,15
102,103,103,Dustin Johnson,75,5.18,193,10
